stage,op_type,dst_kind,dst_block,dst_offset,src0_kind,src0_block,src0_offset,src1_kind,src1_block,src1_offset,scalar,bytes
MultiplyDenseValues,xor,recovery,65,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,1,0,recovery,3,0,1,102400
MultiplyDenseValues,xor,recovery,68,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,12,0,recovery,8,0,1,102400
MultiplyDenseValues,xor,recovery,59,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,9,0,recovery,14,0,1,102400
MultiplyDenseValues,xor,recovery,69,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,5,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,75,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,addset,recovery,89,0,recovery,23,0,recovery,19,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,33,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,21,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,30,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,24,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,25,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,28,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,26,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,29,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,28,0,recovery,24,0,1,102400
MultiplyDenseValues,xor,recovery,68,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,34,0,recovery,36,0,1,102400
MultiplyDenseValues,xor,recovery,37,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,33,0,recovery,23,0,1,102400
MultiplyDenseValues,xor,recovery,70,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,31,0,recovery,22,0,1,102400
MultiplyDenseValues,xor,recovery,67,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,19,0,recovery,32,0,1,102400
MultiplyDenseValues,xor,recovery,69,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,26,0,recovery,27,0,1,102400
MultiplyDenseValues,xor,recovery,64,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,30,0,recovery,20,0,1,102400
MultiplyDenseValues,xor,recovery,66,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,25,0,recovery,35,0,1,102400
MultiplyDenseValues,xor,recovery,75,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,21,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,77,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,34,0,recovery,28,0,1,102400
MultiplyDenseValues,xor,recovery,72,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,36,0,recovery,27,0,1,102400
MultiplyDenseValues,xor,recovery,73,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,25,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,59,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,33,0,recovery,21,0,1,102400
MultiplyDenseValues,xor,recovery,74,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,19,0,recovery,26,0,1,102400
MultiplyDenseValues,xor,recovery,65,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,31,0,recovery,30,0,1,102400
MultiplyDenseValues,xor,recovery,17,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,22,0,recovery,23,0,1,102400
MultiplyDenseValues,xor,recovery,13,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,35,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,71,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,24,0,recovery,20,0,1,102400
MultiplyDenseValues,xor,recovery,76,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,addset,recovery,89,0,recovery,51,0,recovery,50,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,53,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,45,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,54,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,44,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,46,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,42,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,55,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,89,0,recovery,39,0,none,-1,0,1,102400
MultiplyDenseValues,xor,recovery,76,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,40,0,recovery,45,0,1,102400
MultiplyDenseValues,xor,recovery,70,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,41,0,recovery,47,0,1,102400
MultiplyDenseValues,xor,recovery,37,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,48,0,recovery,46,0,1,102400
MultiplyDenseValues,xor,recovery,71,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,50,0,recovery,38,0,1,102400
MultiplyDenseValues,xor,recovery,73,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,54,0,recovery,56,0,1,102400
MultiplyDenseValues,xor,recovery,69,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,44,0,recovery,51,0,1,102400
MultiplyDenseValues,xor,recovery,29,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,42,0,recovery,52,0,1,102400
MultiplyDenseValues,xor,recovery,68,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,55,0,recovery,43,0,1,102400
MultiplyDenseValues,xor,recovery,17,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,49,0,recovery,39,0,1,102400
MultiplyDenseValues,xor,recovery,77,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,52,0,recovery,40,0,1,102400
MultiplyDenseValues,xor,recovery,13,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,49,0,recovery,51,0,1,102400
MultiplyDenseValues,xor,recovery,74,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,46,0,recovery,54,0,1,102400
MultiplyDenseValues,xor,recovery,66,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,55,0,recovery,53,0,1,102400
MultiplyDenseValues,xor,recovery,72,0,recovery,89,0,none,-1,0,1,102400
MultiplyDenseValues,add2,recovery,89,0,recovery,41,0,recovery,47,0,1,102400
