N	DenseCount	LowestFailures
2	2	0.02
3	2	0.084
4	3	0.264
5	5	0.088
6	6	0.046
7	7	0.042
8	6	0.058
9	7	0.034
10	10	0.024
11	10	0.038
12	10	0.034
13	9	0.022
14	14	0.022
15	9	0.018
16	10	0.018
17	10	0.022
18	13	0.022
19	14	0.014
20	10	0.014
21	15	0.016
22	18	0.016
23	12	0.012
24	16	0.012
25	14	0.014
26	20	0.01
27	10	0.016
28	11	0.016
29	22	0.01
30	12	0.006
31	22	0.012
32	12	0.014
33	12	0.016
34	14	0.016
35	16	0.016
36	13	0.012
37	17	0.014
38	16	0.01
39	15	0.014
40	13	0.014
41	15	0.016
42	13	0.014
43	12	0.016
44	16	0.006
45	16	0.018
46	14	0.012
47	15	0.016
48	12	0.014
49	13	0.014
50	14	0.01
51	11	0.012
52	13	0.006
53	20	0.012
54	16	0.012
55	12	0.014
56	14	0.016
57	20	0.008
58	11	0.012
59	17	0.012
60	15	0.014
61	19	0.012
62	21	0.014
63	16	0.016
64	12	0.016
65	16	0.014
66	12	0.014
67	21	0.01
68	13	0.014
69	18	0.012
70	15	0.012
71	13	0.012
72	17	0.016
73	16	0.016
74	19	0.014
75	12	0.016
76	11	0.02
77	13	0.014
78	12	0.012
79	21	0.01
80	20	0.012
81	17	0.012
82	14	0.014
83	13	0.02
84	12	0.01
85	19	0.016
86	12	0.02
87	14	0.016
88	24	0.008
89	18	0.012
90	20	0.016
91	15	0.008
92	14	0.012
93	16	0.012
94	23	0.012
95	15	0.014
96	14	0.016
97	24	0.014
98	23	0.014
99	18	0.016
100	24	0.016
101	16	0.008
102	19	0.01
103	22	0.008
104	15	0.016
105	15	0.008
106	15	0.01
107	14	0.016
108	15	0.014
109	20	0.016
110	19	0.018
111	15	0.016
112	17	0.012
113	12	0.014
114	14	0.01
115	22	0.01
116	14	0.018
117	19	0.006
118	16	0.016
119	26	0.006
120	19	0.016
121	14	0.016
122	17	0.014
123	16	0.012
124	23	0.014
125	20	0.014
126	16	0.014
127	17	0.012
128	17	0.008
130	18	0.012
132	14	0.016
134	17	0.016
136	13	0.014
138	16	0.014
140	17	0.01
142	24	0.016
144	17	0.018
146	18	0.016
148	18	0.008
150	28	0.012
152	26	0.008
154	21	0.012
156	21	0.01
158	24	0.014
160	19	0.01
162	24	0.006
164	20	0.012
166	20	0.014
168	15	0.018
170	17	0.014
172	22	0.014
174	17	0.018
176	23	0.012
178	22	0.014
180	16	0.012
182	22	0.01
184	17	0.01
186	21	0.014
188	17	0.012
190	18	0.012
192	25	0.012
195	19	0.016
198	13	0.014
201	20	0.006
204	20	0.018
207	22	0.014
210	21	0.016
213	19	0.006
216	20	0.014
219	17	0.012
222	20	0.014
225	26	0.006
228	17	0.016
231	23	0.01
234	18	0.01
237	26	0.004
240	21	0.01
243	20	0.014
246	19	0.014
249	22	0.014
252	25	0.014
255	19	0.016
258	23	0.012
262	21	0.014
266	20	0.006
270	21	0.01
274	22	0.014
278	22	0.012
282	26	0.01
286	22	0.012
290	18	0.01
294	23	0.008
298	23	0.008
302	16	0.018
306	26	0.014
310	28	0.008
314	20	0.018
318	23	0.014
322	20	0.01
327	30	0.014
332	20	0.014
337	24	0.008
342	19	0.012
347	25	0.014
352	18	0.012
357	25	0.012
362	22	0.012
367	20	0.01
372	26	0.012
377	24	0.014
382	23	0.016
387	27	0.016
393	32	0.01
399	26	0.016
405	26	0.002
411	25	0.014
417	30	0.014
423	32	0.012
429	27	0.01
435	22	0.018
441	24	0.006
447	26	0.01
453	23	0.012
460	28	0.006
467	30	0.014
474	25	0.012
481	28	0.012
488	24	0.016
495	29	0.012
502	24	0.012
509	25	0.014
516	26	0.004
524	29	0.016
532	32	0.012
540	33	0.01
548	27	0.01
556	38	0.012
564	29	0.014
572	29	0.012
580	27	0.012
589	30	0.01
598	42	0.006
607	32	0.01
616	30	0.014
625	30	0.012
634	29	0.016
643	37	0.012
653	38	0.006
663	36	0.012
673	30	0.012
683	32	0.012
693	26	0.02
703	31	0.01
713	32	0.012
724	32	0.01
735	31	0.012
746	29	0.018
757	29	0.018
768	33	0.01
780	28	0.016
792	32	0.014
804	33	0.014
816	27	0.018
828	32	0.016
840	33	0.012
853	40	0.014
866	34	0.008
879	34	0.016
892	34	0.012
905	37	0.016
919	33	0.018
933	33	0.014
947	37	0.014
961	35	0.012
976	48	0.008
991	40	0.012
1006	35	0.012
1021	42	0.012
1036	38	0.012
1052	35	0.018
1068	37	0.012
1084	36	0.008
1100	44	0.016
1117	35	0.014
1134	42	0.01
1151	42	0.014
1168	46	0.012
1186	38	0.012
1204	42	0.004
1222	39	0.004
1241	41	0.014
1260	47	0.018
1279	42	0.014
1298	44	0.012
