N	DenseCount	LowestFailures
166	21	0.012
168	20	0.012
170	20	0.016
172	26	0.016
174	22	0.008
176	22	0.01
178	22	0.01
180	14	0.014
182	18	0.008
184	14	0.012
186	16	0.012
188	20	0.014
190	16	0.016
192	15	0.018
195	20	0.006
198	25	0.014
201	16	0.014
204	16	0.008
207	21	0.008
210	18	0.012
213	16	0.014
216	21	0.01
219	22	0.008
222	22	0.01
225	21	0.008
228	20	0.01
231	22	0.016
234	25	0.01
237	24	0.012
240	16	0.016
243	23	0.004
246	20	0.01
249	25	0.014
252	20	0.01
255	20	0.012
258	29	0.008
262	26	0.014
266	22	0.014
270	18	0.012
274	17	0.014
278	25	0.016
282	18	0.012
286	22	0.016
290	21	0.018
294	24	0.01
298	25	0.014
302	22	0.012
306	20	0.018
310	18	0.016
314	24	0.012
318	21	0.01
322	19	0.016
327	21	0.014
332	22	0.018
337	26	0.014
342	26	0.01
347	23	0.018
352	26	0.016
357	22	0.014
362	20	0.014
367	24	0.012
372	20	0.01
377	22	0.01
382	29	0.014
387	19	0.018
393	30	0.012
399	24	0.012
405	22	0.014
411	20	0.016
417	27	0.012
423	24	0.01
429	22	0.008
435	22	0.012
441	27	0.016
447	33	0.014
453	29	0.012
460	24	0.012
467	25	0.018
474	28	0.018
481	29	0.01
488	30	0.012
495	25	0.014
502	23	0.014
509	32	0.008
516	28	0.008
524	22	0.016
532	28	0.018
540	31	0.012
548	28	0.016
556	39	0.01
564	31	0.01
572	25	0.018
580	25	0.012
589	24	0.018
598	27	0.012
607	31	0.016
616	24	0.012
625	28	0.018
634	34	0.008
643	28	0.01
653	31	0.018
663	27	0.01
673	32	0.014
683	28	0.012
693	29	0.01
703	37	0.01
713	35	0.018
724	37	0.012
735	30	0.014
746	34	0.014
757	36	0.014
768	40	0.012
780	35	0.012
792	34	0.014
804	28	0.008
816	27	0.018
828	33	0.01
840	43	0.016
853	36	0.016
866	37	0.014
879	34	0.014
892	35	0.018
905	34	0.01
919	36	0.008
933	37	0.014
947	30	0.014
961	36	0.01
976	34	0.014
991	37	0.014
1006	38	0.012
1021	38	0.012
1036	40	0.014
1052	43	0.01
1068	41	0.018
1084	38	0.014
1100	35	0.012
1117	40	0.018
1134	32	0.014
1151	46	0.008
1168	39	0.012
1186	38	0.014
1204	48	0.012
1222	42	0.008
1241	42	0.014
1260	45	0.014
1279	35	0.018
1298	44	0.014
1318	43	0.012
1338	42	0.01
1358	46	0.018
1379	44	0.016
1400	54	0.014
1421	50	0.008
1443	46	0.012
1465	43	0.01
1487	42	0.012
1510	50	0.014
1533	49	0.016
1556	48	0.018
1580	50	0.012
1604	49	0.016
1629	52	0.01
1654	42	0.012
1679	50	0.008
1705	54	0.014
1731	52	0.014
1758	50	0.016
1785	48	0.014
1812	52	0.01
1840	57	0.01
1868	50	0.01
1897	59	0.014
1926	56	0.016
1956	51	0.012
1986	47	0.016
2017	48	0.014
2048	50	0.01
2080	42	0.018
2112	43	0.012
2145	47	0.01
2178	44	0.016
2212	41	0.014
2246	51	0.012
2281	41	0.016
2316	36	0.018
2352	34	0.01
2388	40	0.012
2425	44	0.01
2462	46	0.012
2500	44	0.014
2539	46	0.016
2578	45	0.014
2618	38	0.012
2658	46	0.016
2699	47	0.016
2741	37	0.014
2783	44	0.016
2826	46	0.018
2870	49	0.012
2914	48	0.012
2959	42	0.014
3005	49	0.012
3051	47	0.012
3098	44	0.012
3146	48	0.012
3195	44	0.014
3244	48	0.014
3294	44	0.01
3345	44	0.018
3397	48	0.01
3450	50	0.014
3503	49	0.014
3557	50	0.012
3612	52	0.014
3668	44	0.012
3725	60	0.012
3783	57	0.014
3842	50	0.01
3902	54	0.016
3962	64	0.016
4023	62	0.016
4085	61	0.012
4148	64	0.006
4212	57	0.014
4277	51	0.012
4343	49	0.012
4410	46	0.01
4478	52	0.012
4547	60	0.014
4618	58	0.01
4690	59	0.012
4763	62	0.014
4837	54	0.014
4912	63	0.012
4988	61	0.02
5065	60	0.014
5144	57	0.016
5224	61	0.01
5305	62	0.014
5387	68	0.012
5471	63	0.008
5556	60	0.006
5642	54	0.016
5730	58	0.012
5819	64	0.012
5909	56	0.01
6001	59	0.016
6094	62	0.012
6189	67	0.012
6285	67	0.006
6383	67	0.008
6482	69	0.012
6583	60	0.018
6685	61	0.01
6789	65	0.016
6895	66	0.012
7002	59	0.018
7111	66	0.01
7222	62	0.016
7334	68	0.01
7448	65	0.014
7564	61	0.016
7682	70	0.01
7802	74	0.012
7923	68	0.01
8046	78	0.008
8171	77	0.012
8298	68	0.012
8427	71	0.014
8558	70	0.014
8691	72	0.012
8826	65	0.014
8963	66	0.012
9103	70	0.014
9245	68	0.014
9389	67	0.016
9535	74	0.01
9683	74	0.018
9834	72	0.016
9987	82	0.014
10143	78	0.016
10301	75	0.01
10461	76	0.012
10624	76	0.01
10790	78	0.014
10958	80	0.014
11129	87	0.012
11302	80	0.016
11478	86	0.016
11657	84	0.014
11839	90	0.016
12023	87	0.012
12210	88	0.014
12400	84	0.016
12593	87	0.016
12789	89	0.014
12988	103	0.016
13190	105	0.014
13396	98	0.01
13605	88	0.01
13817	106	0.012
14032	106	0.01
14251	98	0.006
14473	98	0.014
14699	100	0.008
14928	108	0.01
15161	108	0.014
15397	110	0.016
15637	100	0.012
15881	104	0.016
16129	106	0.012
16381	105	0.012
16636	104	0.01
16895	110	0.012
17158	110	0.01
17426	108	0.006
17698	118	0.016
17974	115	0.016
18254	108	0.02
18539	117	0.016
18828	110	0.016
19122	122	0.008
19420	125	0.012
19723	126	0.014
20031	119	0.016
20343	124	0.016
20660	124	0.016
20982	132	0.018
21309	131	0.014
21641	135	0.012
21979	133	0.014
22322	136	0.008
22670	138	0.016
23024	147	0.012
23383	144	0.012
23748	143	0.016
24119	142	0.016
24495	153	0.016
24877	145	0.016
25265	152	0.01
25659	150	0.008
26059	150	0.018
26466	164	0.008
26879	165	0.01
27298	162	0.016
27724	169	0.012
28157	166	0.014
28596	169	0.014
29042	163	0.014
29495	174	0.012
29955	172	0.016
30423	176	0.014
30898	177	0.016
31380	177	0.02
31870	178	0.01
32367	178	0.014
32872	182	0.012
33385	191	0.014
33906	189	0.014
34435	191	0.016
34973	194	0.016
35519	205	0.016
36073	208	0.016
36636	205	0.012
37208	220	0.018
37789	217	0.018
38379	226	0.018
38978	226	0.018
39587	234	0.008
40205	253	0.014
40833	244	0.012
41471	254	0.014
42118	250	0.01
42776	276	0.008
43444	274	0.018
44122	313	0.014
44811	316	0.016
45511	336	0.014
46222	330	0.014
46944	353	0.016
47677	351	0.014
48421	370	0.01
49177	364	0.012
49945	373	0.012
50725	376	0.016
51517	370	0.016
52321	391	0.014
53138	389	0.014
53968	379	0.012
54811	380	0.018
55667	371	0.014
56536	366	0.016
57419	362	0.012
58316	356	0.018
59227	350	0.012
60152	347	0.012
61091	337	0.012
62045	331	0.014
63014	329	0.016
63998	345	0.004
