N	DenseCount	LowestFailures
2	1	0.02
3	2	0.072
4	3	0.222
5	5	0.08
6	6	0.044
7	6	0.056
8	7	0.05
9	7	0.034
10	7	0.022
11	8	0.032
12	8	0.032
13	10	0.028
14	10	0.018
15	14	0.02
16	15	0.02
17	9	0.018
18	10	0.02
19	12	0.022
20	17	0.016
21	12	0.014
22	12	0.014
23	8	0.016
24	12	0.016
25	14	0.01
26	14	0.014
27	14	0.01
28	18	0.02
29	13	0.016
30	10	0.016
31	17	0.012
32	12	0.016
33	14	0.012
34	13	0.018
35	12	0.01
36	17	0.006
37	17	0.016
38	18	0.012
39	18	0.012
40	14	0.008
41	16	0.014
42	15	0.01
43	15	0.016
44	10	0.018
45	17	0.012
46	22	0.008
47	14	0.016
48	12	0.01
49	13	0.014
50	14	0.012
51	11	0.018
52	11	0.014
53	19	0.012
54	24	0.01
55	19	0.014
56	10	0.014
57	10	0.01
58	14	0.018
59	19	0.01
60	14	0.012
61	22	0.014
62	14	0.01
63	16	0.016
64	17	0.01
65	12	0.006
66	21	0.014
67	14	0.006
68	21	0.014
69	13	0.016
70	16	0.016
71	20	0.014
72	14	0.014
73	18	0.014
74	21	0.01
75	18	0.018
76	15	0.016
77	15	0.016
78	14	0.014
79	14	0.012
80	14	0.012
81	28	0.01
82	19	0.016
83	13	0.018
84	12	0.016
85	15	0.012
86	20	0.014
87	28	0.014
88	20	0.014
89	17	0.016
90	20	0.014
91	14	0.016
92	16	0.012
93	20	0.012
94	12	0.016
95	16	0.014
96	13	0.012
97	11	0.014
98	13	0.008
99	17	0.012
100	17	0.014
101	16	0.008
102	13	0.012
103	16	0.018
104	18	0.01
105	20	0.01
106	19	0.012
107	22	0.018
108	16	0.016
109	14	0.012
110	14	0.012
111	20	0.014
112	16	0.014
113	16	0.006
114	21	0.014
115	16	0.006
116	16	0.01
117	13	0.016
118	18	0.012
119	15	0.01
120	16	0.012
121	22	0.014
122	18	0.012
123	14	0.014
124	12	0.008
125	16	0.014
126	14	0.018
127	13	0.016
128	19	0.016
130	26	0.006
132	17	0.008
134	24	0.01
136	16	0.018
138	19	0.014
140	21	0.01
142	15	0.014
144	15	0.012
146	17	0.01
148	15	0.014
150	18	0.016
152	16	0.014
154	16	0.014
156	17	0.014
158	20	0.014
160	22	0.014
162	16	0.012
164	17	0.012
