# peelcost: trials=6 solver=ks_bmax_top16 heavy=6 seed=0xc057c0de
# cost model is a block-XOR proxy: matrix_xors + precode_gen + N*solve_width + solve_width^2/2 + H*solve_width
# precode schemes change width/generation estimates only; rank and constraint-row effects require precode_sim
N,bb,overhead,solver,structure,precode,D,ldpc_cols,dense_rows,H,trials,resid_cols_mu,resid_cols_max,resid_rows_mu,matrix_refs_mu,matrix_xors_mu,legacy_total_xors_mu,solve_width_mu,precode_gen_xors_mu,backsub_xors_mu,ge_block_xors_mu,heavy_muladds_mu,total_block_xors_mu
3200,1280,0,ks_bmax_top16,lt_m2_c256,dense,62,0,62,6,6,61.5000,77,101.5000,19418.1667,16218.1667,219466.1667,129.5000,8155.0000,414400.0000,8433.5833,777.0000,447983.7500
3200,1280,0,ks_bmax_top16,lt_m2_c256,ldpcdense,55,43,12,6,6,61.5000,77,101.5000,19418.1667,16218.1667,219466.1667,122.5000,17673.0000,392000.0000,7551.5833,735.0000,434177.7500
3200,1280,0,ks_bmax_top16,lt_m2_c512,dense,62,0,62,6,6,59.3333,78,119.0000,22096.5000,18896.5000,216100.5000,127.3333,8155.0000,407466.6667,8149.8333,764.0000,443432.0000
3200,1280,0,ks_bmax_top16,lt_m2_c512,ldpcdense,55,43,12,6,6,59.3333,78,119.0000,22096.5000,18896.5000,216100.5000,120.3333,17673.0000,385066.6667,7283.0000,722.0000,429641.1667
3200,1280,0,ks_bmax_top16,lt_m2_c1024,dense,62,0,62,6,6,65.8333,79,146.3333,24790.8333,21590.8333,242140.5000,133.8333,8155.0000,428266.6667,8999.2500,803.0000,467814.7500
3200,1280,0,ks_bmax_top16,lt_m2_c1024,ldpcdense,55,43,12,6,6,65.8333,79,146.3333,24790.8333,21590.8333,242140.5000,126.8333,17673.0000,405866.6667,8086.9167,761.0000,453978.4167
3200,1280,2,ks_bmax_top16,policy,dense,62,0,62,6,6,81.5000,111,35.6667,13441.0000,10239.0000,277876.1667,149.5000,8155.0000,478400.0000,11272.5833,897.0000,508963.5833
3200,1280,2,ks_bmax_top16,policy,ldpcdense,55,43,12,6,6,81.5000,111,35.6667,13441.0000,10239.0000,277876.1667,142.5000,17673.0000,456000.0000,10250.5833,855.0000,495017.5833
3200,1280,2,ks_bmax_top16,lt_m2_c96,dense,62,0,62,6,6,59.0000,80,61.3333,16681.5000,13479.5000,206355.6667,127.0000,8155.0000,406400.0000,8118.3333,762.0000,436914.8333
3200,1280,2,ks_bmax_top16,lt_m2_c96,ldpcdense,55,43,12,6,6,59.0000,80,61.3333,16681.5000,13479.5000,206355.6667,120.0000,17673.0000,384000.0000,7253.8333,720.0000,423126.3333
3200,1280,2,ks_bmax_top16,lt_m2_c256,dense,62,0,62,6,6,58.8333,89,99.8333,19820.0000,16618.0000,211351.6667,126.8333,8155.0000,405866.6667,8166.5833,761.0000,439567.2500
3200,1280,2,ks_bmax_top16,lt_m2_c256,ldpcdense,55,43,12,6,6,58.8333,89,99.8333,19820.0000,16618.0000,211351.6667,119.8333,17673.0000,383466.6667,7303.2500,719.0000,425779.9167
3200,1280,2,ks_bmax_top16,lt_m2_c512,dense,62,0,62,6,6,60.0000,69,115.0000,21357.8333,18155.8333,217173.0000,128.0000,8155.0000,409600.0000,8222.0000,768.0000,444900.8333
3200,1280,2,ks_bmax_top16,lt_m2_c512,ldpcdense,55,43,12,6,6,60.0000,69,115.0000,21357.8333,18155.8333,217173.0000,121.0000,17673.0000,387200.0000,7350.5000,726.0000,431105.3333
3200,1280,2,ks_bmax_top16,lt_m2_c1024,dense,62,0,62,6,6,61.5000,85,136.8333,24013.5000,20811.5000,226454.3333,129.5000,8155.0000,414400.0000,8473.9167,777.0000,452617.4167
3200,1280,2,ks_bmax_top16,lt_m2_c1024,ldpcdense,55,43,12,6,6,61.5000,85,136.8333,24013.5000,20811.5000,226454.3333,122.5000,17673.0000,392000.0000,7591.9167,735.0000,438811.4167
32000,1280,0,ks_bmax_top16,policy,dense,190,0,190,6,6,345.3333,377,169.8333,167309.0000,135309.0000,11305756.0000,541.3333,80475.0000,17322666.6667,146783.5000,3248.0000,17688482.1667
32000,1280,0,ks_bmax_top16,policy,ldpcdense,190,190,0,6,6,345.3333,377,169.8333,167309.0000,135309.0000,11305756.0000,541.3333,176190.0000,17322666.6667,146783.5000,3248.0000,17784197.1667
32000,1280,0,ks_bmax_top16,lt_m2_c96,dense,190,0,190,6,6,345.3333,377,169.8333,167309.0000,135309.0000,11305756.0000,541.3333,80475.0000,17322666.6667,146783.5000,3248.0000,17688482.1667
32000,1280,0,ks_bmax_top16,lt_m2_c96,ldpcdense,190,190,0,6,6,345.3333,377,169.8333,167309.0000,135309.0000,11305756.0000,541.3333,176190.0000,17322666.6667,146783.5000,3248.0000,17784197.1667
32000,1280,0,ks_bmax_top16,lt_m2_c256,dense,190,0,190,6,6,233.3333,322,182.8333,195895.1667,163895.1667,7687379.1667,429.3333,80475.0000,13738666.6667,93350.0000,2576.0000,14078962.8333
32000,1280,0,ks_bmax_top16,lt_m2_c256,ldpcdense,190,190,0,6,6,233.3333,322,182.8333,195895.1667,163895.1667,7687379.1667,429.3333,176190.0000,13738666.6667,93350.0000,2576.0000,14174677.8333
32000,1280,0,ks_bmax_top16,lt_m2_c512,dense,190,0,190,6,6,194.6667,218,217.8333,216400.8333,184400.8333,6458311.8333,390.6667,80475.0000,12501333.3333,76611.8333,2344.0000,12845165.0000
32000,1280,0,ks_bmax_top16,lt_m2_c512,ldpcdense,190,190,0,6,6,194.6667,218,217.8333,216400.8333,184400.8333,6458311.8333,390.6667,176190.0000,12501333.3333,76611.8333,2344.0000,12940880.0000
32000,1280,0,ks_bmax_top16,lt_m2_c1024,dense,190,0,190,6,6,191.3333,219,294.6667,237232.5000,205232.5000,6384918.1667,387.3333,80475.0000,12394666.6667,75231.0000,2324.0000,12757929.1667
32000,1280,0,ks_bmax_top16,lt_m2_c1024,ldpcdense,190,190,0,6,6,191.3333,219,294.6667,237232.5000,205232.5000,6384918.1667,387.3333,176190.0000,12394666.6667,75231.0000,2324.0000,12853644.1667
32000,1280,2,ks_bmax_top16,policy,dense,190,0,190,6,6,369.8333,397,186.5000,167598.0000,135596.0000,12107479.1667,565.8333,80475.0000,18106666.6667,160303.5833,3395.0000,18486436.2500
32000,1280,2,ks_bmax_top16,policy,ldpcdense,190,190,0,6,6,369.8333,397,186.5000,167598.0000,135596.0000,12107479.1667,565.8333,176190.0000,18106666.6667,160303.5833,3395.0000,18582151.2500
32000,1280,2,ks_bmax_top16,lt_m2_c96,dense,190,0,190,6,6,369.8333,397,186.5000,167598.0000,135596.0000,12107479.1667,565.8333,80475.0000,18106666.6667,160303.5833,3395.0000,18486436.2500
32000,1280,2,ks_bmax_top16,lt_m2_c96,ldpcdense,190,190,0,6,6,369.8333,397,186.5000,167598.0000,135596.0000,12107479.1667,565.8333,176190.0000,18106666.6667,160303.5833,3395.0000,18582151.2500
32000,1280,2,ks_bmax_top16,lt_m2_c256,dense,190,0,190,6,6,222.5000,284,164.8333,196990.6667,164988.6667,7335656.1667,418.5000,80475.0000,13392000.0000,88151.7500,2511.0000,13728126.4167
32000,1280,2,ks_bmax_top16,lt_m2_c256,ldpcdense,190,190,0,6,6,222.5000,284,164.8333,196990.6667,164988.6667,7335656.1667,418.5000,176190.0000,13392000.0000,88151.7500,2511.0000,13823841.4167
32000,1280,2,ks_bmax_top16,lt_m2_c512,dense,190,0,190,6,6,205.6667,236,230.3333,217092.5000,185090.5000,6814224.3333,401.6667,80475.0000,12853333.3333,80815.8333,2410.0000,13202124.6667
32000,1280,2,ks_bmax_top16,lt_m2_c512,ldpcdense,190,190,0,6,6,205.6667,236,230.3333,217092.5000,185090.5000,6814224.3333,401.6667,176190.0000,12853333.3333,80815.8333,2410.0000,13297839.6667
32000,1280,2,ks_bmax_top16,lt_m2_c1024,dense,190,0,190,6,6,197.8333,232,314.3333,239819.1667,207817.1667,6602023.0000,393.8333,80475.0000,12602666.6667,77883.2500,2363.0000,12971205.0833
32000,1280,2,ks_bmax_top16,lt_m2_c1024,ldpcdense,190,190,0,6,6,197.8333,232,314.3333,239819.1667,207817.1667,6602023.0000,393.8333,176190.0000,12602666.6667,77883.2500,2363.0000,13066920.0833
320,102400,0,ks_bmax_top16,policy,dense,34,0,34,6,6,18.5000,21,11.8333,1129.0000,809.0000,7094.6667,58.5000,885.0000,18720.0000,1714.0833,351.0000,22479.0833
320,102400,0,ks_bmax_top16,policy,ldpcdense,41,25,16,6,6,18.5000,21,11.8333,1129.0000,809.0000,7094.6667,65.5000,1825.0000,20960.0000,2148.0833,393.0000,26135.0833
320,102400,0,ks_bmax_top16,lt_m2_c96,dense,34,0,34,6,6,15.0000,17,36.8333,1756.0000,1436.0000,6804.8333,55.0000,885.0000,17600.0000,1514.8333,330.0000,21765.8333
320,102400,0,ks_bmax_top16,lt_m2_c96,ldpcdense,41,25,16,6,6,15.0000,17,36.8333,1756.0000,1436.0000,6804.8333,62.0000,1825.0000,19840.0000,1924.3333,372.0000,25397.3333
320,102400,0,ks_bmax_top16,lt_m2_c256,dense,34,0,34,6,6,20.0000,29,46.1667,1981.3333,1661.3333,9042.8333,60.0000,885.0000,19200.0000,1809.8333,360.0000,23916.1667
320,102400,0,ks_bmax_top16,lt_m2_c256,ldpcdense,41,25,16,6,6,20.0000,29,46.1667,1981.3333,1661.3333,9042.8333,67.0000,1825.0000,21440.0000,2254.3333,402.0000,27582.6667
320,102400,0,ks_bmax_top16,lt_m2_c512,dense,34,0,34,6,6,21.0000,24,50.5000,2262.5000,1942.5000,9742.5000,61.0000,885.0000,19520.0000,1862.6667,366.0000,24576.1667
320,102400,0,ks_bmax_top16,lt_m2_c512,ldpcdense,41,25,16,6,6,21.0000,24,50.5000,2262.5000,1942.5000,9742.5000,68.0000,1825.0000,21760.0000,2314.1667,408.0000,28249.6667
320,102400,0,ks_bmax_top16,lt_m2_c1024,dense,34,0,34,6,6,21.0000,24,50.5000,2262.5000,1942.5000,9742.5000,61.0000,885.0000,19520.0000,1862.6667,366.0000,24576.1667
320,102400,0,ks_bmax_top16,lt_m2_c1024,ldpcdense,41,25,16,6,6,21.0000,24,50.5000,2262.5000,1942.5000,9742.5000,68.0000,1825.0000,21760.0000,2314.1667,408.0000,28249.6667
320,102400,2,ks_bmax_top16,policy,dense,34,0,34,6,6,17.8333,23,15.5000,1157.0000,835.0000,6905.6667,57.8333,885.0000,18506.6667,1678.2500,347.0000,22251.9167
320,102400,2,ks_bmax_top16,policy,ldpcdense,41,25,16,6,6,17.8333,23,15.5000,1157.0000,835.0000,6905.6667,64.8333,1825.0000,20746.6667,2107.5833,389.0000,25903.2500
320,102400,2,ks_bmax_top16,lt_m2_c96,dense,34,0,34,6,6,15.1667,22,30.1667,1566.8333,1244.8333,6610.5000,55.1667,885.0000,17653.3333,1531.0833,331.0000,21645.2500
320,102400,2,ks_bmax_top16,lt_m2_c96,ldpcdense,41,25,16,6,6,15.1667,22,30.1667,1566.8333,1244.8333,6610.5000,62.1667,1825.0000,19893.3333,1941.7500,373.0000,25277.9167
320,102400,2,ks_bmax_top16,lt_m2_c256,dense,34,0,34,6,6,16.3333,27,35.6667,1841.3333,1519.3333,7400.0000,56.3333,885.0000,18026.6667,1604.3333,338.0000,22373.3333
320,102400,2,ks_bmax_top16,lt_m2_c256,ldpcdense,41,25,16,6,6,16.3333,27,35.6667,1841.3333,1519.3333,7400.0000,63.3333,1825.0000,20266.6667,2023.1667,380.0000,26014.1667
320,102400,2,ks_bmax_top16,lt_m2_c512,dense,34,0,34,6,6,16.1667,21,35.5000,1801.3333,1479.3333,7261.1667,56.1667,885.0000,17973.3333,1583.0833,337.0000,22257.7500
320,102400,2,ks_bmax_top16,lt_m2_c512,ldpcdense,41,25,16,6,6,16.1667,21,35.5000,1801.3333,1479.3333,7261.1667,63.1667,1825.0000,20213.3333,2000.7500,379.0000,25897.4167
320,102400,2,ks_bmax_top16,lt_m2_c1024,dense,34,0,34,6,6,16.1667,21,35.5000,1801.3333,1479.3333,7261.1667,56.1667,885.0000,17973.3333,1583.0833,337.0000,22257.7500
320,102400,2,ks_bmax_top16,lt_m2_c1024,ldpcdense,41,25,16,6,6,16.1667,21,35.5000,1801.3333,1479.3333,7261.1667,63.1667,1825.0000,20213.3333,2000.7500,379.0000,25897.4167
3200,102400,0,ks_bmax_top16,policy,dense,62,0,62,6,6,104.5000,128,52.0000,13279.6667,10079.6667,355626.8333,172.5000,8155.0000,552000.0000,14991.5833,1035.0000,586261.2500
3200,102400,0,ks_bmax_top16,policy,ldpcdense,55,43,12,6,6,104.5000,128,52.0000,13279.6667,10079.6667,355626.8333,165.5000,17673.0000,529600.0000,13808.5833,993.0000,572154.2500
3200,102400,0,ks_bmax_top16,lt_m2_c96,dense,62,0,62,6,6,78.5000,92,90.6667,16616.8333,13416.8333,272040.3333,146.5000,8155.0000,468800.0000,10785.0833,879.0000,502035.9167
3200,102400,0,ks_bmax_top16,lt_m2_c96,ldpcdense,55,43,12,6,6,78.5000,92,90.6667,16616.8333,13416.8333,272040.3333,139.5000,17673.0000,446400.0000,9784.0833,837.0000,488110.9167
3200,102400,0,ks_bmax_top16,lt_m2_c256,dense,62,0,62,6,6,61.5000,77,101.5000,19418.1667,16218.1667,219466.1667,129.5000,8155.0000,414400.0000,8433.5833,777.0000,447983.7500
3200,102400,0,ks_bmax_top16,lt_m2_c256,ldpcdense,55,43,12,6,6,61.5000,77,101.5000,19418.1667,16218.1667,219466.1667,122.5000,17673.0000,392000.0000,7551.5833,735.0000,434177.7500
3200,102400,0,ks_bmax_top16,lt_m2_c512,dense,62,0,62,6,6,59.3333,78,119.0000,22096.5000,18896.5000,216100.5000,127.3333,8155.0000,407466.6667,8149.8333,764.0000,443432.0000
3200,102400,0,ks_bmax_top16,lt_m2_c512,ldpcdense,55,43,12,6,6,59.3333,78,119.0000,22096.5000,18896.5000,216100.5000,120.3333,17673.0000,385066.6667,7283.0000,722.0000,429641.1667
3200,102400,0,ks_bmax_top16,lt_m2_c1024,dense,62,0,62,6,6,65.8333,79,146.3333,24790.8333,21590.8333,242140.5000,133.8333,8155.0000,428266.6667,8999.2500,803.0000,467814.7500
3200,102400,0,ks_bmax_top16,lt_m2_c1024,ldpcdense,55,43,12,6,6,65.8333,79,146.3333,24790.8333,21590.8333,242140.5000,126.8333,17673.0000,405866.6667,8086.9167,761.0000,453978.4167
3200,102400,2,ks_bmax_top16,policy,dense,62,0,62,6,6,81.5000,111,35.6667,13441.0000,10239.0000,277876.1667,149.5000,8155.0000,478400.0000,11272.5833,897.0000,508963.5833
3200,102400,2,ks_bmax_top16,policy,ldpcdense,55,43,12,6,6,81.5000,111,35.6667,13441.0000,10239.0000,277876.1667,142.5000,17673.0000,456000.0000,10250.5833,855.0000,495017.5833
3200,102400,2,ks_bmax_top16,lt_m2_c96,dense,62,0,62,6,6,59.0000,80,61.3333,16681.5000,13479.5000,206355.6667,127.0000,8155.0000,406400.0000,8118.3333,762.0000,436914.8333
3200,102400,2,ks_bmax_top16,lt_m2_c96,ldpcdense,55,43,12,6,6,59.0000,80,61.3333,16681.5000,13479.5000,206355.6667,120.0000,17673.0000,384000.0000,7253.8333,720.0000,423126.3333
