# source=/tmp/lookahead_cost/lookahead_exact_controls_N1000_6400_t20_j10.csv
# command=peel_sweep --N 1000,6400 --N-jitter 10 --structures lt_m2_c16,lt_m1_c64,rs_c001_d50_c128,lt_m2_c3200,wirehair_rand --methods 18,40,119,120,123,124 --trials 20 --overhead 0 --threads 128 --pdf
# note=small exact-copy one-step scoring control; omitted at N=32000 because smoke testing showed multi-second trials
# xor_calibration_us_per_xor_1280=0.022577343
# xor_calibration_us_per_xor_100kib=4.309740442
# xor_calibration_us_per_xor_1mib=45.927485992
method_id,method,cost,structure,N,N_jitter,actual_N_mu,actual_N_min,actual_N_max,matrix_rows_mu,matrix_rows_min,matrix_rows_max,matrix_refs_mu,row_refs_mu,row_xors_mu,matrix_xors_mu,overhead,overhead_pct,source,trials,cols_mu,cols_sd,c50,c95,c99,cmax,rows_mu,rows_sd,r50,r95,r99,rmax,comp_mu,maxcomp_mu,sumsq_mu,init_todo_mu,init_d2_mu,choices_mu,solve_sparse_xors_mu,solve_dense_xors_est_mu,solve_total_xors_est_mu,build_us,greedy_us,total_us,cols_pdf,rows_pdf,greedy_xor_eq_1280,solve_plus_greedy_xors_1280,matrix_solve_plus_greedy_xors_1280,greedy_xor_eq_100kib,solve_plus_greedy_xors_100kib,matrix_solve_plus_greedy_xors_100kib,greedy_xor_eq_1mib,solve_plus_greedy_xors_1mib,matrix_solve_plus_greedy_xors_1mib
123,sim1_top16,O(cols + 16*copy) top16/default + exact one-step score,lt_m2_c16,1000,10,1003.05,992,1010,1003.05,992,1010,3545.35,3.5346,2.5346,2542.30,0,0,random-paired,20,42.75,5.66,42,50,57,57,42.75,5.66,42,50,57,57,42.75,1.00,42.75,1003.05,538.35,42.75,2500.70,1859.65,4360.35,324.4,32545.8,32890.0,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.050;42:0.150;43:0.050;44:0.050;46:0.100;47:0.050;48:0.050;49:0.050;50:0.050;57:0.050,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.050;42:0.150;43:0.050;44:0.050;46:0.100;47:0.050;48:0.050;49:0.050;50:0.050;57:0.050,1441524.8065,1445885.1565,1448427.4565,7551.6845,11912.0345,14454.3345,708.6345,5068.9845,7611.2845
124,sim1_rqcc16,"O(rows*degree + cols + min(16,cc)*copy) degree-2 CC + exact one-step score",lt_m2_c16,1000,10,1003.05,992,1010,1003.05,992,1010,3545.35,3.5346,2.5346,2542.30,0,0,random-paired,20,42.80,5.71,42,50,57,57,42.80,5.71,42,50,57,57,42.80,1.00,42.80,1003.05,538.35,42.80,2500.25,1864.50,4364.75,449.2,22981.8,23447.0,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.050;42:0.150;43:0.050;44:0.050;46:0.100;47:0.050;49:0.100;50:0.050;57:0.050,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.050;42:0.150;43:0.050;44:0.050;46:0.100;47:0.050;49:0.100;50:0.050;57:0.050,1017914.2869,1022279.0369,1024821.3369,5332.5253,9697.2753,12239.5753,500.3932,4865.1432,7407.4432
18,rqd2_default,O(rows*degree + cols) largest degree-2 component/default tie,lt_m2_c3200,1000,10,1003.05,992,1010,1003.05,992,1010,7580.30,7.5556,6.5556,6577.25,0,0,random-paired,20,20.30,2.10,20,23,26,26,20.30,2.10,20,23,26,26,10.20,10.70,164.20,1003.05,497.45,20.30,6383.05,416.50,6799.55,3468.5,270.2,3753.8,16:0.050;18:0.100;19:0.250;20:0.150;21:0.200;22:0.150;23:0.050;26:0.050,16:0.050;18:0.100;19:0.250;20:0.150;21:0.200;22:0.150;23:0.050;26:0.050,11967.7501,18767.3001,25344.5501,62.6952,6862.2452,13439.4952,5.8832,6805.4332,13382.6832
40,rqcc_lowref,O(rows*degree + cols) largest degree-2 component + low refs,lt_m2_c3200,1000,10,1003.05,992,1010,1003.05,992,1010,7580.30,7.5556,6.5556,6577.25,0,0,random-paired,20,20.30,2.10,20,23,26,26,20.30,2.10,20,23,26,26,15.75,5.45,88.30,1003.05,497.45,20.30,6510.85,416.50,6927.35,3225.7,277.1,3510.7,16:0.050;18:0.100;19:0.250;20:0.150;21:0.200;22:0.150;23:0.050;26:0.050,16:0.050;18:0.100;19:0.250;20:0.150;21:0.200;22:0.150;23:0.050;26:0.050,12273.3663,19200.7163,25777.9663,64.2962,6991.6462,13568.8962,6.0334,6933.3834,13510.6334
119,av_top16,O(cols + 16*local-avalanche) top16/default + local cascade estimate,lt_m2_c3200,1000,10,1003.05,992,1010,1003.05,992,1010,7580.30,7.5556,6.5556,6577.25,0,0,random-paired,20,18.65,2.24,18,22,25,25,18.65,2.24,18,22,25,25,11.80,7.65,107.65,1003.05,497.45,18.65,6419.35,352.85,6772.20,3303.1,3702.8,7016.6,16:0.100;17:0.350;18:0.100;19:0.150;20:0.100;21:0.100;22:0.050;25:0.050,16:0.100;17:0.350;18:0.100;19:0.150;20:0.100;21:0.100;22:0.050;25:0.050,164005.1267,170777.3267,177354.5767,859.1701,7631.3701,14208.6201,80.6227,6852.8227,13430.0727
120,av_top64,O(cols + 64*local-avalanche) top64/default + local cascade estimate,lt_m2_c3200,1000,10,1003.05,992,1010,1003.05,992,1010,7580.30,7.5556,6.5556,6577.25,0,0,random-paired,20,18.35,2.43,18,22,25,25,18.35,2.43,18,22,25,25,11.80,7.40,102.25,1003.05,497.45,18.35,6425.35,342.65,6768.00,3352.6,5044.6,8404.8,15:0.050;16:0.250;17:0.150;18:0.100;19:0.150;20:0.150;21:0.050;22:0.050;25:0.050,15:0.050;16:0.250;17:0.150;18:0.100;19:0.150;20:0.150;21:0.050;22:0.050;25:0.050,223436.3893,230204.3893,236781.6393,1170.5113,7938.5113,14515.7613,109.8384,6877.8384,13455.0884
123,sim1_top16,O(cols + 16*copy) top16/default + exact one-step score,lt_m2_c3200,1000,10,1003.05,992,1010,1003.05,992,1010,7580.30,7.5556,6.5556,6577.25,0,0,random-paired,20,18.60,2.18,18,21,25,25,18.60,2.18,18,21,25,25,9.75,9.60,138.80,1003.05,497.45,18.60,6401.50,350.70,6752.20,3309.2,19847.0,23178.7,16:0.100;17:0.350;18:0.100;19:0.150;20:0.100;21:0.150;25:0.050,16:0.100;17:0.350;18:0.100;19:0.150;20:0.100;21:0.150;25:0.050,879067.1249,885819.3249,892396.5749,4605.1497,11357.3497,17934.5997,432.1377,7184.3377,13761.5877
124,sim1_rqcc16,"O(rows*degree + cols + min(16,cc)*copy) degree-2 CC + exact one-step score",lt_m2_c3200,1000,10,1003.05,992,1010,1003.05,992,1010,7580.30,7.5556,6.5556,6577.25,0,0,random-paired,20,20.30,2.10,20,23,26,26,20.30,2.10,20,23,26,26,10.20,10.70,164.20,1003.05,497.45,20.30,6383.05,416.50,6799.55,3389.2,17967.6,21372.2,16:0.050;18:0.100;19:0.250;20:0.150;21:0.200;22:0.150;23:0.050;26:0.050,16:0.050;18:0.100;19:0.250;20:0.150;21:0.200;22:0.150;23:0.050;26:0.050,795824.3802,802623.9302,809201.1802,4169.0678,10968.6178,17545.8678,391.2167,7190.7667,13768.0167
18,rqd2_default,O(rows*degree + cols) largest degree-2 component/default tie,rs_c001_d50_c128,1000,10,1003.05,992,1010,1003.05,992,1010,5812.95,5.7955,4.7955,4809.90,0,0,random-paired,20,20.95,3.14,21,26,26,26,20.95,3.14,21,26,26,26,19.10,2.45,29.45,911.45,453.75,20.95,4664.15,448.75,5112.90,1648.3,249.1,1913.8,15:0.050;16:0.050;17:0.050;18:0.100;19:0.100;20:0.050;21:0.200;22:0.050;23:0.100;24:0.100;25:0.050;26:0.100,15:0.050;16:0.050;17:0.050;18:0.100;19:0.100;20:0.050;21:0.200;22:0.050;23:0.100;24:0.100;25:0.050;26:0.100,11033.1849,16146.0849,20955.9849,57.7993,5170.6993,9980.5993,5.4238,5118.3238,9928.2238
40,rqcc_lowref,O(rows*degree + cols) largest degree-2 component + low refs,rs_c001_d50_c128,1000,10,1003.05,992,1010,1003.05,992,1010,5812.95,5.7955,4.7955,4809.90,0,0,random-paired,20,20.95,3.14,21,26,26,26,20.95,3.14,21,26,26,26,20.80,1.15,21.35,911.45,453.75,20.95,4774.35,448.75,5223.10,1497.7,258.4,1790.4,15:0.050;16:0.050;17:0.050;18:0.100;19:0.100;20:0.050;21:0.200;22:0.050;23:0.100;24:0.100;25:0.050;26:0.100,15:0.050;16:0.050;17:0.050;18:0.100;19:0.100;20:0.050;21:0.200;22:0.050;23:0.100;24:0.100;25:0.050;26:0.100,11445.1023,16668.2023,21478.1023,59.9572,5283.0572,10092.9572,5.6263,5228.7263,10038.6263
