# methods:
#    0 default          O(cols) cached degree-2 refs
#    1 exact_d2         O(cols + touched_rows*degree) incremental exact degree-2
#    2 lookahead        O(cols + touched_rows*degree) incremental degree-2 partner potential
#    3 weighted         O(cols + touched_rows*degree) incremental exact/look/fill
#    4 min_fill         O(cols + touched_rows*degree) incremental Markowitz-style fill
#    5 min_fillsq       O(cols + touched_rows*degree) incremental quadratic fill
#    6 dup_partner      O(cols + touched_rows*degree) incremental repeated degree-2 partners
#    7 random_tie       O(cols) seeded randomized default ties
#    8 rowrefs          O(cols) column reference count
#    9 min_row_degree   O(rows*degree) minimum live row
#   10 raptorq_d2cc     O(rows*degree + cols) largest degree-2 component
#   11 topk8_lookfill   O(cols + 8*rowrefs) top-K look/fill
#   12 exact_ratio      O(cols + touched_rows*degree) incremental exact degree-2 per fill
#   13 min_maxrow       O(cols + touched_rows*degree) incremental minimize worst touched row
#   14 d3_support       O(cols + touched_rows*degree) incremental degree-3 support
#   15 rq_minrow        O(rows*degree) Raptor-style minimum row degree
#   16 topk4_lookfill   O(cols + 4*rowrefs) top-K look/fill
#   17 topk16_lookfill  O(cols + 16*rowrefs) top-K look/fill
#   18 rqd2_default     O(rows*degree + cols) largest degree-2 component/default tie
#   19 rqd2_minfill     O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie
#   20 minrow_best      O(rows*degree) best column among all minimum rows
#   21 top32_lookfill   O(cols + 32*rowrefs) top-K/default pool + look/fill score
#   22 top64_lookfill   O(cols + 64*rowrefs) top-K/default pool + look/fill score
#   23 top8_ratio       O(cols + 8*rowrefs) top-K/default pool + d2/fill ratio
#   24 top16_ratio      O(cols + 16*rowrefs) top-K/default pool + d2/fill ratio
#   25 top32_ratio      O(cols + 32*rowrefs) top-K/default pool + d2/fill ratio
#   26 top16_dup        O(cols + 16*rowrefs) top-K/default pool + duplicate partners
#   27 top16_d3         O(cols + 16*rowrefs) top-K/default pool + degree-3 support
#   28 top16_livemin    O(cols + 16*rowrefs) top-K/default pool + low live refs
#   29 top16_lowref     O(cols) top-K/default pool + low reference count
#   30 top16_livemax    O(cols + 16*rowrefs) top-K/default pool + high live refs
#   31 top32_minfill    O(cols + 32*rowrefs) top-K/default pool + min-fill
#   32 top32_maxrow     O(cols + 32*rowrefs) top-K/default pool + min max-row
#   33 d2pool_default   O(rows*degree + candidates) all degree-2 endpoints + default score
#   34 d2pool_lowref    O(rows*degree + candidates) all degree-2 endpoints + low refs
#   35 d2pool_lookfill  O(rows*degree + candidates*rowrefs) all degree-2 endpoints + look/fill
#   36 d2pool_dup       O(rows*degree + candidates*rowrefs) all degree-2 endpoints + duplicate partners
#   37 d2pool_ratio     O(rows*degree + candidates*rowrefs) all degree-2 endpoints + d2/fill ratio
#   38 d2pool_minfill   O(rows*degree + candidates*rowrefs) all degree-2 endpoints + min-fill
#   39 d2pool_maxrow    O(rows*degree + candidates*rowrefs) all degree-2 endpoints + min max-row
#   40 rqcc_lowref      O(rows*degree + cols) largest degree-2 component + low refs
#   41 rqcc_lookfill    O(rows*degree + cols + cc*rowrefs) largest degree-2 component + look/fill
#   42 rqcc_dup         O(rows*degree + cols + cc*rowrefs) largest degree-2 component + duplicate partners
#   43 rqcc_ratio       O(rows*degree + cols + cc*rowrefs) largest degree-2 component + d2/fill ratio
#   44 rqcc_minfill     O(rows*degree + cols + cc*rowrefs) largest degree-2 component + min-fill
#   45 rqcc_livemin     O(rows*degree + cols + cc*rowrefs) largest degree-2 component + low live refs
#   46 rqcc_maxrow      O(rows*degree + cols + cc*rowrefs) largest degree-2 component + min max-row
#   47 minrow_default   O(rows*degree + row_degree) first minimum row + default score
#   48 minrow_lowref    O(rows*degree + row_degree) first minimum row + low refs
#   49 minrow_minfill   O(rows*degree + row_degree*rowrefs) first minimum row + min-fill
#   50 minrow_lookfill  O(rows*degree + row_degree*rowrefs) first minimum row + look/fill
#   51 minrow_ratio     O(rows*degree + row_degree*rowrefs) first minimum row + d2/fill ratio
#   52 allmin_default   O(rows*degree + candidates) all minimum rows + default score
#   53 allmin_lowref    O(rows*degree + candidates) all minimum rows + low refs
#   54 allmin_minfill   O(rows*degree + candidates*rowrefs) all minimum rows + min-fill
#   55 allmin_lookfill  O(rows*degree + candidates*rowrefs) all minimum rows + look/fill
#   56 allmin_ratio     O(rows*degree + candidates*rowrefs) all minimum rows + d2/fill ratio
#   57 global_lowref    O(cols) all columns + low reference count
#   58 global_livemin   O(cols + touched_rows*degree) all columns + low live refs
#   59 global_livemax   O(cols*rowrefs) all columns + high live refs
#   60 global_random    O(cols) all columns + seeded randomized tie
#   61 top32_lowref     O(cols) top-K/default pool + low reference count
#   62 top64_ratio      O(cols + 64*rowrefs) top-K/default pool + d2/fill ratio
#   63 top64_minfill    O(cols + 64*rowrefs) top-K/default pool + min-fill
#   64 top32_d3         O(cols + 32*rowrefs) top-K/default pool + degree-3 support
#   65 random_col       O(cols) uniformly random inactivation
#   66 bm_minrand       O(rows*degree) min row, random all-but-one
#   67 bm_minbest       O(rows*degree) min row, leave best default
#   68 bm_minworst      O(rows*degree) min row, leave worst default
#   69 bm_c_tiny        O(rows*degree) Burshtein-Miller omega2-heavy row
#   70 bm_c_decay       O(rows*degree) Burshtein-Miller decaying row weights
#   71 bm_c_uniform     O(rows*degree) random residual row all-but-one
#   72 bm_local2        O(rows + 64*degree) bounded row-action local lookahead
#   73 ks_d2_random     O(rows*degree) random degree-2 endpoint
#   74 ks_smallcc       O(rows*degree + cols) smallest degree-2 component
#   75 ks_boundary_min  O(rows*degree + cols + cc*rowrefs) largest degree-2 component/min boundary
#   76 ks_boundary_max  O(rows*degree + cols + cc*rowrefs) largest degree-2 component/max boundary
#   77 ks_fillmin       O(rows*degree + cols + cc*rowrefs) largest degree-2 component/min fill
#   78 ks_lowref        O(rows*degree + cols) largest degree-2 component/low refs
#   79 ks_random        O(rows*degree + cols) largest degree-2 component/random tie
#   80 ks_all_d2_fill   O(rows*degree + candidates*rowrefs) all degree-2 endpoints/min fill
#   81 minrow_rowdeg    O(rows*degree + candidates) all min rows/row degree
#   82 minrow_ovmin     O(rows*degree + candidates) all min rows/min overlap
#   83 minrow_ovmax     O(rows*degree + candidates) all min rows/max overlap
#   84 minrow_comp      O(rows*degree + candidates*rowrefs) all min rows/component impact
#   85 minrow_fill      O(rows*degree + candidates*rowrefs) all min rows/estimated fill
#   86 minrow_fillratio O(rows*degree + candidates*rowrefs) all min rows/d2-fill ratio
#   87 minrow_liveref   O(rows*degree + candidates*rowrefs) all min rows/low live refs
#   88 minrow_rand      O(rows*degree + candidates) all min rows/random tie
#   89 beam_d2w4        O(top-K, tail<=8 depth*width*copy) beam depth 2 width 4
#   90 beam_d2w8        O(top-K, tail<=8 depth*width*copy) beam depth 2 width 8
#   91 beam_d3w4        O(top-K, tail<=8 depth*width*copy) beam depth 3 width 4
#   92 beam_d3w8        O(top-K, tail<=8 depth*width*copy) beam depth 3 width 8
#   93 hyb_lowref5      O(default then rqcc_lowref below 5pct todo)
#   94 hyb_lowref10     O(default then rqcc_lowref below 10pct todo)
#   95 hyb_ratio5       O(default then rqcc_ratio below 5pct todo)
#   96 hyb_ratio10      O(default then rqcc_ratio below 10pct todo)
#   97 hyb_beam5        O(default then beam depth2/width4 below 5pct todo)
#   98 hyb_beam10       O(default then beam depth2/width4 below 10pct todo)
#   99 hyb_rqbeam       O(rqcc_lowref then beam near tail)
#   100 ms_rtie2         O(2*random_tie schedule) best of two random-tie runs
#   101 ms_rcol2         O(2*random_col schedule) best of two random-column runs
#   102 ms_rtie4         O(4*random_tie schedule) best of four random-tie runs
#   103 ms_rcol4         O(4*random_col schedule) best of four random-column runs
#   104 ms_def_rtie      O(default + random_tie multistart)
#   105 ms_rqcc_rand     O(rqcc randomized tie multistart)
#   106 rah_le2          O(rows*degree) row-action when live degree <= 2
#   107 rah_le3          O(rows*degree) row-action when live degree <= 3
#   108 rah_le4          O(rows*degree) row-action when live degree <= 4
#   109 rah_bm3          O(rows*degree) BM row-action below degree 3 else singleton
#   110 rah_local3       O(rows + 64*degree) bounded local row-action below degree 3 else rqcc
#   111 rah_min4         O(rows*degree) min-row action below degree 4 else rqcc
#   112 lazy_liveref     O(cols + touched_rows*degree) incremental live-ref cache
#   113 lazy_fill        O(cols + touched_rows*degree) incremental fill cache
#   114 lazy_d2          O(cols + touched_rows*degree) incremental degree-2 cache
#   115 ks_bmax_top16    O(rows*degree + cols + min(16,cc)*rowrefs) degree-2 CC/default top16 then boundary-max
#   116 ks_bmax_top64    O(rows*degree + cols + min(64,cc)*rowrefs) degree-2 CC/default top64 then boundary-max
#   117 hyb_bmax5        O(rqd2_default then boundary-max below 5pct todo)
#   118 hyb_bmax10       O(rqd2_default then boundary-max below 10pct todo)
#   119 av_top16         O(cols + 16*local-avalanche) top16/default + local cascade estimate
#   120 av_top64         O(cols + 64*local-avalanche) top64/default + local cascade estimate
#   121 av_rqcc16        O(rows*degree + cols + min(16,cc)*local-avalanche) degree-2 CC + local cascade estimate
#   122 av_rqcc64        O(rows*degree + cols + min(64,cc)*local-avalanche) degree-2 CC + local cascade estimate
#   123 sim1_top16       O(cols + 16*copy) top16/default + exact one-step score
#   124 sim1_rqcc16      O(rows*degree + cols + min(16,cc)*copy) degree-2 CC + exact one-step score
#   125 hyb_rqav5        O(rqd2_default then rqcc16 avalanche-est below 5pct todo)
#   126 hyb_rqav10       O(rqd2_default then rqcc16 avalanche-est below 10pct todo)
#   127 av_lazy16        O(cols + dirty local-avalanche) av_top16 with dependency-invalidated cache
#   128 av_lazy64        O(cols + dirty local-avalanche) av_top64 with dependency-invalidated cache
# structures:
#   wirehair_rand  Wirehair row-weight distribution with random columns
#   binary_p50     fully random dense binary matrix rows with P(column)=0.5
#   uniform1_8     uniform row degree in [1,8]
#   uniform2_8     uniform row degree in [2,8]
#   uniform3_8     uniform row degree in [3,8]
#   uniform1_16    uniform row degree in [1,16]
#   uniform2_16    uniform row degree in [2,16]
#   uniform3_16    uniform row degree in [3,16]
#   gauss4_min1    rounded gaussian degree around 4, min 1, cap 16
#   gauss4_min2    rounded gaussian degree around 4, min 2, cap 16
#   gauss6_min2    rounded gaussian degree around 6, min 2, cap 24
#   lt_trunc64     truncated ideal-soliton-like degree distribution, cap 64
#   lt_no1_64      truncated ideal-soliton-like distribution without degree 1
#   lt_robust64    LT-like distribution with extra degree-1/2 mass, cap 64
#   lt_m1_c16      LT degree distribution, min 1, cap 16
#   lt_m1_c32      LT degree distribution, min 1, cap 32
#   lt_m1_c64      LT degree distribution, min 1, cap 64
#   lt_m1_c128     LT degree distribution, min 1, cap 128
#   lt_m1_c256     LT degree distribution, min 1, cap 256
#   lt_m1_c320     LT degree distribution, min 1, cap 320
#   lt_m1_c3200    LT degree distribution, min 1, cap 3200
#   lt_m2_c16      LT degree distribution, min 2, cap 16
#   lt_m2_c32      LT degree distribution, min 2, cap 32
#   lt_m2_c64      LT degree distribution, min 2, cap 64
#   lt_m2_c96      LT degree distribution, min 2, cap 96
#   lt_m2_c128     LT degree distribution, min 2, cap 128
#   lt_m2_c192     LT degree distribution, min 2, cap 192
#   lt_m2_c256     LT degree distribution, min 2, cap 256
#   lt_m2_c320     LT degree distribution, min 2, cap 320
#   lt_m2_c512     LT degree distribution, min 2, cap 512
#   lt_m2_c640     LT degree distribution, min 2, cap 640
#   lt_m2_c960     LT degree distribution, min 2, cap 960
#   lt_m2_c1024    LT degree distribution, min 2, cap 1024
#   lt_m2_c1280    LT degree distribution, min 2, cap 1280
#   lt_m2_c1920    LT degree distribution, min 2, cap 1920
#   lt_m2_c2560    LT degree distribution, min 2, cap 2560
#   lt_m2_c3200    LT degree distribution, min 2, cap 3200
#   lt_m3_c16      LT degree distribution, min 3, cap 16
#   lt_m3_c32      LT degree distribution, min 3, cap 32
#   lt_m3_c64      LT degree distribution, min 3, cap 64
#   lt_m3_c128     LT degree distribution, min 3, cap 128
#   lt_m3_c256     LT degree distribution, min 3, cap 256
#   lt_m3_c320     LT degree distribution, min 3, cap 320
#   lt_m3_c3200    LT degree distribution, min 3, cap 3200
#   d1mix_lt_p0    0 percent degree-1 rows, otherwise LT min 2 cap 64
#   d1mix_lt_p005  0.5 percent degree-1 rows, otherwise LT min 2 cap 64
#   d1mix_lt_p01   1 percent degree-1 rows, otherwise LT min 2 cap 64
#   d1mix_lt_p2    2 percent degree-1 rows, otherwise LT min 2 cap 64
#   d1mix_lt_p5    5 percent degree-1 rows, otherwise LT min 2 cap 64
#   d1mix_lt_p10   10 percent degree-1 rows, otherwise LT min 2 cap 64
#   d1mix_lt_p20   20 percent degree-1 rows, otherwise LT min 2 cap 64
#   d1mix_lt_p30   30 percent degree-1 rows, otherwise LT min 2 cap 64
#   d1mix_u2_8_p0  0 percent degree-1 rows, otherwise uniform [2,8]
#   d1mix_u2_8_p2  2 percent degree-1 rows, otherwise uniform [2,8]
#   d1mix_u2_8_p5  5 percent degree-1 rows, otherwise uniform [2,8]
#   d1mix_u2_8_p10 10 percent degree-1 rows, otherwise uniform [2,8]
#   d1mix_u2_8_p20 20 percent degree-1 rows, otherwise uniform [2,8]
#   d1mix_u2_8_p30 30 percent degree-1 rows, otherwise uniform [2,8]
#   d1mix_u2_16_p0 0 percent degree-1 rows, otherwise uniform [2,16]
#   d1mix_u2_16_p2 2 percent degree-1 rows, otherwise uniform [2,16]
#   d1mix_u2_16_p5 5 percent degree-1 rows, otherwise uniform [2,16]
#   d1mix_u2_16_p10 10 percent degree-1 rows, otherwise uniform [2,16]
#   d1mix_u2_16_p20 20 percent degree-1 rows, otherwise uniform [2,16]
#   d1mix_u2_16_p30 30 percent degree-1 rows, otherwise uniform [2,16]
#   d1mix_u2_64_p0 0 percent degree-1 rows, otherwise uniform [2,64]
#   d1mix_u2_64_p2 2 percent degree-1 rows, otherwise uniform [2,64]
#   d1mix_u2_64_p5 5 percent degree-1 rows, otherwise uniform [2,64]
#   d1mix_u2_64_p10 10 percent degree-1 rows, otherwise uniform [2,64]
#   d1mix_u2_64_p20 20 percent degree-1 rows, otherwise uniform [2,64]
#   d1mix_u2_64_p30 30 percent degree-1 rows, otherwise uniform [2,64]
#   robust_d1_001_d2_003 LT cap64 plus degree-1 mass 0.01 and degree-2 mass 0.03
#   robust_d1_001_d2_008 LT cap64 plus degree-1 mass 0.01 and degree-2 mass 0.08
#   robust_d1_001_d2_012 LT cap64 plus degree-1 mass 0.01 and degree-2 mass 0.12
#   robust_d1_001_d2_020 LT cap64 plus degree-1 mass 0.01 and degree-2 mass 0.20
#   robust_d1_003_d2_003 LT cap64 plus degree-1 mass 0.03 and degree-2 mass 0.03
#   robust_d1_003_d2_008 LT cap64 plus degree-1 mass 0.03 and degree-2 mass 0.08
#   robust_d1_003_d2_012 LT cap64 plus degree-1 mass 0.03 and degree-2 mass 0.12
#   robust_d1_003_d2_020 LT cap64 plus degree-1 mass 0.03 and degree-2 mass 0.20
#   robust_d1_005_d2_003 LT cap64 plus degree-1 mass 0.05 and degree-2 mass 0.03
#   robust_d1_005_d2_008 LT cap64 plus degree-1 mass 0.05 and degree-2 mass 0.08
#   robust_d1_005_d2_012 LT cap64 plus degree-1 mass 0.05 and degree-2 mass 0.12
#   robust_d1_005_d2_020 LT cap64 plus degree-1 mass 0.05 and degree-2 mass 0.20
#   robust_d1_010_d2_003 LT cap64 plus degree-1 mass 0.10 and degree-2 mass 0.03
#   robust_d1_010_d2_008 LT cap64 plus degree-1 mass 0.10 and degree-2 mass 0.08
#   robust_d1_010_d2_012 LT cap64 plus degree-1 mass 0.10 and degree-2 mass 0.12
#   robust_d1_010_d2_020 LT cap64 plus degree-1 mass 0.10 and degree-2 mass 0.20
#   rs_c001_d50_c128 true robust soliton c=0.01 delta=0.50, cap 128, renormalized
#   rs_c003_d10_c128 true robust soliton c=0.03 delta=0.10, cap 128, renormalized
#   rs_c005_d05_c128 true robust soliton c=0.05 delta=0.05, cap 128, renormalized
#   rs_c010_d01_c128 true robust soliton c=0.10 delta=0.01, cap 128, renormalized
#   sol_alpha075_c128 ideal soliton weights raised to alpha=0.75, cap 128
#   sol_alpha125_c128 ideal soliton weights raised to alpha=1.25, cap 128
#   sol_alpha150_c128 ideal soliton weights raised to alpha=1.50, cap 128
#   sol_m2_alpha075_c320 LT min 2 cap 320 with weights raised to alpha=0.75
#   sol_m2_alpha125_c320 LT min 2 cap 320 with weights raised to alpha=1.25
#   sol_m2_alpha150_c320 LT min 2 cap 320 with weights raised to alpha=1.50
#   sol_m2_alpha075_c3200 LT min 2 cap 3200 with weights raised to alpha=0.75
#   sol_m2_alpha125_c3200 LT min 2 cap 3200 with weights raised to alpha=1.25
#   sol_m2_alpha150_c3200 LT min 2 cap 3200 with weights raised to alpha=1.50
#   lt_m1_c64_fold LT min 1 cap 64 with probability mass above cap folded into cap
#   lt_m2_c64_fold LT min 2 cap 64 with probability mass above cap folded into cap
#   lt_m2_c96_fold LT min 2 cap 96 with probability mass above cap folded into cap
#   lt_m2_c128_fold LT min 2 cap 128 with probability mass above cap folded into cap
#   lt_m2_c192_fold LT min 2 cap 192 with probability mass above cap folded into cap
#   lt_m2_c256_fold LT min 2 cap 256 with probability mass above cap folded into cap
#   lt_m2_c320_fold LT min 2 cap 320 with probability mass above cap folded into cap
#   lt_m2_c512_fold LT min 2 cap 512 with probability mass above cap folded into cap
#   lt_m2_c640_fold LT min 2 cap 640 with probability mass above cap folded into cap
#   lt_m2_c960_fold LT min 2 cap 960 with probability mass above cap folded into cap
#   lt_m2_c1024_fold LT min 2 cap 1024 with probability mass above cap folded into cap
#   lt_m2_c1280_fold LT min 2 cap 1280 with probability mass above cap folded into cap
#   lt_m2_c1920_fold LT min 2 cap 1920 with probability mass above cap folded into cap
#   lt_m2_c2560_fold LT min 2 cap 2560 with probability mass above cap folded into cap
#   lt_m2_c3200_fold LT min 2 cap 3200 with probability mass above cap folded into cap
#   lt_m2_c256_fold0 LT min 2 cap 256 with 0 percent folded tail mass
#   lt_m2_c256_fold25 LT min 2 cap 256 with 25 percent folded tail mass
#   lt_m2_c256_fold50 LT min 2 cap 256 with 50 percent folded tail mass
#   lt_m2_c256_fold200 LT min 2 cap 256 with 200 percent folded tail mass
#   lt_m2_c1024_fold0 LT min 2 cap 1024 with 0 percent folded tail mass
#   lt_m2_c1024_fold25 LT min 2 cap 1024 with 25 percent folded tail mass
#   lt_m2_c1024_fold50 LT min 2 cap 1024 with 50 percent folded tail mass
#   lt_m2_c1024_fold200 LT min 2 cap 1024 with 200 percent folded tail mass
