# peelcost: trials=8 solver=ks_bmax_top16 heavy=6 seed=0xc057c0de
# cost model is a block-XOR proxy: matrix_xors + precode_gen + N*solve_width + solve_width^2/2 + H*solve_width
# precode schemes change width/generation estimates only; rank and constraint-row effects require precode_sim
N,bb,overhead,solver,structure,precode,D,ldpc_cols,dense_rows,H,trials,resid_cols_mu,resid_cols_max,resid_rows_mu,matrix_refs_mu,matrix_xors_mu,legacy_total_xors_mu,solve_width_mu,precode_gen_xors_mu,backsub_xors_mu,ge_block_xors_mu,heavy_muladds_mu,total_block_xors_mu
3200,1280,1,ks_bmax_top16,lt_m2_c256,ldpcdense,55,43,12,6,8,39.8750,51,40.8750,19734.7500,16533.7500,145823.0000,100.8750,17673.0000,322800.0000,5117.5625,605.2500,362729.5625
3200,1280,1,ks_bmax_top16,lt_m2_c512,dense,62,0,62,6,8,33.5000,42,34.5000,22285.5000,19084.5000,127475.5000,101.5000,8155.0000,324800.0000,5168.7500,609.0000,357817.2500
3200,1280,1,ks_bmax_top16,lt_m2_c512,ldpcdense,55,43,12,6,8,33.5000,42,34.5000,22285.5000,19084.5000,127475.5000,94.5000,17673.0000,302400.0000,4482.7500,567.0000,344207.2500
3200,1280,1,ks_bmax_top16,lt_m2_c1024,dense,62,0,62,6,8,39.7500,47,40.7500,24605.7500,21404.7500,150259.5000,107.7500,8155.0000,344800.0000,5822.5000,646.5000,380828.7500
3200,1280,1,ks_bmax_top16,lt_m2_c1024,ldpcdense,55,43,12,6,8,39.7500,47,40.7500,24605.7500,21404.7500,150259.5000,100.7500,17673.0000,322400.0000,5092.7500,604.5000,367175.0000
3200,1280,1,ks_bmax_top16,robust_d1_001_d2_003,dense,62,0,62,6,8,61.2500,95,62.2500,14994.2500,11793.2500,211787.0000,129.2500,8155.0000,413600.0000,8443.2500,775.5000,442767.0000
3200,1280,1,ks_bmax_top16,robust_d1_001_d2_003,ldpcdense,55,43,12,6,8,61.2500,95,62.2500,14994.2500,11793.2500,211787.0000,122.2500,17673.0000,391200.0000,7563.0000,733.5000,428962.7500
3200,1280,1,ks_bmax_top16,robust_d1_001_d2_012,dense,62,0,62,6,8,86.1250,105,87.1250,14356.5000,11155.5000,294436.0000,154.1250,8155.0000,493200.0000,11965.6875,924.7500,525400.9375
3200,1280,1,ks_bmax_top16,robust_d1_001_d2_012,ldpcdense,55,43,12,6,8,86.1250,105,87.1250,14356.5000,11155.5000,294436.0000,147.1250,17673.0000,470800.0000,10911.3125,882.7500,511422.5625
3200,1280,1,ks_bmax_top16,rs_c001_d50_c128,dense,62,0,62,6,8,38.2500,49,39.2500,18248.5000,15047.5000,138974.2500,106.2500,8155.0000,340000.0000,5657.2500,637.5000,369497.2500
3200,1280,1,ks_bmax_top16,rs_c001_d50_c128,ldpcdense,55,43,12,6,8,38.2500,49,39.2500,18248.5000,15047.5000,138974.2500,99.2500,17673.0000,317600.0000,4938.0000,595.5000,355854.0000
3200,1280,1,ks_bmax_top16,rs_c003_d10_c128,dense,62,0,62,6,8,45.0000,62,46.0000,19370.8750,16169.8750,162373.1250,113.0000,8155.0000,361600.0000,6451.1250,678.0000,393054.0000
3200,1280,1,ks_bmax_top16,rs_c003_d10_c128,ldpcdense,55,43,12,6,8,45.0000,62,46.0000,19370.8750,16169.8750,162373.1250,106.0000,17673.0000,339200.0000,5684.6250,636.0000,379363.5000
3200,1280,2,ks_bmax_top16,policy,dense,62,0,62,6,8,70.8750,87,72.8750,13436.0000,10234.0000,242253.1250,138.8750,8155.0000,444400.0000,9670.1875,833.2500,473292.4375
3200,1280,2,ks_bmax_top16,policy,ldpcdense,55,43,12,6,8,70.8750,87,72.8750,13436.0000,10234.0000,242253.1250,131.8750,17673.0000,422000.0000,8722.5625,791.2500,459420.8125
