# dispatch_profile: name=v1 bands=1 band0=k[2,64000]:mixed-p244-frozen-10x2-d4
# precodefail: trials=1 threads=1 loss=0 seed=0x1 completion=mixed mixed_period=244 mixed_gf256_rows=10 mixed_gf16_rows=2 mixed_geometry=frozen mixed_residue_skew=0 mixed_residue_schedule=constant mixed_residue_hash_seed=0x0 mixed_residue_hash_keyed=0 mixed_independent_extension_residues=0 mixed_grouped_gf256_rows=0 mixed_grouped_gf256_row_mask=0x0 mixed_grouped_gf256_hash_seed=0x0 mixed_grouped_final_h_a_columns=0 mixed_residue_buckets_requested=auto mixed_extension_residue_seed_xor=0x4e source_hits_override=0 packet_peel_seed_xor=0x0 packet_peel_seed_table=none binary_dense_rows_override=4 binary_dense_two_anchor=0 binary_dense_two_anchor_phase=0 binary_dense_segmented_anchors=none gf256_heavy_rows_override=0 odd_packet_peel_seed_xor=0x0 packet_row_seed_multiplier=0x1 packet_row_seed_avalanche=0 seed_block_bytes_override=0 overhead_stream=salted full_payload_solve=0 schedule=iid
# untuned: construction_seed_explicit=0 construction_seed=0x0 construction_attempts=0 overhead_early_stop=0 encode_timing_reps=9 overhead_ladder_pct=0 overhead_ladder_min=0
N,bb,heavy_family,mix_count,overhead,trials,success,rank_fail,error,fail_rate,inact_mu,inact_max,binary_def_mu,binary_def_max,heavy_gain_mu,heavy_gain_min,heavy_shortfall,solve_ms_mu,build_ms_mu,peel_ms_mu,project_ms_mu,residual_ms_mu,backsub_ms_mu,seed_attempt,block_xors_mu,block_muladds_mu,first_rank_fail,binary_def_hist,heavy_gain_hist,failure_trials,active_packet_peel_seed_xor,mixed_joint_source_xors_mu,mixed_joint_marginal_xors_mu,mixed_joint_marginal_copies_mu,mixed_joint_active_deltas_mu,mixed_joint_scratch_bytes_mu,mixed_dual_source_columns_mu
# encode_timing_phases,N=451,heavy_family=periodic,mix_count=3,median_sysbuild_ns=8763,median_runtime_ns=30,median_solve_build_ns=9935,median_solve_peel_ns=25779,median_solve_project_ns=15984,median_solve_residual_ns=32819,median_solve_backsub_ns=8372
451,2,periodic,3,0,1,1,0,0,0.00000000,50.000,50,12.000,12,12.000,12,0,0.336,0.030,0.115,0.057,0.113,0.020,0,8253.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=452,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=115103,seconds_per_k_symbols=0.000115103,symbols_per_sec=3926917.63,median_init_ns=115073,median_symbols_ns=30,sink=0
# encode_timing_phases,N=452,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9935,median_runtime_ns=30,median_solve_build_ns=10535,median_solve_peel_ns=29234,median_solve_project_ns=15153,median_solve_residual_ns=41563,median_solve_backsub_ns=8142
452,2,periodic,3,0,1,1,0,0,0.00000000,64.000,64,12.000,12,12.000,12,0,0.307,0.026,0.106,0.040,0.118,0.018,0,8504.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=453,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=107451,seconds_per_k_symbols=0.000107451,symbols_per_sec=4215875.14,median_init_ns=107431,median_symbols_ns=20,sink=0
# encode_timing_phases,N=453,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9184,median_runtime_ns=30,median_solve_build_ns=9925,median_solve_peel_ns=29655,median_solve_project_ns=16004,median_solve_residual_ns=34191,median_solve_backsub_ns=7962
453,2,periodic,3,0,1,1,0,0,0.00000000,56.000,56,12.000,12,12.000,12,0,0.300,0.025,0.104,0.044,0.107,0.019,0,8045.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=454,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=116004,seconds_per_k_symbols=0.000116004,symbols_per_sec=3913658.15,median_init_ns=115984,median_symbols_ns=20,sink=0
# encode_timing_phases,N=454,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9885,median_runtime_ns=30,median_solve_build_ns=10686,median_solve_peel_ns=30156,median_solve_project_ns=17075,median_solve_residual_ns=39299,median_solve_backsub_ns=8383
