# dispatch_profile: name=v1 bands=1 band0=k[2,64000]:mixed-p244-frozen-10x2-d4
# precodefail: trials=1 threads=1 loss=0.10000000000000001 seed=0x2b completion=mixed mixed_period=244 mixed_gf256_rows=10 mixed_gf16_rows=2 mixed_geometry=frozen mixed_residue_skew=0 mixed_residue_schedule=constant mixed_residue_hash_seed=0x0 mixed_residue_hash_keyed=0 mixed_independent_extension_residues=0 mixed_grouped_gf256_rows=0 mixed_grouped_gf256_row_mask=0x0 mixed_grouped_gf256_hash_seed=0x0 mixed_grouped_final_h_a_columns=0 mixed_residue_buckets_requested=auto mixed_extension_residue_seed_xor=0x4e source_hits_override=0 packet_peel_seed_xor=0x0 packet_peel_seed_table=none binary_dense_rows_override=4 binary_dense_two_anchor=0 binary_dense_two_anchor_phase=0 binary_dense_segmented_anchors=none gf256_heavy_rows_override=0 odd_packet_peel_seed_xor=0x0 packet_row_seed_multiplier=0x1 packet_row_seed_avalanche=0 seed_block_bytes_override=0 overhead_stream=paired full_payload_solve=0 schedule=iid
# untuned: construction_seed_explicit=1 construction_seed=0xb4c3451ebc64eb35 construction_attempts=1 overhead_early_stop=1 encode_timing_reps=0 overhead_ladder_pct=0 overhead_ladder_min=0
N,bb,heavy_family,mix_count,overhead,trials,success,rank_fail,error,fail_rate,inact_mu,inact_max,binary_def_mu,binary_def_max,heavy_gain_mu,heavy_gain_min,heavy_shortfall,solve_ms_mu,build_ms_mu,peel_ms_mu,project_ms_mu,residual_ms_mu,backsub_ms_mu,seed_attempt,block_xors_mu,block_muladds_mu,first_rank_fail,binary_def_hist,heavy_gain_hist,failure_trials,active_packet_peel_seed_xor,mixed_joint_source_xors_mu,mixed_joint_marginal_xors_mu,mixed_joint_marginal_copies_mu,mixed_joint_active_deltas_mu,mixed_joint_scratch_bytes_mu,mixed_dual_source_columns_mu
466,2,periodic,3,0,1,1,0,0,0.00000000,59.000,59,12.000,12,12.000,12,0,0.149,0.013,0.051,0.022,0.054,0.009,0,8298.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
467,2,periodic,3,0,1,1,0,0,0.00000000,63.000,63,12.000,12,12.000,12,0,0.153,0.013,0.052,0.022,0.058,0.009,0,8370.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
468,2,periodic,3,0,1,1,0,0,0.00000000,57.000,57,12.000,12,12.000,12,0,0.147,0.013,0.050,0.023,0.052,0.009,0,8448.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
469,2,periodic,3,0,1,1,0,0,0.00000000,54.000,54,12.000,12,12.000,12,0,0.285,0.025,0.103,0.045,0.094,0.018,0,8262.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
470,2,periodic,3,0,1,1,0,0,0.00000000,58.000,58,12.000,12,12.000,12,0,0.301,0.027,0.107,0.043,0.106,0.018,0,8256.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
471,2,periodic,3,0,1,1,0,0,0.00000000,54.000,54,12.000,12,12.000,12,0,0.289,0.026,0.117,0.047,0.088,0.010,0,8415.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
472,2,periodic,3,0,1,1,0,0,0.00000000,55.000,55,12.000,12,12.000,12,0,0.151,0.014,0.055,0.022,0.050,0.009,0,8298.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
473,2,periodic,3,0,1,1,0,0,0.00000000,53.000,53,12.000,12,12.000,12,0,0.296,0.026,0.109,0.046,0.098,0.018,0,8144.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
474,2,periodic,3,0,1,1,0,0,0.00000000,56.000,56,12.000,12,12.000,12,0,0.297,0.025,0.103,0.046,0.105,0.018,0,8299.000,141.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
475,2,periodic,3,0,1,1,0,0,0.00000000,52.000,52,12.000,12,12.000,12,0,0.158,0.016,0.057,0.024,0.051,0.010,0,8430.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
476,2,periodic,3,0,1,1,0,0,0.00000000,59.000,59,12.000,12,12.000,12,0,0.299,0.025,0.110,0.042,0.105,0.018,0,8427.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
477,2,periodic,3,0,1,1,0,0,0.00000000,56.000,56,12.000,12,12.000,12,0,0.283,0.024,0.102,0.042,0.098,0.018,0,8349.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
478,2,periodic,3,0,1,1,0,0,0.00000000,51.000,51,12.000,12,12.000,12,0,0.186,0.024,0.083,0.022,0.047,0.010,0,8200.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
479,2,periodic,3,0,1,1,0,0,0.00000000,57.000,57,12.000,12,12.000,12,0,0.154,0.013,0.055,0.023,0.053,0.009,0,8414.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
480,2,periodic,3,0,1,1,0,0,0.00000000,51.000,51,12.000,12,12.000,12,0,0.146,0.014,0.053,0.023,0.047,0.010,0,8443.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
481,2,periodic,3,0,1,1,0,0,0.00000000,53.000,53,12.000,12,12.000,12,0,0.150,0.014,0.055,0.023,0.049,0.010,0,8340.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
482,2,periodic,3,0,1,1,0,0,0.00000000,56.000,56,12.000,12,12.000,12,0,0.159,0.014,0.056,0.026,0.053,0.009,0,8411.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
483,2,periodic,3,0,1,1,0,0,0.00000000,55.000,55,12.000,12,12.000,12,0,0.286,0.026,0.102,0.045,0.094,0.018,0,8815.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
484,2,periodic,3,0,1,1,0,0,0.00000000,55.000,55,12.000,12,12.000,12,0,0.294,0.026,0.106,0.046,0.098,0.018,0,8468.000,140.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
485,2,periodic,3,0,1,1,0,0,0.00000000,55.000,55,12.000,12,12.000,12,0,0.309,0.026,0.109,0.052,0.103,0.019,0,8487.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
486,2,periodic,3,0,1,1,0,0,0.00000000,59.000,59,12.000,12,12.000,12,0,0.162,0.014,0.060,0.024,0.055,0.010,0,8538.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
487,2,periodic,3,0,1,1,0,0,0.00000000,58.000,58,12.000,12,12.000,12,0,0.289,0.024,0.102,0.045,0.101,0.017,0,8609.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
488,2,periodic,3,0,1,1,0,0,0.00000000,54.000,54,12.000,12,12.000,12,0,0.160,0.015,0.060,0.024,0.052,0.010,0,8434.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
489,2,periodic,3,0,1,1,0,0,0.00000000,58.000,58,12.000,12,12.000,12,0,0.168,0.017,0.061,0.025,0.055,0.010,0,8829.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
490,2,periodic,3,0,1,1,0,0,0.00000000,56.000,56,12.000,12,12.000,12,0,0.153,0.013,0.054,0.024,0.052,0.010,0,8437.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
491,2,periodic,3,0,1,1,0,0,0.00000000,56.000,56,12.000,12,12.000,12,0,0.153,0.014,0.054,0.023,0.053,0.010,0,8661.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
492,2,periodic,3,0,1,1,0,0,0.00000000,61.000,61,12.000,12,12.000,12,0,0.160,0.014,0.055,0.024,0.057,0.010,0,8869.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
493,2,periodic,3,0,1,1,0,0,0.00000000,58.000,58,12.000,12,12.000,12,0,0.155,0.014,0.054,0.023,0.054,0.010,0,8848.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
494,2,periodic,3,0,1,1,0,0,0.00000000,50.000,50,12.000,12,12.000,12,0,0.150,0.014,0.055,0.025,0.045,0.011,0,8889.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
495,2,periodic,3,0,1,1,0,0,0.00000000,54.000,54,12.000,12,12.000,12,0,0.155,0.014,0.055,0.026,0.049,0.010,0,8957.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
496,2,periodic,3,0,1,1,0,0,0.00000000,59.000,59,12.000,12,12.000,12,0,0.156,0.014,0.055,0.022,0.055,0.010,0,8565.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
497,2,periodic,3,0,1,1,0,0,0.00000000,55.000,55,12.000,12,12.000,12,0,0.156,0.014,0.056,0.026,0.051,0.010,0,8844.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
