# precodefail: trials=1 threads=1 loss=0 seed=0x1 completion=mixed mixed_period=244 mixed_gf256_rows=10 mixed_gf16_rows=2 mixed_geometry=frozen mixed_residue_skew=0 mixed_residue_schedule=constant mixed_residue_hash_seed=0x0 mixed_residue_hash_keyed=0 mixed_independent_extension_residues=0 mixed_grouped_gf256_rows=0 mixed_grouped_gf256_row_mask=0x0 mixed_grouped_gf256_hash_seed=0x0 mixed_grouped_final_h_a_columns=0 mixed_residue_buckets_requested=auto mixed_extension_residue_seed_xor=0x4e source_hits_override=0 packet_peel_seed_xor=0x0 packet_peel_seed_table=none binary_dense_rows_override=4 binary_dense_two_anchor=0 binary_dense_two_anchor_phase=0 binary_dense_segmented_anchors=none gf256_heavy_rows_override=0 odd_packet_peel_seed_xor=0x0 packet_row_seed_multiplier=0x1 packet_row_seed_avalanche=0 seed_block_bytes_override=0 overhead_stream=salted full_payload_solve=0 schedule=iid
# untuned: construction_seed_explicit=0 construction_seed=0x0 construction_attempts=0 overhead_early_stop=0 encode_timing_reps=9 overhead_ladder_pct=0 overhead_ladder_min=0
N,bb,heavy_family,mix_count,overhead,trials,success,rank_fail,error,fail_rate,inact_mu,inact_max,binary_def_mu,binary_def_max,heavy_gain_mu,heavy_gain_min,heavy_shortfall,solve_ms_mu,build_ms_mu,peel_ms_mu,project_ms_mu,residual_ms_mu,backsub_ms_mu,seed_attempt,block_xors_mu,block_muladds_mu,first_rank_fail,binary_def_hist,heavy_gain_hist,failure_trials,active_packet_peel_seed_xor,mixed_joint_source_xors_mu,mixed_joint_marginal_xors_mu,mixed_joint_marginal_copies_mu,mixed_joint_active_deltas_mu,mixed_joint_scratch_bytes_mu,mixed_dual_source_columns_mu
# encode_timing,N=519,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=145919,seconds_per_k_symbols=0.000145919,symbols_per_sec=3556767.8,median_init_ns=145889,median_symbols_ns=30,sink=0
# encode_timing_phases,N=519,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10886,median_runtime_ns=30,median_solve_build_ns=12288,median_solve_peel_ns=38909,median_solve_project_ns=19569,median_solve_residual_ns=54151,median_solve_backsub_ns=9515
519,2,periodic,3,0,1,1,0,0,0.00000000,68.000,68,12.000,12,12.000,12,0,0.193,0.016,0.062,0.026,0.078,0.011,0,9763.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=520,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=145098,seconds_per_k_symbols=0.000145098,symbols_per_sec=3583784.75,median_init_ns=145068,median_symbols_ns=30,sink=0
# encode_timing_phases,N=520,heavy_family=periodic,mix_count=3,median_sysbuild_ns=11117,median_runtime_ns=30,median_solve_build_ns=12118,median_solve_peel_ns=38338,median_solve_project_ns=19469,median_solve_residual_ns=54092,median_solve_backsub_ns=9384
520,2,periodic,3,0,1,1,0,0,0.00000000,67.000,67,12.000,12,12.000,12,0,0.418,0.046,0.142,0.061,0.147,0.021,0,9679.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=521,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=131177,seconds_per_k_symbols=0.000131177,symbols_per_sec=3971732.85,median_init_ns=131157,median_symbols_ns=30,sink=0
# encode_timing_phases,N=521,heavy_family=periodic,mix_count=3,median_sysbuild_ns=11167,median_runtime_ns=30,median_solve_build_ns=12259,median_solve_peel_ns=35633,median_solve_project_ns=22164,median_solve_residual_ns=41973,median_solve_backsub_ns=9815
521,2,periodic,3,0,1,1,0,0,0.00000000,57.000,57,12.000,12,12.000,12,0,0.330,0.029,0.118,0.050,0.112,0.021,0,9531.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=522,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=125188,seconds_per_k_symbols=0.000125188,symbols_per_sec=4169728.73,median_init_ns=125168,median_symbols_ns=20,sink=0
