# enctime: reps=15 bb=1 cseed_explicit=0 cseed=0x0 counted=1 single_threaded=1 seed=0x517 dense_override=0 phases=0
K,reps,ok,median_ns,seconds_per_k_symbols,symbols_per_sec,xor_bytes,muladd_bytes,init_ns,symbols_ns,sink
8,15,1,1533,1.533e-06,5218525.77,81,7,1493,40,234
32,15,1,3664,3.664e-06,8733624.45,401,14,3554,110,192
128,15,0,8442,8.442e-06,15162283.8,456,0,8422,20,0
512,15,0,31506,3.1506e-05,16250872.8,2050,0,31486,20,0
2048,15,0,258989,0.000258989,7907671.75,7667,0,258969,20,0
8192,15,0,1644387,0.001644387,4981795.65,37061,0,1644367,30,0
32000,15,0,7920101,0.007920101,4040352.52,145242,0,7920082,29,0
64000,15,0,20665343,0.020665343,3096972.55,293781,0,20665313,29,0
