# enctime: reps=33 bb=1 cseed_explicit=0 cseed=0x0 counted=0 single_threaded=1 seed=0x517 dense_override=0 phases=0
K,reps,ok,median_ns,seconds_per_k_symbols,symbols_per_sec,xor_bytes,muladd_bytes,init_ns,symbols_ns,sink
8,33,1,1512,1.512e-06,5291005.29,0,0,1471,40,234
32,33,1,3725,3.725e-06,8590604.03,0,0,3624,110,192
128,33,1,14510,1.451e-05,8821502.41,0,0,14160,350,225
512,33,1,49082,4.9082e-05,10431522.8,0,0,47732,1342,230
2048,33,1,313490,0.00031349,6532903.76,0,0,308172,5307,26
8192,33,1,1858397,0.001858397,4408100.1,0,0,1837075,21110,14
32000,33,1,9019281,0.009019281,3547954.65,0,0,8942354,76915,13
64000,33,1,23257392,0.023257392,2751813.27,0,0,23103681,153761,61
