K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
1000,dense,50,6,0,200000,0.015585,1.000000,6.0156,8,6:0.984415|7:0.015535|8:0.000050,75.35,4.46,107,69.34,980.65,69.35,7.2354,2625.0,10657.4,26732.1,2848.6,6221.2,488.1,6.0,0.000000
1000,dense,50,6,1,200000,0.000165,1.000000,5.0305,7,5:0.969660|6:0.030175|7:0.000165,74.91,4.46,101,69.88,981.09,69.91,7.2363,2625.0,10648.8,26707.4,2815.2,6197.4,485.4,6.0,0.000000
1000,ldpcdense_s50_d12_h12,50,12,0,200000,0.000230,1.000000,12.0002,13,12:0.999770|13:0.000230,87.98,5.17,117,75.98,986.02,75.98,7.2354,5704.0,8128.8,33224.3,3883.7,9296.2,1199.8,12.0,0.000000
1000,ldpcdense_s50_d12_h12,50,12,1,200000,0.000000,1.000000,11.0005,12,11:0.999495|12:0.000505,87.65,5.15,114,76.65,986.35,76.65,7.2363,5704.0,8123.2,33200.6,3854.2,9305.3,1195.8,12.0,0.000000
1000,ldpcdense_s50_d12_s2_h12,50,12,0,200000,0.000360,1.000000,12.0004,13,12:0.999640|13:0.000360,88.09,5.18,118,76.09,985.91,76.09,7.2354,3602.0,8051.9,33276.4,3893.0,9331.1,1201.1,12.0,0.000000
1000,ldpcdense_s50_d12_s2_h12,50,12,1,200000,0.000000,1.000000,11.0004,12,11:0.999560|12:0.000440,87.75,5.16,116,76.75,986.25,76.75,7.2363,3602.0,8046.6,33253.8,3863.2,9339.7,1197.0,12.0,0.000000
2000,dense,62,6,0,200000,0.015780,1.000000,6.0158,8,6:0.984220|7:0.015725|8:0.000055,98.55,6.39,141,92.54,1969.45,92.55,7.2360,5155.0,23495.6,67482.9,4876.5,14232.9,627.3,6.0,0.000000
2000,dense,62,6,1,200000,0.000155,1.000000,5.0311,10,5:0.969030|6:0.030815|7:0.000145|8:0.000005|10:0.000005,98.10,6.39,139,93.07,1969.90,93.10,7.2361,5155.0,23488.9,67416.0,4832.1,14186.5,624.6,6.0,0.000000
2000,ldpcdense_s62_d12_h12,62,12,0,200000,0.000215,1.000000,12.0002,13,12:0.999785|13:0.000215,106.85,6.42,147,94.85,1979.15,94.85,7.2360,11246.0,17094.6,81980.1,5728.9,17120.7,1426.2,12.0,0.000000
2000,ldpcdense_s62_d12_h12,62,12,1,200000,0.000000,1.000000,11.0005,12,11:0.999525|12:0.000475,106.49,6.37,152,95.49,1979.51,95.49,7.2361,11246.0,17088.9,81908.1,5689.7,17114.7,1421.8,12.0,0.000000
2000,ldpcdense_s62_d12_s2_h12,62,12,0,200000,0.000305,1.000000,12.0003,13,12:0.999695|13:0.000305,106.99,6.43,146,94.99,1979.01,94.99,7.2360,7120.0,16922.6,82074.7,5744.1,17191.4,1427.9,12.0,0.000000
2000,ldpcdense_s62_d12_s2_h12,62,12,1,200000,0.000000,1.000000,11.0005,12,11:0.999460|12:0.000540,106.62,6.37,149,95.62,1979.38,95.62,7.2361,7120.0,16918.3,82001.2,5703.7,17180.1,1423.4,12.0,0.000000
3200,dense,62,6,0,200000,0.015150,1.000000,6.0153,12,6:0.984850|7:0.015105|8:0.000015|9:0.000010|10:0.000010|11:0.000005|12:0.000005,112.87,7.44,158,106.86,3155.13,106.87,7.7287,8155.0,38617.9,124744.6,6397.4,21564.4,713.2,6.0,0.000000
