K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu
3200,dense,62,6,0,6000,0.017167,1.000000,6.0172,7,6:0.982833|7:0.017167,112.79,7.37,150,106.77,3155.21,106.79,7.7272,8155.0,38610.2,124765.7,6387.7,21512.2
3200,dense,62,6,2,6000,0.000167,1.000000,4.0642,18,4:0.938333|5:0.061167|6:0.000333|18:0.000167,112.01,7.47,156,107.94,3155.99,108.01,7.7302,8155.0,38578.5,124579.2,6300.4,21464.5
3200,ldpc,62,6,0,6000,0.015667,1.000000,6.0157,7,6:0.984333|7:0.015667,106.19,8.49,146,100.17,3161.81,100.19,7.7236,9661.0,28127.3,124679.7,5674.0,18008.4
3200,ldpc,62,6,2,6000,0.000167,1.000000,4.0680,13,4:0.934333|5:0.064500|6:0.001000|13:0.000167,105.47,8.50,146,101.40,3162.53,101.47,7.7328,9661.0,28103.2,124610.6,5597.5,17991.7
3200,ldpcdense_s31_d12,31,6,0,6000,0.016833,1.000000,6.0300,18,6:0.983167|7:0.014667|8:0.000333|9:0.000167|10:0.000167|11:0.000167|12:0.000167|13:0.000167|14:0.000167|15:0.000167|17:0.000333|18:0.000333,86.62,8.12,127,80.59,3162.38,80.62,7.7258,17737.0,30611.7,97594.2,3784.0,9717.4
3200,ldpcdense_s31_d12,31,6,2,6000,0.002167,1.000000,4.0842,26,4:0.930667|5:0.066500|6:0.000667|7:0.000833|8:0.000167|9:0.000333|10:0.000167|16:0.000167|18:0.000167|19:0.000167|26:0.000167,85.82,8.22,128,81.73,3163.18,81.82,7.7311,17737.0,30636.3,97305.3,3715.9,9687.7
3200,ldpcdense_s31_d24,31,6,0,6000,0.012333,1.000000,6.0123,7,6:0.987667|7:0.012333,99.58,8.17,147,93.57,3161.42,93.58,7.7322,17767.0,31225.6,115026.6,4991.1,14809.0
3200,ldpcdense_s31_d24,31,6,2,6000,0.000500,1.000000,4.0662,13,4:0.937833|5:0.060500|6:0.001167|9:0.000167|10:0.000167|13:0.000167,98.79,8.05,131,94.72,3162.21,94.79,7.7292,17767.0,31182.3,114809.3,4912.0,14755.1
3200,ldpcdense_s43_d12,43,6,0,6000,0.015333,1.000000,6.0153,7,6:0.984667|7:0.015333,99.16,8.44,144,93.15,3161.84,93.16,7.7320,17779.0,29405.3,115095.9,4952.0,14642.9
3200,ldpcdense_s43_d12,43,6,2,6000,0.000000,1.000000,4.0622,6,4:0.938667|5:0.060500|6:0.000833,98.22,8.25,139,94.16,3162.78,94.22,7.7262,17779.0,29372.8,114656.4,4857.1,14514.3
3200,ldpcdense_s43_d24,43,6,0,6000,0.015333,1.000000,6.0153,7,6:0.984667|7:0.015333,111.76,8.27,146,105.74,3161.24,105.76,7.7221,17809.0,29759.8,131700.6,6278.8,20994.2
3200,ldpcdense_s43_d24,43,6,2,6000,0.000000,1.000000,4.0620,6,4:0.938167|5:0.061667|6:0.000167,111.17,8.36,149,107.11,3161.83,107.17,7.7288,17809.0,29695.8,131517.1,6214.3,21060.4
3200,ldpcdense_s31_d12_h12,31,12,0,6000,0.002000,1.000000,12.0052,18,12:0.998000|13:0.001000|14:0.000167|16:0.000500|17:0.000167|18:0.000167,93.07,8.20,130,81.07,3161.93,81.07,7.7309,17737.0,30622.7,106352.8,4364.5,11258.6
3200,ldpcdense_s31_d12_h12,31,12,2,6000,0.000833,1.000000,10.0098,26,10:0.997500|11:0.001167|12:0.000500|13:0.000333|21:0.000167|23:0.000167|26:0.000167,92.18,7.87,127,82.17,3162.82,82.18,7.7287,17737.0,30634.7,106099.1,4278.9,11171.3
3200,ldpcdense_s31_d24_h12,31,12,0,6000,0.000667,1.000000,12.0015,18,12:0.999333|13:0.000500|18:0.000167,106.15,8.23,142,94.15,3160.85,94.15,7.7278,17767.0,31224.1,123453.9,5667.9,16906.4
3200,ldpcdense_s31_d24_h12,31,12,2,6000,0.000000,1.000000,10.0003,11,10:0.999667|11:0.000333,105.42,8.06,143,95.42,3161.58,95.42,7.7308,17767.0,31196.2,123290.3,5589.4,16886.3
3200,ldpcdense_s43_d12_h12,43,12,0,6000,0.000000,1.000000,12.0000,12,12:1.000000,105.63,8.20,159,93.63,3161.37,93.63,7.7317,17779.0,29421.5,123407.6,5612.4,16649.1
3200,ldpcdense_s43_d12_h12,43,12,2,6000,0.000167,1.000000,10.0028,24,10:0.999333|11:0.000500|24:0.000167,104.73,8.29,146,94.72,3162.27,94.73,7.7302,17779.0,29382.0,123242.1,5517.8,16563.4
