K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu
1000,dense,50,6,0,6000,0.017000,1.000000,6.0172,8,6:0.983000|7:0.016833|8:0.000167,75.42,4.39,99,69.40,980.58,69.42,7.2362,2625.0,10649.0,26713.8,2853.5,6236.5
1000,dense,50,6,2,6000,0.000000,1.000000,4.0567,6,4:0.944333|5:0.054667|6:0.001000,74.54,4.45,94,70.48,981.46,70.54,7.2328,2625.0,10638.2,26666.4,2787.7,6191.8
1000,ldpc,50,6,0,6000,0.015333,1.000000,6.0155,8,6:0.984667|7:0.015167|8:0.000167,70.46,5.00,90,64.44,985.54,64.46,7.2380,3049.0,8037.3,26812.6,2494.5,5080.4
1000,ldpc,50,6,2,6000,0.000000,1.000000,4.0605,6,4:0.940167|5:0.059167|6:0.000667,69.55,5.04,92,65.49,986.45,65.55,7.2387,3049.0,8036.9,26710.7,2430.9,5035.4
1000,dense_d25_h8,25,8,0,6000,0.009667,1.000000,8.0183,19,8:0.990333|9:0.006833|10:0.001500|11:0.000167|12:0.000167|13:0.000167|14:0.000333|15:0.000167|17:0.000167|19:0.000167,52.62,4.31,75,44.60,980.38,44.62,7.2342,2562.0,10161.2,17747.4,1393.4,1973.9
1000,dense_d25_h8,25,8,2,6000,0.003500,1.000000,6.0435,16,6:0.972000|7:0.023167|8:0.001333|9:0.001500|10:0.000500|11:0.000500|13:0.000333|15:0.000333|16:0.000333,51.78,4.37,78,45.73,981.22,45.78,7.2322,2562.0,10161.8,17658.3,1349.7,1962.3
1000,dense_d30_h8,30,8,0,6000,0.004000,1.000000,8.0055,17,8:0.996000|9:0.003667|10:0.000167|17:0.000167,57.59,4.33,81,49.59,980.41,49.59,7.2345,2575.0,10301.7,19766.8,1667.6,2618.7
1000,dense_d30_h8,30,8,2,6000,0.000667,1.000000,6.0215,15,6:0.981667|7:0.017167|8:0.000500|9:0.000167|10:0.000333|15:0.000167,56.73,4.38,83,50.71,981.26,50.73,7.2379,2575.0,10268.6,19741.1,1618.7,2601.1
1000,dense_d35_h8,35,8,0,6000,0.005167,1.000000,8.0065,17,8:0.994833|9:0.005000|17:0.000167,62.56,4.36,87,54.55,980.44,54.56,7.2390,2587.0,10400.5,21774.0,1966.2,3390.1
1000,dense_d35_h8,35,8,2,6000,0.000000,1.000000,6.0118,8,6:0.988333|7:0.011500|8:0.000167,61.57,4.37,84,55.56,981.43,55.57,7.2366,2587.0,10383.3,21731.0,1904.5,3344.5
1000,dense_d40_h8,40,8,0,6000,0.003833,1.000000,8.0038,9,8:0.996167|9:0.003833,67.52,4.32,88,59.51,980.48,59.52,7.2370,2600.0,10515.3,23725.2,2288.4,4296.3
