K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,ge_real_bitops_mu,ge_real_rowops_mu,fill_in_mu,def_outside_w18_rate,def_band_w95,def_band_w99
3200,dense,62,6,0,20000,0.015150,1.000000,6.0152,9,6:0.984850|7:0.015100|9:0.000050,112.85,7.40,150,106.84,3155.15,106.85,7.7280,8155.0,38621.1,124791.5,6394.9,21550.2,713.1,6.0,5223.5,2776.4,54.07,0.000350,11,13
3200,dense,62,6,1,20000,0.000250,1.000000,5.0291,9,5:0.971200|6:0.028550|7:0.000200|9:0.000050,112.34,7.42,147,107.31,3155.66,107.34,7.7269,8155.0,38601.6,124550.5,6337.7,21456.1,710.1,6.0,5256.9,2801.9,54.19,0.000100,10,12
3200,dense,62,6,2,20000,0.000050,1.000000,4.0630,7,4:0.937850|5:0.061300|6:0.000800|7:0.000050,111.92,7.43,149,107.86,3156.08,107.92,7.7279,8155.0,38622.1,124509.6,6290.9,21414.3,707.5,6.0,5300.1,2832.8,54.42,0.000050,9,11
3200,dense_h12,62,12,0,20000,0.000200,1.000000,12.0002,13,12:0.999800|13:0.000200,119.23,7.42,160,107.23,3154.77,107.23,7.7280,8155.0,38604.4,133083.4,7135.5,24120.0,1574.8,12.0,5539.9,2797.0,59.02,0.016900,17,19
3200,dense_h12,62,12,1,20000,0.000000,1.000000,11.0005,12,11:0.999500|12:0.000500,118.75,7.41,156,107.75,3155.25,107.75,7.7269,8155.0,38588.0,132872.6,7077.7,24039.1,1569.0,12.0,5546.9,2824.2,59.18,0.008350,16,18
3200,dense_h12,62,12,2,20000,0.000000,1.000000,10.0012,11,10:0.998850|11:0.001150,118.34,7.47,157,108.34,3155.66,108.34,7.7279,8155.0,38582.6,132823.5,7029.6,24009.8,1564.1,12.0,5583.8,2855.8,59.47,0.003550,15,17
3200,ldpc,62,6,0,20000,0.014400,1.000000,6.0145,9,6:0.985600|7:0.014350|9:0.000050,106.12,8.48,149,100.11,3161.88,100.12,7.7280,9661.0,28118.7,124720.9,5666.5,17972.7,672.7,6.0,4601.8,2438.7,53.61,0.000050,11,13
3200,ldpc,62,6,1,20000,0.000350,1.000000,5.0297,9,5:0.970800|6:0.028850|7:0.000300|9:0.000050,105.61,8.40,145,100.58,3162.39,100.61,7.7269,9661.0,28120.8,124503.7,5611.3,17879.1,669.6,6.0,4638.5,2462.8,54.16,0.000100,10,12
3200,ldpc,62,6,2,20000,0.000050,1.000000,4.0590,7,4:0.941850|5:0.057400|6:0.000700|7:0.000050,105.32,8.41,147,101.26,3162.68,101.32,7.7279,9661.0,28110.9,124449.5,5581.0,17908.1,667.9,6.0,4692.4,2497.4,54.49,0.000100,9,11
3200,ldpc_h12,62,12,0,20000,0.000350,1.000000,12.0003,13,12:0.999650|13:0.000350,112.46,8.52,163,100.46,3161.54,100.46,7.7280,9661.0,28120.2,132987.7,6359.7,20225.9,1493.5,12.0,4735.7,2455.7,58.85,0.015100,17,19
3200,ldpc_h12,62,12,1,20000,0.000000,1.000000,11.0009,12,11:0.999050|12:0.000950,111.99,8.42,150,100.98,3162.01,100.99,7.7269,9661.0,28112.8,132813.2,6305.5,20151.8,1487.8,12.0,4767.4,2481.8,58.91,0.008000,16,18
3200,ldpc_h12,62,12,2,20000,0.000000,1.000000,10.0013,11,10:0.998750|11:0.001250,111.69,8.39,155,101.69,3162.31,101.69,7.7279,9661.0,28109.3,132781.7,6272.1,20182.2,1484.3,12.0,4812.3,2516.4,59.29,0.003450,15,17
3200,ldpcdense_s50_d12,50,6,0,20000,0.014700,1.000000,6.0149,9,6:0.985300|7:0.014600|8:0.000050|9:0.000050,106.50,8.42,149,100.48,3161.50,100.50,7.7280,17804.0,28941.1,124834.2,5706.1,18161.2,675.0,6.0,4633.0,2456.5,54.11,0.000400,11,13
3200,ldpcdense_s50_d12,50,6,1,20000,0.000300,1.000000,5.0300,9,5:0.970450|6:0.029250|7:0.000200|8:0.000050|9:0.000050,105.94,8.32,144,100.91,3162.06,100.94,7.7269,17804.0,28951.8,124614.7,5646.2,18044.3,671.7,6.0,4666.5,2478.1,54.13,0.000150,10,12
3200,ldpcdense_s50_d12,50,6,2,20000,0.000050,1.000000,4.0583,7,4:0.942450|5:0.056800|6:0.000700|7:0.000050,105.66,8.33,147,101.60,3162.34,101.66,7.7279,17804.0,28938.9,124574.9,5616.3,18076.4,669.9,6.0,4719.1,2513.3,54.45,0.000000,9,11
3200,ldpcdense_s50_d12_h8,50,8,0,20000,0.003950,1.000000,8.0039,9,8:0.996050|9:0.003950,108.57,8.39,153,100.57,3161.43,100.57,7.7280,17804.0,28944.8,127616.0,5929.1,18878.6,932.6,8.0,4662.5,2460.6,55.77,0.000800,13,15
