K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
3200,dense,62,6,0,20000,0.016600,1.000000,6.0167,8,6:0.983400|7:0.016550|8:0.000050,112.83,7.37,160,106.82,3155.17,106.83,7.7280,8155.0,38603.8,124736.4,6392.7,21537.7,713.0,6.0,0.000000
3200,dense,62,6,1,20000,0.000250,1.000000,5.0300,7,5:0.970300|6:0.029450|7:0.000250,112.36,7.45,160,107.33,3155.64,107.36,7.7298,8155.0,38584.6,124620.0,6340.2,21470.9,710.2,6.0,0.000000
3200,dense,62,6,2,20000,0.000050,1.000000,4.0650,20,4:0.936750|5:0.062200|6:0.001000|20:0.000050,111.97,7.42,156,107.90,3156.03,107.97,7.7286,8155.0,38575.6,124504.6,6295.5,21437.5,707.8,6.0,0.000000
3200,dense,62,6,5,20000,0.000000,1.000000,1.4575,6,1:0.581050|2:0.381450|3:0.036550|4:0.000900|6:0.000050,110.61,7.35,148,109.15,3157.39,109.61,7.7271,8155.0,38564.3,124094.7,6144.2,21236.2,699.7,6.0,0.000000
3200,ldpc,62,6,0,20000,0.015300,1.000000,6.0155,8,6:0.984700|7:0.015150|8:0.000150,106.07,8.44,160,100.06,3161.93,100.07,7.7280,9661.0,28120.3,124672.7,5660.9,17944.5,672.4,6.0,0.000000
3200,ldpc,62,6,1,20000,0.000150,1.000000,5.0325,7,5:0.967600|6:0.032250|7:0.000150,105.68,8.50,156,100.65,3162.32,100.68,7.7298,9661.0,28118.4,124583.6,5620.4,17928.0,670.1,6.0,0.000000
3200,ldpc,62,6,2,20000,0.000050,1.000000,4.0636,20,4:0.937900|5:0.061250|6:0.000800|20:0.000050,105.34,8.44,150,101.28,3162.66,101.34,7.7286,9661.0,28105.5,124467.8,5583.6,17922.3,668.0,6.0,0.000000
3200,ldpc,62,6,5,20000,0.000000,1.000000,1.4611,6,1:0.576000|2:0.387600|3:0.035800|4:0.000550|6:0.000050,104.06,8.20,149,102.60,3163.94,103.06,7.7271,9661.0,28091.6,124059.7,5447.3,17766.3,660.3,6.0,0.000000
3200,ldpcdense_s37_d12,37,6,0,20000,0.016700,1.000000,6.0202,18,6:0.983300|7:0.015700|8:0.000150|9:0.000350|10:0.000250|11:0.000050|12:0.000050|14:0.000050|18:0.000100,92.77,8.20,146,86.75,3162.23,86.77,7.7280,17758.0,29938.9,106348.7,4336.8,11960.2,592.6,6.0,0.000000
3200,ldpcdense_s37_d12,37,6,1,20000,0.001050,1.000000,5.0338,18,5:0.970050|6:0.028900|7:0.000450|8:0.000150|10:0.000150|11:0.000050|12:0.000050|13:0.000050|15:0.000050|17:0.000050|18:0.000050,92.32,8.25,151,87.29,3162.68,87.32,7.7298,17758.0,29919.7,106238.9,4295.2,11922.3,589.9,6.0,0.000000
3200,ldpcdense_s37_d12,37,6,2,20000,0.000750,1.000000,4.0686,33,4:0.937150|5:0.061350|6:0.000750|7:0.000250|8:0.000050|10:0.000100|11:0.000100|13:0.000100|14:0.000050|18:0.000050|33:0.000050,92.00,8.27,137,87.93,3163.00,88.00,7.7286,17758.0,29907.2,106110.7,4266.2,11934.4,588.0,6.0,0.000000
3200,ldpcdense_s37_d12,37,6,5,20000,0.000600,1.000000,1.4781,19,1:0.567950|2:0.391500|3:0.038650|4:0.000750|5:0.000500|6:0.000050|7:0.000350|8:0.000050|9:0.000050|10:0.000050|13:0.000050|19:0.000050,90.72,8.09,140,89.24,3164.28,89.72,7.7271,17758.0,29889.6,105703.6,4147.6,11819.1,580.3,6.0,0.000000
3200,ldpcdense_s37_d19,37,6,0,20000,0.014750,1.000000,6.0152,11,6:0.985250|7:0.014550|8:0.000100|11:0.000100,100.37,8.19,154,94.36,3161.63,94.37,7.7280,17776.0,30212.1,116405.1,5070.8,15170.5,638.2,6.0,0.000000
3200,ldpcdense_s37_d19,37,6,1,20000,0.000400,1.000000,5.0318,11,5:0.969050|6:0.030550|7:0.000250|9:0.000050|10:0.000050|11:0.000050,99.95,8.27,161,94.92,3162.05,94.95,7.7298,17776.0,30187.4,116309.3,5029.3,15142.2,635.7,6.0,0.000000
3200,ldpcdense_s37_d19,37,6,2,20000,0.000250,1.000000,4.0629,26,4:0.939350|5:0.059750|6:0.000650|7:0.000150|11:0.000050|26:0.000050,99.57,8.21,140,95.50,3162.43,95.57,7.7286,17776.0,30178.1,116142.1,4990.2,15117.8,633.4,6.0,0.000000
3200,ldpcdense_s37_d19,37,6,5,20000,0.000050,1.000000,1.4590,12,1:0.579300|2:0.383750|3:0.036100|4:0.000750|6:0.000050|12:0.000050,98.33,8.07,139,96.87,3163.67,97.33,7.7271,17776.0,30143.3,115790.5,4867.0,15008.3,626.0,6.0,0.000000
3200,ldpcdense_s43_d12,43,6,0,20000,0.016000,1.000000,6.0166,12,6:0.984000|7:0.015850|9:0.000050|12:0.000100,99.09,8.29,152,93.08,3161.91,93.09,7.7280,17779.0,29392.1,114914.7,4943.7,14600.0,630.6,6.0,0.000000
3200,ldpcdense_s43_d12,43,6,1,20000,0.000400,1.000000,5.0308,12,5:0.970200|6:0.029400|7:0.000250|9:0.000050|11:0.000050|12:0.000050,98.65,8.38,152,93.62,3162.35,93.65,7.7298,17779.0,29392.3,114830.7,4900.6,14562.9,627.9,6.0,0.000000
3200,ldpcdense_s43_d12,43,6,2,20000,0.000250,1.000000,4.0646,27,4:0.938000|5:0.061050|6:0.000700|7:0.000050|8:0.000050|9:0.000050|12:0.000050|27:0.000050,98.32,8.32,147,94.26,3162.68,94.32,7.7286,17779.0,29372.2,114728.5,4868.2,14567.8,625.9,6.0,0.000000
3200,ldpcdense_s43_d12,43,6,5,20000,0.000100,1.000000,1.4571,13,1:0.581400|2:0.381600|3:0.036100|4:0.000800|7:0.000050|13:0.000050,97.06,8.13,143,95.60,3163.94,96.06,7.7271,17779.0,29356.1,114318.6,4743.0,14442.7,618.3,6.0,0.000000
3200,ldpcdense_s43_d19,43,6,0,20000,0.015600,1.000000,6.0156,8,6:0.984400|7:0.015550|8:0.000050,106.59,8.28,160,100.58,3161.41,100.59,7.7280,17797.0,29620.8,124840.1,5714.9,18198.2,675.5,6.0,0.000000
3200,ldpcdense_s43_d19,43,6,1,20000,0.000400,1.000000,5.0315,7,5:0.968900|6:0.030700|7:0.000400,106.21,8.32,156,101.18,3161.79,101.21,7.7298,17797.0,29602.5,124723.7,5674.5,18181.8,673.3,6.0,0.000000
3200,ldpcdense_s43_d19,43,6,2,20000,0.000050,1.000000,4.0644,20,4:0.937050|5:0.062150|6:0.000750|20:0.000050,105.87,8.27,152,101.81,3162.13,101.87,7.7286,17797.0,29580.3,124634.8,5638.4,18181.4,671.2,6.0,0.000000
3200,ldpcdense_s43_d19,43,6,5,20000,0.000000,1.000000,1.4573,6,1:0.579550|2:0.384400|3:0.035300|4:0.000700|6:0.000050,104.58,8.09,146,103.12,3163.42,103.58,7.7271,17797.0,29577.5,124242.1,5501.0,18024.4,663.5,6.0,0.000000
