K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
10000,dense,86,6,0,8000,0.017125,1.000000,6.0246,23,6:0.982875|7:0.016250|8:0.000250|15:0.000125|16:0.000125|18:0.000125|21:0.000125|23:0.000125,193.40,12.77,258,187.37,9898.60,187.40,7.7279,25215.0,133540.6,582502.4,18782.6,110995.0,1196.4,6.0,0.000000
10000,dense,86,6,1,8000,0.002250,1.000000,5.0471,29,5:0.968625|6:0.029125|7:0.000250|8:0.000625|9:0.000250|10:0.000125|12:0.000125|14:0.000125|15:0.000125|18:0.000125|20:0.000125|21:0.000125|23:0.000125|29:0.000125,192.80,12.78,254,187.76,9899.20,187.80,7.7266,25215.0,133680.3,581958.6,18667.7,110555.9,1192.8,6.0,0.000000
10000,dense,86,6,2,8000,0.002125,1.000000,4.0889,29,4:0.931625|5:0.064125|6:0.002125|7:0.000125|9:0.000500|10:0.000375|11:0.000250|12:0.000125|14:0.000125|15:0.000125|18:0.000125|23:0.000125|26:0.000125|29:0.000125,192.27,12.70,257,188.19,9899.73,188.27,7.7260,25215.0,133587.4,581466.4,18565.1,110214.9,1189.6,6.0,0.000000
10000,dense,86,6,5,8000,0.001125,1.000000,1.4784,24,1:0.575875|2:0.383125|3:0.038375|4:0.001000|5:0.000250|6:0.000250|7:0.000250|8:0.000125|9:0.000125|10:0.000125|14:0.000125|18:0.000250|24:0.000125,191.33,12.83,255,189.85,9900.67,190.33,7.7286,25215.0,133544.1,581092.3,18384.7,110348.6,1184.0,6.0,0.000000
10000,ldpc,86,6,0,8000,0.016125,1.000000,6.0240,23,6:0.983875|7:0.014875|8:0.000625|15:0.000125|16:0.000125|18:0.000125|21:0.000125|23:0.000125,159.37,14.83,236,153.35,9932.63,153.37,7.7279,30085.0,94575.2,582643.1,12809.8,62521.3,992.2,6.0,0.000000
10000,ldpc,86,6,1,8000,0.002250,1.000000,5.0506,29,5:0.965125|6:0.032625|7:0.000250|8:0.000625|9:0.000250|10:0.000125|12:0.000125|14:0.000125|15:0.000125|18:0.000125|20:0.000125|21:0.000125|23:0.000125|29:0.000125,158.91,14.57,229,153.86,9933.09,153.91,7.7266,30085.0,94562.9,582537.2,12732.4,62322.5,989.5,6.0,0.000000
10000,ldpc,86,6,2,8000,0.002125,1.000000,4.0840,29,4:0.935625|5:0.061000|6:0.001250|7:0.000125|9:0.000500|10:0.000375|11:0.000250|12:0.000125|14:0.000125|15:0.000125|18:0.000125|23:0.000125|26:0.000125|29:0.000125,158.48,14.24,227,154.40,9933.52,154.48,7.7260,30085.0,94560.6,581822.5,12659.3,62143.2,986.9,6.0,0.000000
10000,ldpc,86,6,5,8000,0.001250,1.000000,1.4808,24,1:0.573750|2:0.384750|3:0.039125|4:0.000875|5:0.000125|6:0.000125|7:0.000375|8:0.000125|9:0.000125|10:0.000125|14:0.000125|18:0.000250|24:0.000125,157.59,14.65,232,156.11,9934.41,156.59,7.7286,30085.0,94497.9,581283.2,12524.8,62379.0,981.6,6.0,0.000000
10000,ldpcdense_s52_d12,52,6,0,8000,0.040500,1.000000,6.1742,45,6:0.959500|7:0.021250|8:0.003875|9:0.002250|10:0.002375|11:0.001125|12:0.001500|13:0.001000|14:0.001500|15:0.000500|16:0.000625|17:0.000625|18:0.000125|19:0.000500|20:0.000250|21:0.000375|22:0.000250|23:0.000375|24:0.000375|25:0.000125|26:0.000125|27:0.000125|28:0.000250|29:0.000125|30:0.000250|37:0.000125|38:0.000125|40:0.000125|43:0.000125|45:0.000125,138.43,13.36,212,132.25,9931.57,132.43,7.7279,55211.0,105142.1,473777.4,9669.8,40812.3,866.6,6.0,0.000000
10000,ldpcdense_s52_d12,52,6,1,8000,0.021250,1.000000,5.2660,51,5:0.939625|6:0.039125|7:0.003500|8:0.002250|9:0.000875|10:0.001500|11:0.000875|12:0.000625|13:0.000750|14:0.000500|15:0.000875|16:0.000750|17:0.001250|18:0.001000|19:0.001125|20:0.000625|21:0.000750|22:0.000500|23:0.000500|24:0.000125|26:0.000750|28:0.000125|29:0.000125|30:0.000500|31:0.000250|32:0.000125|34:0.000125|36:0.000125|37:0.000125|40:0.000125|42:0.000125|43:0.000125|45:0.000125|51:0.000125,138.04,13.28,201,132.77,9931.96,133.04,7.7266,55211.0,105153.5,473717.9,9615.1,40758.5,864.2,6.0,0.000000
10000,ldpcdense_s52_d12,52,6,2,8000,0.020125,1.000000,4.3048,51,4:0.911000|5:0.064375|6:0.004500|7:0.001875|8:0.001750|9:0.002125|10:0.001875|11:0.001750|12:0.000875|13:0.000750|14:0.001125|15:0.000750|16:0.000875|17:0.000750|18:0.000500|19:0.000375|20:0.000375|21:0.000250|22:0.000625|23:0.000125|24:0.000250|25:0.000250|26:0.000250|27:0.000375|28:0.000125|29:0.000125|31:0.000500|32:0.000375|33:0.000250|34:0.000125|36:0.000125|37:0.000125|40:0.000125|45:0.000125|48:0.000125|51:0.000125,137.57,13.00,204,133.27,9932.43,133.57,7.7260,55211.0,105063.6,473300.5,9547.2,40599.7,861.4,6.0,0.000000
