K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
16000,dense,114,6,0,8000,0.015500,1.000000,6.0216,28,6:0.984500|7:0.014625|8:0.000375|9:0.000125|18:0.000125|19:0.000125|28:0.000125,267.45,16.15,356,261.42,15852.55,261.45,7.7286,40285.0,220746.6,1228225.3,35893.8,295473.4,1640.7,6.0,0.000000
16000,dense,114,6,1,8000,0.001375,1.000000,5.0411,28,5:0.968375|6:0.030250|7:0.000375|8:0.000250|10:0.000125|12:0.000125|13:0.000125|21:0.000250|28:0.000125,267.17,15.92,339,262.13,15852.83,262.17,7.7272,40285.0,220743.6,1227100.6,35817.6,295595.3,1639.0,6.0,0.000000
16000,dense,114,6,2,8000,0.001250,1.000000,4.0803,31,4:0.936250|5:0.061375|6:0.001125|7:0.000250|9:0.000125|11:0.000125|16:0.000250|21:0.000125|27:0.000125|28:0.000125|31:0.000125,266.66,16.07,341,262.58,15853.34,262.66,7.7286,40285.0,220699.5,1226680.6,35682.7,295074.3,1636.0,6.0,0.000000
16000,dense,114,6,5,8000,0.001125,1.000000,1.4741,23,1:0.575500|2:0.384750|3:0.037500|4:0.001125|7:0.000250|8:0.000125|9:0.000375|11:0.000125|14:0.000125|23:0.000125,265.64,16.05,348,264.16,15854.36,264.64,7.7295,40285.0,220824.2,1225750.7,35410.6,295013.2,1629.8,6.0,0.000000
16000,ldpc,114,6,0,8000,0.018375,1.000000,6.0246,28,6:0.981625|7:0.017375|8:0.000500|9:0.000125|18:0.000125|19:0.000125|28:0.000125,207.64,18.30,319,201.61,15912.36,201.64,7.7286,48113.0,154966.2,1228874.0,21723.7,139117.9,1281.8,6.0,0.000000
16000,ldpc,114,6,1,8000,0.001250,1.000000,5.0432,28,5:0.966250|6:0.032500|7:0.000250|8:0.000125|9:0.000125|10:0.000125|12:0.000125|13:0.000125|21:0.000250|28:0.000125,207.42,18.09,298,202.38,15912.58,202.42,7.7272,48113.0,154945.7,1227751.9,21675.2,139285.2,1280.5,6.0,0.000000
16000,ldpc,114,6,2,8000,0.001250,1.000000,4.0780,31,4:0.938000|5:0.060125|6:0.000625|7:0.000250|9:0.000125|11:0.000125|16:0.000250|21:0.000125|27:0.000125|28:0.000125|31:0.000125,206.81,17.97,291,202.74,15913.19,202.81,7.7286,48113.0,154937.9,1227040.1,21547.1,138709.6,1276.9,6.0,0.000000
16000,ldpc,114,6,5,8000,0.001125,1.000000,1.4730,23,1:0.577500|2:0.382625|3:0.037250|4:0.001375|5:0.000125|7:0.000125|8:0.000125|9:0.000500|11:0.000125|14:0.000125|23:0.000125,206.28,18.19,286,204.81,15913.72,205.28,7.7295,48113.0,154840.8,1226874.2,21440.8,139736.7,1273.7,6.0,0.000000
16000,ldpcdense_s68_d12,68,6,0,8000,0.145500,1.000000,6.8422,62,6:0.854500|7:0.045000|8:0.016375|9:0.012000|10:0.010625|11:0.009250|12:0.007625|13:0.005750|14:0.004625|15:0.005750|16:0.002875|17:0.003750|18:0.002625|19:0.003000|20:0.002875|21:0.001750|22:0.001250|23:0.001250|24:0.001625|25:0.001250|26:0.000875|27:0.001000|28:0.001000|29:0.000250|30:0.000250|31:0.000500|32:0.000500|33:0.000375|34:0.000250|35:0.000125|40:0.000125|41:0.000125|42:0.000500|52:0.000125|53:0.000125|62:0.000125,179.42,16.48,281,172.57,15906.58,173.42,7.7286,88267.0,172584.4,951929.7,16230.7,89524.9,1112.5,6.0,0.000000
16000,ldpcdense_s68_d12,68,6,1,8000,0.110750,1.000000,5.9555,62,5:0.833250|6:0.056000|7:0.018875|8:0.014625|9:0.010250|10:0.010750|11:0.006500|12:0.006375|13:0.004875|14:0.004875|15:0.003875|16:0.005875|17:0.003750|18:0.001750|19:0.002375|20:0.002250|21:0.001875|22:0.001375|23:0.000875|24:0.001000|25:0.001625|26:0.001125|27:0.000250|28:0.001000|29:0.000750|30:0.000375|31:0.000125|32:0.000625|33:0.000250|34:0.000375|35:0.000250|36:0.000125|37:0.000250|38:0.000250|39:0.000125|41:0.000250|42:0.000125|44:0.000125|46:0.000125|47:0.000125|55:0.000250|62:0.000125,179.33,16.18,257,173.37,15906.67,174.33,7.7272,88267.0,172656.6,950929.6,16210.3,89815.6,1112.0,6.0,0.000000
16000,ldpcdense_s68_d12,68,6,2,8000,0.108875,1.000000,5.1676,65,4:0.786375|5:0.084375|6:0.020375|7:0.015500|8:0.010625|9:0.010250|10:0.010875|11:0.007125|12:0.007625|13:0.005750|14:0.004750|15:0.004625|16:0.005000|17:0.004500|18:0.004375|19:0.001875|20:0.002000|21:0.002125|22:0.001750|23:0.001625|24:0.001375|25:0.001250|26:0.000875|27:0.000375|28:0.000500|29:0.000250|30:0.000500|31:0.000125|32:0.000500|33:0.000125|34:0.000375|36:0.000125|37:0.000375|38:0.000375|39:0.000125|40:0.000125|41:0.000125|43:0.000125|45:0.000125|50:0.000250|55:0.000125|61:0.000125|62:0.000125|65:0.000125,178.91,16.30,264,173.74,15907.09,174.91,7.7286,88267.0,172875.1,950615.1,16137.0,89731.8,1109.5,6.0,0.000000
16000,ldpcdense_s68_d12,68,6,5,8000,0.093500,1.000000,2.8690,57,1:0.448375|2:0.341875|3:0.062125|4:0.024500|5:0.014000|6:0.015625|7:0.011375|8:0.011625|9:0.009375|10:0.007125|11:0.006500|12:0.005750|13:0.005500|14:0.005625|15:0.004125|16:0.003000|17:0.004375|18:0.002375|19:0.001625|20:0.002000|21:0.001125|22:0.001625|23:0.001250|24:0.001000|25:0.000750|26:0.001125|27:0.000500|28:0.000500|29:0.000625|30:0.000750|31:0.000250|32:0.000375|33:0.000750|34:0.000250|35:0.000500|36:0.000500|38:0.000125|41:0.000250|42:0.000125|43:0.000375|45:0.000125|48:0.000125|57:0.000125,177.82,16.30,257,174.95,15908.18,176.82,7.7295,88267.0,172544.6,949198.3,15942.0,89609.3,1102.9,6.0,0.000000
16000,ldpcdense_s68_d23,68,6,0,8000,0.040750,1.000000,6.1756,51,6:0.959250|7:0.019750|8:0.003875|9:0.003625|10:0.001875|11:0.001250|12:0.001500|13:0.001375|14:0.001250|15:0.001000|16:0.000875|17:0.001000|18:0.000250|19:0.000250|20:0.000500|21:0.000500|22:0.000375|23:0.000250|24:0.000125|29:0.000125|30:0.000125|31:0.000500|41:0.000125|42:0.000125|51:0.000125,192.91,16.39,302,186.73,15904.09,186.91,7.7286,88294.0,177178.3,1043701.4,18740.8,111128.3,1193.4,6.0,0.000000
16000,ldpcdense_s68_d23,68,6,1,8000,0.023500,1.000000,5.2356,51,5:0.935500|6:0.041000|7:0.004500|8:0.002375|9:0.002875|10:0.001875|11:0.001375|12:0.001000|13:0.000875|14:0.001750|15:0.001000|16:0.000250|17:0.001000|18:0.000750|19:0.000375|20:0.000125|21:0.000625|22:0.000250|23:0.000375|24:0.000250|25:0.000125|26:0.000250|27:0.000250|28:0.000125|30:0.000250|31:0.000125|33:0.000125|35:0.000125|36:0.000125|44:0.000250|51:0.000125,192.74,16.06,264,187.50,15904.26,187.74,7.7272,88294.0,176957.9,1042818.3,18703.1,111318.8,1192.4,6.0,0.000000
