K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,ge_real_bitops_mu,ge_real_rowops_mu,fill_in_mu,def_outside_w18_rate,def_band_w95,def_band_w99,runaway_rate
64000,dense,346,6,0,1500,0.019333,1.000000,6.0347,25,6:0.980667|7:0.017333|8:0.000667|11:0.000667|25:0.000667,845.66,31.59,994,839.62,63506.34,839.66,7.7276,160865.0,953528.6,14160030.4,358066.9,9422043.4,5109.9,6.0,1709512.6,174115.3,638.68,0.000667,11,14,0.000000
64000,dense,346,6,1,1500,0.000667,1.000000,5.0433,13,5:0.961333|6:0.038000|13:0.000667,845.23,31.73,977,840.18,63506.77,840.23,7.7278,160865.0,951582.1,14164351.5,357706.1,9419153.0,5107.4,6.0,1710562.6,174342.5,637.46,0.000000,10,13,0.000000
64000,dense,346,6,2,1500,0.002000,1.000000,4.0733,20,4:0.949333|5:0.048000|6:0.000667|9:0.000667|19:0.000667|20:0.000667,844.67,31.66,972,840.59,63507.33,840.67,7.7293,160865.0,953296.5,14182993.3,357232.3,9411511.1,5104.0,6.0,1708851.7,174569.3,645.56,0.001333,9,11,0.000000
64000,dense_h12,346,12,0,1500,0.000667,1.000000,12.0087,25,12:0.999333|25:0.000667,853.32,30.70,976,841.31,63504.68,841.32,7.7276,160865.0,953666.1,14362520.2,364548.4,9609820.7,10383.8,12.0,1734867.3,174761.6,649.77,0.018000,17,19,0.000000
64000,dense_h12,346,12,1,1500,0.000667,1.000000,11.0020,14,11:0.999333|14:0.000667,852.90,31.50,982,841.90,63505.10,841.90,7.7278,160865.0,952082.7,14362612.9,364215.0,9608931.0,10378.8,12.0,1737807.1,175010.6,660.56,0.007333,16,18,0.000000
64000,dense_h12,346,12,2,1500,0.001333,1.000000,10.0147,20,10:0.996667|11:0.002000|19:0.000667|20:0.000667,851.81,32.54,968,841.79,63506.19,841.81,7.7293,160865.0,953939.7,14371326.1,363317.7,9586034.3,10365.7,12.0,1735243.7,175056.8,652.94,0.005333,15,17,0.000000
64000,ldpc,346,6,0,1500,0.014000,1.000000,6.0313,28,6:0.986000|7:0.012667|12:0.000667|28:0.000667,574.31,33.10,734,568.28,63777.69,568.31,7.7276,192345.0,646008.0,14146535.6,165465.2,2958716.7,3481.9,6.0,551471.1,78999.6,620.44,0.001333,11,13,0.000000
64000,ldpc,346,6,1,1500,0.000667,1.000000,5.0407,16,5:0.966000|6:0.033333|16:0.000667,574.35,33.48,734,569.31,63777.65,569.35,7.7278,192345.0,645886.9,14147820.0,165499.1,2965122.8,3482.1,6.0,553991.1,79304.1,621.04,0.000000,10,12,0.000000
64000,ldpc,346,6,2,1500,0.002000,1.000000,4.0947,21,4:0.930667|5:0.066000|6:0.001333|10:0.000667|20:0.000667|21:0.000667,574.35,34.21,720,570.26,63777.65,570.35,7.7293,192345.0,645621.8,14160731.4,165526.7,2971769.4,3482.1,6.0,555523.2,79635.4,619.93,0.001333,9,12,0.000000
64000,ldpc_h12,346,12,0,1500,0.001333,1.000000,12.0107,26,12:0.998667|14:0.000667|26:0.000667,581.64,33.27,714,569.63,63776.36,569.64,7.7276,192345.0,646052.4,14344304.2,169706.8,3041584.6,7123.7,12.0,562622.7,79351.6,636.71,0.019333,17,19,0.000000
64000,ldpc_h12,346,12,1,1500,0.000667,1.000000,11.0060,20,11:0.999333|20:0.000667,582.25,33.83,734,571.25,63775.75,571.25,7.7278,192345.0,645812.4,14354045.8,170081.4,3057459.0,7131.0,12.0,566386.9,79801.6,645.58,0.010000,16,18,0.000000
64000,ldpc_h12,346,12,2,1500,0.001333,1.000000,10.0140,20,10:0.998000|11:0.000667|20:0.001333,581.62,33.92,740,571.60,63776.38,571.62,7.7293,192345.0,645601.7,14356233.4,169715.1,3052974.1,7123.4,12.0,567549.4,79987.9,631.37,0.005333,15,17,0.000000
64000,ldpcdense_s277_d69,277,6,0,1500,0.019333,1.000000,6.0347,25,6:0.980667|7:0.018000|12:0.000667|25:0.000667,607.83,31.52,744,601.80,63744.17,601.83,7.7276,353141.0,697307.8,14196330.0,185225.8,3502751.2,3683.0,6.0,650691.8,88636.9,638.33,0.000667,11,13,0.000000
64000,ldpcdense_s277_d69,277,6,1,1500,0.000667,1.000000,5.0400,13,5:0.964667|6:0.034667|13:0.000667,607.78,31.54,729,602.74,63744.22,602.78,7.7278,353141.0,698274.7,14202719.1,185195.3,3507671.0,3682.7,6.0,653597.3,88922.3,630.51,0.000000,10,13,0.000000
64000,ldpcdense_s277_d69,277,6,2,1500,0.002000,1.000000,4.0867,20,4:0.936667|5:0.061333|10:0.000667|20:0.001333,607.08,31.79,752,602.99,63744.92,603.08,7.7293,353141.0,698394.9,14212118.6,184777.9,3501838.2,3678.5,6.0,652688.7,89074.5,630.15,0.001333,9,11,0.000000
64000,ldpcdense_s277_d69_h8,277,8,0,1500,0.002667,1.000000,8.0153,26,8:0.997333|9:0.001333|11:0.000667|26:0.000667,610.94,31.38,749,602.93,63743.06,602.94,7.7276,353141.0,700211.0,14273276.1,187118.7,3544781.5,4951.6,8.0,656471.3,88968.5,643.10,0.000667,13,15,0.000000
64000,ldpcdense_s277_d69_h8,277,8,1,1500,0.000667,1.000000,7.0120,13,7:0.991333|8:0.008000|13:0.000667,610.19,31.83,746,603.18,63743.81,603.19,7.7278,353141.0,697666.4,14264645.5,186674.0,3538416.1,4945.5,8.0,657871.9,89041.1,643.45,0.000000,12,14,0.000000
64000,ldpcdense_s277_d69_h8,277,8,2,1500,0.002000,1.000000,6.0353,20,6:0.983333|7:0.014667|10:0.000667|19:0.000667|20:0.000667,609.55,31.97,746,603.51,63744.45,603.55,7.7293,353141.0,697316.5,14272619.9,186285.9,3533281.6,4940.4,8.0,656930.2,89197.2,635.86,0.002667,11,13,0.000000
64000,ldpcdense_s277_d69_h12,277,12,0,1500,0.000667,1.000000,12.0087,25,12:0.999333|25:0.000667,615.56,30.97,745,603.56,63742.44,603.56,7.7276,353141.0,697481.2,14397241.0,189939.3,3601248.4,7530.8,12.0,664304.2,89150.9,649.64,0.012667,17,19,0.000000
64000,ldpcdense_s277_d69_h12,277,12,1,1500,0.000667,1.000000,11.0033,15,11:0.998667|12:0.000667|15:0.000667,615.05,31.53,744,604.05,63742.95,604.05,7.7278,353141.0,696377.5,14400338.5,189642.9,3599218.9,7524.7,12.0,665081.7,89293.8,647.70,0.006000,16,18,0.000000
64000,ldpcdense_s277_d69_h12,277,12,2,1500,0.001333,1.000000,10.0160,20,10:0.995333|11:0.003333|19:0.000667|20:0.000667,613.77,31.47,740,603.75,63744.23,603.77,7.7293,353141.0,698803.2,14401483.2,188849.0,3582413.8,7509.2,12.0,663445.0,89266.5,644.73,0.007333,15,18,0.000000
64000,ldpcdense_s346_d12_h12,346,12,0,1500,0.000667,1.000000,12.0013,14,12:0.999333|14:0.000667,598.20,33.13,752,586.20,63771.80,586.20,7.7276,353240.0,653933.5,14764873.2,179471.9,3308663.6,7322.4,12.0,612242.2,84051.2,667.57,0.020667,17,19,0.000000
64000,ldpcdense_s346_d12_h12,346,12,1,1500,0.000000,1.000000,11.0000,11,11:1.000000,598.53,32.49,741,587.53,63771.47,587.53,7.7278,353240.0,654521.1,14772937.6,179647.4,3318503.5,7326.4,12.0,613561.7,84432.1,673.09,0.007333,16,18,0.000000
64000,ldpcdense_s346_d12_h12,346,12,2,1500,0.000000,1.000000,10.0013,11,10:0.998667|11:0.001333,597.84,34.50,737,587.84,63772.16,587.84,7.7293,353240.0,653620.8,14772692.4,179301.7,3316436.3,7318.1,12.0,614507.1,84600.5,666.08,0.004667,15,17,0.000000
