K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,ge_real_bitops_mu,ge_real_rowops_mu,fill_in_mu,def_outside_w18_rate,def_band_w95,def_band_w99
10000,ldpcdense_s69_d17,69,6,0,20000,0.017200,1.000000,6.0363,70,6:0.982800|7:0.015450|8:0.000200|9:0.000150|10:0.000200|11:0.000150|12:0.000100|13:0.000050|14:0.000050|15:0.000050|16:0.000050|17:0.000100|18:0.000200|21:0.000050|22:0.000050|23:0.000050|25:0.000050|26:0.000050|37:0.000050|39:0.000050|45:0.000050|70:0.000050,160.56,14.30,237,154.53,9931.44,154.56,7.7278,55283.0,100723.3,583766.9,12992.4,63811.3,999.4,6.0,15485.9,5831.3,85.98,0.000850,11,13
10000,ldpcdense_s69_d17,69,6,1,20000,0.001650,1.000000,5.0465,50,5:0.966850|6:0.031500|7:0.000450|8:0.000150|9:0.000200|10:0.000050|12:0.000150|14:0.000050|15:0.000050|16:0.000100|17:0.000050|21:0.000050|22:0.000100|24:0.000050|25:0.000050|27:0.000100|50:0.000050,160.21,14.17,236,155.16,9931.79,155.21,7.7285,55283.0,100739.6,583589.0,12933.3,63762.1,997.2,6.0,15565.0,5879.3,85.69,0.000550,10,12
10000,ldpcdense_s69_d17,69,6,2,20000,0.002000,1.000000,4.0799,34,4:0.937850|5:0.059400|6:0.000750|7:0.000200|8:0.000250|9:0.000150|10:0.000150|11:0.000150|12:0.000100|13:0.000350|14:0.000100|15:0.000150|17:0.000050|18:0.000050|20:0.000050|24:0.000050|26:0.000050|27:0.000050|28:0.000050|34:0.000050,159.64,14.11,237,155.56,9932.36,155.64,7.7267,55283.0,100713.5,582848.7,12842.2,63483.5,993.9,6.0,15639.6,5912.2,86.39,0.000450,9,11
10000,ldpcdense_s69_d17_h8,69,8,0,20000,0.005700,1.000000,8.0216,70,8:0.994300|9:0.004150|10:0.000350|11:0.000150|12:0.000150|14:0.000050|15:0.000050|16:0.000050|17:0.000100|18:0.000200|21:0.000050|22:0.000050|23:0.000050|25:0.000050|26:0.000050|37:0.000050|39:0.000050|45:0.000050|70:0.000050,162.87,14.25,238,154.85,9931.13,154.87,7.7278,55283.0,100728.4,593525.9,13364.3,65741.7,1366.9,8.0,15605.8,5855.0,87.27,0.001750,13,15
10000,ldpcdense_s69_d17_h8,69,8,1,20000,0.001150,1.000000,7.0202,50,7:0.990400|8:0.008450|9:0.000300|10:0.000050|12:0.000150|14:0.000050|15:0.000050|16:0.000100|17:0.000050|21:0.000050|22:0.000100|24:0.000050|25:0.000050|27:0.000100|50:0.000050,162.48,14.14,234,155.46,9931.52,155.48,7.7285,55283.0,100702.8,593221.2,13300.1,65665.8,1363.9,8.0,15680.3,5900.1,87.75,0.000950,12,14
10000,ldpcdense_s69_d17_h8,69,8,2,20000,0.001650,1.000000,6.0323,34,6:0.980850|7:0.017350|8:0.000150|9:0.000250|10:0.000150|11:0.000150|12:0.000100|13:0.000350|14:0.000100|15:0.000150|17:0.000050|18:0.000050|20:0.000050|24:0.000050|26:0.000050|27:0.000050|28:0.000050|34:0.000050,161.88,14.08,237,155.85,9932.12,155.88,7.7267,55283.0,100738.3,592434.7,13201.5,65339.3,1359.0,8.0,15732.1,5930.3,87.65,0.000600,11,13
10000,ldpcdense_s69_d17_h12,69,12,0,20000,0.001850,1.000000,12.0131,70,12:0.998150|13:0.000900|14:0.000100|15:0.000050|16:0.000050|17:0.000100|18:0.000200|21:0.000050|22:0.000050|23:0.000050|25:0.000050|26:0.000050|37:0.000050|39:0.000050|45:0.000050|70:0.000050,167.43,14.23,239,155.41,9930.57,155.43,7.7278,55283.0,100733.3,612926.2,14116.9,69655.8,2153.1,12.0,15869.8,5897.0,91.13,0.017100,17,19
10000,ldpcdense_s69_d17_h12,69,12,1,20000,0.000700,1.000000,11.0081,50,11:0.998950|12:0.000350|13:0.000050|14:0.000050|15:0.000050|16:0.000100|17:0.000050|21:0.000050|22:0.000100|24:0.000050|25:0.000050|27:0.000100|50:0.000050,167.08,14.21,246,156.08,9930.92,156.08,7.7285,55283.0,100678.6,612698.7,14059.3,69656.9,2149.0,12.0,15966.2,5947.2,91.12,0.007400,16,18
10000,ldpcdense_s69_d17_h12,69,12,2,20000,0.001050,1.000000,10.0097,34,10:0.997500|11:0.001350|12:0.000100|13:0.000300|14:0.000200|15:0.000150|17:0.000050|18:0.000050|20:0.000050|24:0.000050|26:0.000050|27:0.000050|28:0.000050|34:0.000050,166.60,14.10,236,156.59,9931.40,156.60,7.7267,55283.0,100701.7,612252.0,13976.3,69457.1,2143.2,12.0,16011.5,5985.5,91.48,0.004250,15,17
10000,ldpcdense_s69_d17_h16,69,16,0,20000,0.000800,1.000000,16.0088,70,16:0.999200|17:0.000100|18:0.000250|21:0.000050|22:0.000050|23:0.000050|25:0.000050|26:0.000050|37:0.000050|39:0.000050|45:0.000050|70:0.000050,171.96,14.29,247,155.95,9930.04,155.96,7.7278,55283.0,100783.2,632255.7,14887.0,73682.6,3007.4,16.0,16224.9,5938.6,94.84,0.235450,21,23
10000,ldpcdense_s69_d17_h16,69,16,1,20000,0.000550,1.000000,15.0053,50,15:0.999300|16:0.000150|17:0.000150|21:0.000050|22:0.000100|24:0.000050|25:0.000050|27:0.000100|50:0.000050,171.69,14.04,249,156.68,9930.31,156.69,7.7285,55283.0,100728.6,632078.3,14837.0,73734.2,3003.0,16.0,16303.2,5991.4,94.91,0.117600,20,22
10000,ldpcdense_s69_d17_h16,69,16,2,20000,0.000400,1.000000,14.0045,34,14:0.999250|15:0.000300|16:0.000050|17:0.000050|18:0.000050|20:0.000050|24:0.000050|26:0.000050|27:0.000050|28:0.000050|34:0.000050,171.09,14.10,237,157.09,9930.91,157.09,7.7267,55283.0,100708.3,631400.9,14735.8,73431.1,2993.5,16.0,16338.4,6024.0,94.73,0.063200,19,21
