K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
32000,dense,190,6,0,5000,0.020000,1.000000,6.0306,29,6:0.980000|7:0.018400|8:0.000600|9:0.000200|13:0.000200|17:0.000400|29:0.000200,460.99,22.55,556,454.96,31735.01,454.99,7.7281,80475.0,459592.6,3999138.0,106511.6,1521852.9,2802.0,6.0,0.000000
32000,dense,190,6,1,5000,0.002000,1.000000,5.0524,40,5:0.964200|6:0.033800|7:0.000200|8:0.000600|9:0.000400|17:0.000400|20:0.000200|40:0.000200,460.81,22.50,554,455.76,31735.19,455.81,7.7275,80475.0,460342.0,4000630.7,106424.7,1523286.5,2800.8,6.0,0.000000
32000,dense,190,6,2,5000,0.001000,1.000000,4.0682,19,4:0.939400|5:0.059200|6:0.000400|7:0.000400|12:0.000200|16:0.000200|19:0.000200,460.30,22.52,595,456.23,31735.70,456.30,7.7277,80475.0,459800.8,3999892.5,106192.3,1521626.1,2797.8,6.0,0.000000
32000,ldpcdense_s190_d12,190,6,0,5000,0.016600,1.000000,6.0186,17,6:0.983400|7:0.016400|17:0.000200,346.29,24.61,456,340.27,31861.71,340.29,7.7281,176694.0,323766.9,4200195.3,60261.2,647525.9,2113.7,6.0,0.000000
32000,ldpcdense_s190_d12,190,6,1,5000,0.001200,1.000000,5.0386,28,5:0.967200|6:0.031600|7:0.000800|9:0.000200|28:0.000200,346.48,24.13,455,341.44,31861.52,341.48,7.7275,176694.0,323660.9,4204074.1,60313.7,650060.1,2114.9,6.0,0.000000
32000,ldpcdense_s190_d12,190,6,2,5000,0.000200,1.000000,4.0650,7,4:0.935600|5:0.064000|6:0.000200|7:0.000200,345.99,24.55,474,341.92,31862.01,341.99,7.7277,176694.0,323618.0,4201044.5,60155.2,649563.2,2111.9,6.0,0.000000
32000,ldpcdense_s190_d12_s2,190,6,0,5000,0.016400,1.000000,6.0260,28,6:0.983600|7:0.015000|8:0.000400|9:0.000200|12:0.000200|16:0.000400|28:0.000200,347.09,24.61,456,341.06,31860.91,341.09,7.7281,112312.0,318903.1,4204001.5,60536.9,651973.8,2118.5,6.0,0.000000
32000,ldpcdense_s190_d12_s2,190,6,1,5000,0.002200,1.000000,5.0506,35,5:0.965200|6:0.032600|7:0.000600|8:0.000400|10:0.000200|12:0.000200|16:0.000200|17:0.000200|18:0.000200|35:0.000200,347.07,24.14,455,342.02,31860.93,342.07,7.7275,112312.0,318804.7,4208330.5,60518.9,653383.5,2118.4,6.0,0.000000
32000,ldpcdense_s190_d12_s2,190,6,2,5000,0.000800,1.000000,4.0722,15,4:0.935400|5:0.062400|6:0.001400|7:0.000200|14:0.000200|15:0.000400,346.90,24.63,486,342.83,31861.10,342.90,7.7277,112312.0,318760.6,4207431.0,60474.2,654764.1,2117.4,6.0,0.000000
32000,ldpcdense_n12_s190_d12,190,6,0,5000,0.019600,1.000000,6.0250,24,6:0.980400|7:0.019000|12:0.000400|24:0.000200,346.55,24.75,454,340.52,31861.45,340.55,7.7281,144694.0,332637.2,4200237.5,60353.7,649078.1,2115.3,6.0,0.000000
