K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,ge_real_bitops_mu,ge_real_rowops_mu,fill_in_mu,def_outside_w18_rate,def_band_w95,def_band_w99
1000,ldpc_h12,50,12,1,20000,0.000000,1.000000,11.0005,12,11:0.999550|12:0.000450,75.81,5.03,100,64.81,986.19,64.81,7.2356,3049.0,8038.3,28945.9,2885.9,5905.5,1053.7,12.0,2009.3,1008.2,36.66,0.008600,16,18
1000,ldpc_h12,50,12,2,20000,0.000000,1.000000,10.0008,11,10:0.999150|11:0.000850,75.49,5.00,101,65.49,986.51,65.49,7.2357,3049.0,8035.3,28929.3,2861.6,5915.9,1049.9,12.0,2050.4,1029.5,36.41,0.003950,15,17
1000,ldpcdense_s40_d12,40,6,0,20000,0.014850,1.000000,6.0149,8,6:0.985150|7:0.014750|8:0.000100,73.09,4.93,95,67.08,984.91,67.09,7.2341,5669.0,8322.9,27553.5,2683.3,5682.1,474.6,6.0,2133.7,1081.5,35.46,0.000350,11,13
1000,ldpcdense_s40_d12,40,6,1,20000,0.000100,1.000000,5.0285,7,5:0.971650|6:0.028250|7:0.000100,72.67,4.88,98,67.64,985.33,67.67,7.2356,5669.0,8319.2,27512.6,2651.9,5662.4,472.0,6.0,2164.3,1100.0,35.40,0.000100,10,12
1000,ldpcdense_s40_d12,40,6,2,20000,0.000050,1.000000,4.0617,7,4:0.939200|5:0.059950|6:0.000800|7:0.000050,72.30,4.89,99,68.23,985.70,68.30,7.2357,5669.0,8317.4,27478.6,2625.1,5657.4,469.8,6.0,2197.3,1120.8,35.29,0.000050,9,11
1000,ldpcdense_s40_d12_h8,40,8,0,20000,0.003850,1.000000,8.0038,9,8:0.996150|9:0.003850,75.07,4.95,100,67.07,984.93,67.07,7.2341,5669.0,8321.2,28277.7,2829.8,5989.3,664.6,8.0,2148.3,1080.5,36.55,0.001100,13,15
1000,ldpcdense_s40_d12_h8,40,8,1,20000,0.000000,1.000000,7.0083,8,7:0.991700|8:0.008300,74.62,4.89,97,67.61,985.38,67.62,7.2356,5669.0,8320.2,28245.9,2795.5,5963.4,660.9,8.0,2182.3,1098.4,36.54,0.000400,12,14
1000,ldpcdense_s40_d12_h8,40,8,2,20000,0.000000,1.000000,6.0168,8,6:0.983250|7:0.016700|8:0.000050,74.26,4.89,100,68.24,985.74,68.26,7.2357,5669.0,8316.8,28215.6,2768.8,5962.2,658.1,8.0,2220.5,1119.9,36.52,0.000400,11,13
1000,ldpcdense_s40_d12_h12,40,12,0,20000,0.000400,1.000000,12.0004,13,12:0.999600|13:0.000400,78.99,4.97,103,66.99,985.01,66.99,7.2341,5669.0,8322.4,29719.9,3131.9,6618.4,1091.9,12.0,2150.4,1078.2,38.80,0.015800,17,19
1000,ldpcdense_s40_d12_h12,40,12,1,20000,0.000000,1.000000,11.0002,12,11:0.999800|12:0.000200,78.59,4.95,104,67.59,985.41,67.59,7.2356,5669.0,8317.2,29691.9,3100.4,6609.9,1087.1,12.0,2188.2,1097.5,38.97,0.007150,16,18
1000,ldpcdense_s40_d12_h12,40,12,2,20000,0.000000,1.000000,10.0012,11,10:0.998800|11:0.001200,78.20,4.91,101,68.20,985.80,68.20,7.2357,5669.0,8316.7,29662.2,3069.4,6601.1,1082.4,12.0,2227.3,1117.8,38.94,0.003650,15,17
1000,ldpcdense_s40_d12_h16,40,16,0,20000,0.000050,1.000000,16.0001,17,16:0.999950|17:0.000050,82.91,5.01,108,66.91,985.09,66.91,7.2341,5669.0,8323.6,31145.5,3449.4,7278.4,1582.6,16.0,2146.4,1075.9,41.23,0.229600,21,23
1000,ldpcdense_s40_d12_h16,40,16,1,20000,0.000000,1.000000,15.0001,16,15:0.999900|16:0.000100,82.45,4.96,107,67.45,985.55,67.45,7.2356,5669.0,8318.3,31106.7,3411.4,7255.0,1575.3,16.0,2180.9,1093.5,41.05,0.119100,20,22
1000,ldpcdense_s40_d12_h16,40,16,2,20000,0.000000,1.000000,14.0000,14,14:1.000000,82.13,4.95,112,68.13,985.87,68.13,7.2357,5669.0,8313.7,31084.4,3384.5,7269.3,1570.1,16.0,2223.8,1115.6,41.10,0.064400,19,21
