K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,ge_real_bitops_mu,ge_real_rowops_mu,fill_in_mu,def_outside_w18_rate,def_band_w95,def_band_w99
1000,dense,50,6,0,20000,0.016400,1.000000,6.0164,7,6:0.983600|7:0.016400,75.37,4.48,100,69.36,980.63,69.37,7.2341,2625.0,10645.3,26731.8,2850.2,6226.7,488.2,6.0,2301.1,1155.9,35.49,0.000100,11,13
1000,dense,50,6,1,20000,0.000200,1.000000,5.0305,7,5:0.969750|6:0.030050|7:0.000200,74.89,4.41,99,69.86,981.11,69.89,7.2356,2625.0,10645.2,26704.5,2813.5,6191.0,485.3,6.0,2333.7,1173.3,35.47,0.000150,10,12
1000,dense,50,6,2,20000,0.000000,1.000000,4.0571,6,4:0.943500|5:0.055900|6:0.000600,74.50,4.50,102,70.45,981.50,70.50,7.2357,2625.0,10650.6,26681.5,2785.3,6185.0,483.0,6.0,2372.5,1194.7,35.63,0.000100,9,11
1000,dense_h12,50,12,0,20000,0.000200,1.000000,12.0002,13,12:0.999800|13:0.000200,81.32,4.49,101,69.32,980.68,69.32,7.2341,2625.0,10642.8,28926.9,3316.6,7237.0,1119.9,12.0,2300.0,1154.5,39.53,0.015700,17,19
1000,dense_h12,50,12,1,20000,0.000000,1.000000,11.0003,12,11:0.999650|12:0.000350,80.82,4.44,105,69.82,981.18,69.82,7.2356,2625.0,10641.7,28904.3,3275.2,7196.3,1113.8,12.0,2332.0,1171.0,39.65,0.007950,16,18
1000,dense_h12,50,12,2,20000,0.000000,1.000000,10.0012,11,10:0.998850|11:0.001150,80.42,4.54,105,70.42,981.58,70.42,7.2357,2625.0,10641.2,28868.0,3244.1,7192.1,1109.1,12.0,2372.5,1192.1,39.57,0.003800,15,17
1000,ldpc,50,6,0,20000,0.014450,1.000000,6.0145,7,6:0.985550|7:0.014450,70.34,5.03,93,64.32,985.66,64.34,7.2341,3049.0,8039.4,26794.1,2486.0,5054.2,458.0,6.0,1896.4,993.2,33.17,0.000100,11,13
1000,ldpc,50,6,1,20000,0.000050,1.000000,5.0304,7,5:0.969700|6:0.030250|7:0.000050,69.91,4.99,95,64.88,986.09,64.91,7.2356,3049.0,8037.5,26763.3,2455.7,5036.1,455.4,6.0,1914.5,1010.9,33.06,0.000150,10,12
1000,ldpc,50,6,2,20000,0.000000,1.000000,4.0629,6,4:0.937850|5:0.061450|6:0.000700,69.59,4.94,97,65.53,986.41,65.59,7.2357,3049.0,8034.7,26732.4,2433.4,5041.4,453.5,6.0,1942.7,1032.5,33.21,0.000050,9,11
1000,ldpc_h12,50,12,0,20000,0.000250,1.000000,12.0002,13,12:0.999750|13:0.000250,76.26,5.07,100,64.26,985.74,64.26,7.2341,3049.0,8038.2,28986.3,2920.4,5926.7,1059.1,12.0,1975.4,990.8,36.51,0.015250,17,19
