K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
32000,dense,190,6,0,20000,0.016850,1.000000,6.0230,27,6:0.983150|7:0.015800|8:0.000150|9:0.000200|10:0.000100|11:0.000200|12:0.000050|14:0.000050|15:0.000050|16:0.000050|18:0.000050|20:0.000050|24:0.000050|27:0.000050,461.36,22.51,609,455.34,31734.64,455.36,7.7288,80475.0,459920.6,4002927.2,106681.1,1525468.1,2804.2,6.0,0.000000
32000,dense,190,6,1,20000,0.001150,1.000000,5.0391,37,5:0.968000|6:0.030850|7:0.000450|8:0.000200|9:0.000100|10:0.000050|11:0.000050|14:0.000050|17:0.000050|18:0.000050|29:0.000050|31:0.000050|37:0.000050,460.85,22.45,569,455.81,31735.15,455.85,7.7284,80475.0,459795.9,4001059.0,106443.1,1523655.3,2801.1,6.0,0.000000
32000,ldpcdense_s190_d12_s2_h12,190,12,0,20000,0.000750,1.000000,12.0026,24,12:0.999250|13:0.000300|14:0.000150|15:0.000050|16:0.000100|19:0.000050|23:0.000050|24:0.000050,354.98,24.60,489,342.97,31859.02,342.98,7.7288,112312.0,318760.3,4307545.1,63306.1,685380.1,4403.7,12.0,0.000000
32000,ldpcdense_s190_d12_s2_h12,190,12,1,20000,0.000300,1.000000,11.0042,33,11:0.999100|12:0.000600|14:0.000050|16:0.000050|17:0.000050|28:0.000050|30:0.000050|33:0.000050,354.51,24.53,488,343.51,31859.49,343.51,7.7284,112312.0,318748.7,4306443.7,63140.0,684609.6,4398.1,12.0,0.000000
32000,codecport,190,12,0,20000,0.009800,1.000000,12.0266,33,12:0.990200|13:0.005250|14:0.001700|15:0.000600|16:0.000400|17:0.000600|18:0.000400|19:0.000150|20:0.000100|21:0.000100|22:0.000100|23:0.000100|24:0.000100|25:0.000100|26:0.000050|33:0.000050,355.57,24.94,502,343.55,31858.43,343.57,7.7288,80312.0,301958.4,4306633.2,63527.5,689137.2,4410.9,12.0,0.000000
32000,codecport,190,12,1,20000,0.005900,1.000000,11.0357,34,11:0.985600|12:0.008500|13:0.002050|14:0.000900|15:0.001000|16:0.000300|17:0.000350|18:0.000400|19:0.000350|20:0.000150|21:0.000150|22:0.000100|29:0.000050|34:0.000100,355.21,24.74,487,344.18,31858.79,344.21,7.7284,80312.0,302016.1,4306692.4,63393.5,688845.8,4406.5,12.0,0.000000
32000,codecport_n13,190,12,0,20000,0.000900,1.000000,12.0030,26,12:0.999100|13:0.000500|14:0.000100|15:0.000050|16:0.000050|17:0.000050|19:0.000050|24:0.000050|26:0.000050,354.97,24.72,498,342.96,31859.03,342.97,7.7288,112312.0,318801.8,4307700.6,63305.9,685421.6,4403.6,12.0,0.000000
32000,codecport_n13,190,12,1,20000,0.000350,1.000000,11.0039,32,11:0.999300|12:0.000350|13:0.000100|16:0.000050|18:0.000050|28:0.000050|29:0.000050|32:0.000050,354.48,24.51,493,343.47,31859.52,343.48,7.7284,112312.0,318799.9,4306818.2,63126.5,684377.5,4397.7,12.0,0.000000
