K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
3200,dense,62,6,0,20000,0.012900,1.000000,6.0131,10,6:0.987100|7:0.012800|8:0.000050|10:0.000050,112.84,7.45,150,106.83,3155.16,106.84,7.7288,8155.0,38623.7,124727.1,6394.3,21549.3,713.1,6.0,0.000000
3200,dense,62,6,1,20000,0.000150,1.000000,5.0319,7,5:0.968300|6:0.031550|7:0.000150,112.35,7.35,153,107.32,3155.65,107.35,7.7274,8155.0,38610.2,124532.3,6337.9,21454.7,710.1,6.0,0.000000
3200,ldpcdense_s62_d12_s2_h12,62,12,0,20000,0.000350,1.000000,12.0003,13,12:0.999650|13:0.000350,125.50,8.49,171,113.49,3160.50,113.50,7.7288,11320.0,28146.6,149551.3,7910.3,28343.4,1649.9,12.0,0.000000
3200,ldpcdense_s62_d12_s2_h12,62,12,1,20000,0.000000,1.000000,11.0006,12,11:0.999400|12:0.000600,124.99,8.41,164,113.99,3161.01,113.99,7.7274,11320.0,28131.6,149376.2,7846.3,28230.7,1643.9,12.0,0.000000
3200,codecport,62,12,0,20000,0.000400,1.000000,12.0004,13,12:0.999600|13:0.000400,125.03,8.58,164,113.03,3160.97,113.03,7.7288,8120.0,26974.8,149557.7,7852.7,28029.5,1644.3,12.0,0.000000
3200,codecport,62,12,1,20000,0.000000,1.000000,11.0007,12,11:0.999350|12:0.000650,124.58,8.46,165,113.58,3161.42,113.58,7.7274,8120.0,26963.0,149396.3,7796.1,27955.6,1639.0,12.0,0.000000
