K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
10000,dense,86,6,0,100000,0.017970,1.000000,6.0322,53,6:0.982030|7:0.016140|8:0.000340|9:0.000230|10:0.000180|11:0.000090|12:0.000160|13:0.000100|14:0.000090|16:0.000070|17:0.000090|18:0.000030|19:0.000030|20:0.000060|21:0.000040|22:0.000070|23:0.000020|24:0.000040|25:0.000020|26:0.000010|27:0.000020|28:0.000020|29:0.000020|30:0.000020|32:0.000010|34:0.000010|37:0.000020|38:0.000010|42:0.000020|53:0.000010,193.38,12.85,267,187.35,9898.62,187.38,7.7289,25215.0,133607.5,582712.1,18780.0,110982.7,1196.3,6.0,0.000000
10000,dense,86,6,1,100000,0.001910,1.000000,5.0470,47,5:0.965580|6:0.032510|7:0.000420|8:0.000240|9:0.000170|10:0.000160|11:0.000150|12:0.000100|13:0.000060|14:0.000050|15:0.000070|16:0.000090|17:0.000060|18:0.000050|19:0.000070|20:0.000010|21:0.000030|22:0.000030|23:0.000010|24:0.000050|27:0.000010|28:0.000020|29:0.000010|30:0.000010|36:0.000010|38:0.000010|45:0.000010|47:0.000010,192.92,12.75,269,187.87,9899.08,187.92,7.7284,25215.0,133585.3,582219.4,18689.3,110747.6,1193.5,6.0,0.000000
10000,ldpcdense_s86_d12_s2_h12,86,12,0,100000,0.000860,1.000000,12.0051,48,12:0.999140|13:0.000310|14:0.000080|15:0.000100|16:0.000020|17:0.000040|18:0.000040|19:0.000040|20:0.000020|21:0.000020|22:0.000030|23:0.000030|24:0.000020|26:0.000020|28:0.000020|29:0.000010|31:0.000010|33:0.000010|36:0.000010|38:0.000010|39:0.000010|48:0.000010,180.74,14.48,272,168.74,9929.26,168.74,7.7289,35156.0,94763.9,671593.9,16438.4,87895.2,2312.9,12.0,0.000000
10000,ldpcdense_s86_d12_s2_h12,86,12,1,100000,0.000430,1.000000,11.0038,42,11:0.998970|12:0.000600|13:0.000080|14:0.000090|15:0.000070|16:0.000010|17:0.000020|18:0.000010|19:0.000020|20:0.000010|21:0.000020|22:0.000010|23:0.000020|24:0.000010|26:0.000020|30:0.000010|33:0.000010|38:0.000010|42:0.000010,180.27,14.39,265,169.27,9929.73,169.27,7.7284,35156.0,94756.3,671124.3,16352.4,87694.2,2307.3,12.0,0.000000
10000,codecport,86,12,0,100000,0.001150,1.000000,12.0057,51,12:0.998850|13:0.000560|14:0.000100|15:0.000070|16:0.000040|17:0.000030|18:0.000080|19:0.000030|20:0.000020|21:0.000020|22:0.000030|24:0.000020|25:0.000010|26:0.000040|27:0.000020|28:0.000010|29:0.000010|31:0.000010|33:0.000010|34:0.000010|39:0.000020|51:0.000010,180.85,14.53,266,168.85,9929.15,168.85,7.7289,25156.0,90214.9,671583.3,16459.2,88069.7,2314.2,12.0,0.000000
10000,codecport,86,12,1,100000,0.000480,1.000000,11.0044,45,11:0.998800|12:0.000720|13:0.000090|14:0.000030|15:0.000080|16:0.000070|17:0.000020|18:0.000030|19:0.000010|20:0.000030|21:0.000020|22:0.000020|23:0.000020|28:0.000020|31:0.000010|34:0.000010|37:0.000010|45:0.000010,180.38,14.45,265,169.37,9929.62,169.38,7.7284,25156.0,90206.0,671064.6,16372.1,87862.2,2308.5,12.0,0.000000
