K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
10000,dense,86,6,0,500,0.094000,1.000000,6.8100,50,6:0.906000|7:0.022000|8:0.004000|9:0.004000|10:0.010000|11:0.006000|13:0.006000|14:0.002000|15:0.006000|16:0.008000|17:0.004000|18:0.002000|19:0.002000|20:0.002000|21:0.002000|22:0.002000|23:0.002000|24:0.002000|26:0.002000|32:0.002000|42:0.002000|50:0.002000,193.84,14.49,257,187.03,9898.16,187.84,7.5644,25215.0,133789.0,549110.7,18890.9,112176.6,1199.0,6.0,0.000000
10000,dense,86,6,1,500,0.076000,1.000000,5.7960,39,5:0.890000|6:0.034000|7:0.006000|9:0.006000|10:0.004000|11:0.010000|12:0.006000|13:0.004000|14:0.008000|15:0.004000|16:0.008000|17:0.002000|18:0.006000|19:0.002000|23:0.002000|25:0.002000|28:0.002000|31:0.002000|39:0.002000,193.20,14.06,242,187.40,9898.80,188.20,7.5638,25215.0,133819.4,549553.6,18761.8,111558.6,1195.2,6.0,0.000000
10000,dense,86,6,2,500,0.062000,1.000000,4.7780,54,4:0.870000|5:0.066000|6:0.002000|7:0.006000|8:0.008000|9:0.002000|10:0.006000|12:0.004000|13:0.006000|14:0.002000|15:0.006000|16:0.004000|17:0.004000|19:0.006000|27:0.002000|30:0.004000|54:0.002000,192.56,14.07,258,187.78,9899.44,188.56,7.5656,25215.0,133301.1,551303.4,18637.7,111045.1,1191.3,6.0,0.000000
10000,codecport,86,12,0,500,0.044000,1.000000,12.2900,49,12:0.956000|13:0.014000|14:0.006000|15:0.004000|16:0.002000|17:0.002000|18:0.002000|19:0.002000|20:0.004000|21:0.002000|26:0.002000|40:0.002000|49:0.002000,168.05,11.44,209,155.76,9941.95,156.05,7.5644,35156.0,97346.2,641010.7,14186.3,69879.8,2160.6,12.0,0.000000
10000,codecport,86,12,1,500,0.034000,1.000000,11.2400,34,11:0.954000|12:0.012000|13:0.012000|14:0.004000|15:0.002000|16:0.002000|17:0.004000|21:0.002000|22:0.002000|23:0.002000|30:0.002000|34:0.002000,167.16,11.02,209,155.92,9942.84,156.16,7.5638,35156.0,97303.3,641147.8,14032.4,69129.8,2150.0,12.0,0.000000
10000,codecport,86,12,2,500,0.026000,1.000000,10.2940,51,10:0.960000|11:0.008000|12:0.006000|13:0.004000|14:0.004000|15:0.002000|16:0.002000|17:0.002000|18:0.004000|25:0.002000|26:0.002000|27:0.002000|51:0.002000,166.46,11.33,224,156.17,9943.54,156.46,7.5656,35156.0,97239.2,641162.4,13919.1,68744.8,2141.6,12.0,0.000000
10000,codecport_n13,86,12,0,500,0.040000,1.000000,12.3080,46,12:0.960000|13:0.010000|14:0.002000|15:0.006000|16:0.004000|18:0.004000|20:0.004000|23:0.002000|24:0.002000|29:0.002000|40:0.002000|46:0.002000,167.98,11.98,216,155.67,9942.02,155.98,7.5644,35156.0,97224.6,640414.2,14180.5,69896.5,2159.8,12.0,0.000000
10000,codecport_n13,86,12,1,500,0.032000,1.000000,11.2400,32,11:0.950000|12:0.018000|13:0.010000|14:0.002000|15:0.006000|16:0.002000|17:0.004000|24:0.002000|27:0.002000|30:0.002000|32:0.002000,167.37,11.07,205,156.13,9942.63,156.37,7.5638,35156.0,97175.7,641512.9,14067.4,69396.0,2152.4,12.0,0.000000
10000,codecport_n13,86,12,2,500,0.028000,1.000000,10.2680,47,10:0.964000|11:0.002000|12:0.006000|13:0.008000|14:0.002000|15:0.004000|17:0.002000|18:0.004000|23:0.004000|25:0.002000|47:0.002000,166.43,11.42,224,156.16,9943.57,156.43,7.5656,35156.0,97226.9,641738.3,13914.1,68715.9,2141.1,12.0,0.000000
32000,dense,190,6,0,500,0.670000,1.000000,22.6560,120,6:0.330000|7:0.030000|8:0.016000|9:0.012000|10:0.020000|11:0.018000|12:0.020000|13:0.012000|14:0.020000|15:0.026000|16:0.010000|17:0.016000|18:0.010000|19:0.014000|20:0.022000|21:0.014000|22:0.004000|23:0.022000|24:0.010000|25:0.008000|26:0.014000|27:0.022000|28:0.012000|29:0.014000|30:0.016000|31:0.012000|32:0.006000|33:0.004000|34:0.020000|35:0.016000|36:0.014000|37:0.014000|38:0.010000|39:0.004000|40:0.004000|41:0.012000|42:0.012000|43:0.010000|44:0.004000|45:0.016000|46:0.004000|47:0.002000|48:0.010000|49:0.008000|50:0.006000|51:0.004000|52:0.004000|53:0.008000|54:0.004000|55:0.004000|56:0.004000|57:0.008000|58:0.002000|59:0.004000|60:0.004000|61:0.002000|62:0.004000|64:0.006000|65:0.002000|66:0.004000|67:0.004000|69:0.006000|70:0.002000|71:0.004000|74:0.004000|75:0.002000|76:0.004000|77:0.002000|83:0.002000|90:0.002000|113:0.002000|120:0.002000,482.46,26.67,576,459.80,31713.54,476.46,7.5286,80475.0,459115.7,3756231.2,116739.3,1749014.3,2930.8,6.0,0.000000
32000,dense,190,6,1,500,0.672000,1.000000,21.9800,114,5:0.296000|6:0.032000|7:0.020000|8:0.014000|9:0.028000|10:0.020000|11:0.022000|12:0.022000|13:0.022000|14:0.020000|15:0.018000|16:0.020000|17:0.004000|18:0.004000|19:0.018000|20:0.014000|21:0.028000|22:0.026000|23:0.014000|24:0.016000|25:0.016000|26:0.014000|27:0.014000|28:0.016000|29:0.012000|30:0.004000|31:0.010000|32:0.016000|33:0.012000|34:0.010000|35:0.006000|36:0.010000|37:0.002000|38:0.004000|39:0.012000|40:0.008000|41:0.010000|42:0.004000|43:0.006000|44:0.008000|45:0.008000|46:0.008000|47:0.006000|48:0.010000|49:0.006000|50:0.004000|51:0.006000|52:0.006000|55:0.002000|56:0.012000|57:0.008000|58:0.002000|59:0.002000|61:0.006000|62:0.002000|63:0.010000|64:0.002000|65:0.006000|67:0.004000|69:0.008000|70:0.002000|72:0.002000|74:0.002000|75:0.002000|76:0.002000|77:0.002000|78:0.004000|79:0.004000|80:0.004000|81:0.002000|84:0.002000|114:0.002000,481.14,26.78,566,459.16,31714.86,476.14,7.5264,80475.0,459360.9,3758016.5,116108.2,1738509.4,2922.9,6.0,0.000000
32000,dense,190,6,2,500,0.650000,1.000000,23.0140,170,4:0.294000|5:0.040000|6:0.016000|7:0.012000|8:0.016000|9:0.022000|10:0.016000|11:0.014000|12:0.020000|13:0.018000|14:0.012000|15:0.026000|16:0.012000|17:0.030000|18:0.008000|19:0.018000|20:0.012000|21:0.014000|22:0.004000|23:0.014000|24:0.022000|25:0.010000|26:0.012000|27:0.016000|28:0.012000|29:0.012000|30:0.018000|31:0.014000|32:0.008000|33:0.008000|34:0.012000|35:0.014000|36:0.012000|37:0.008000|38:0.006000|39:0.006000|40:0.004000|41:0.014000|42:0.002000|43:0.008000|44:0.014000|46:0.004000|47:0.006000|48:0.010000|49:0.006000|50:0.006000|51:0.004000|53:0.004000|54:0.006000|55:0.004000|56:0.004000|57:0.010000|58:0.002000|59:0.006000|60:0.004000|61:0.004000|62:0.002000|63:0.006000|65:0.002000|66:0.004000|67:0.002000|68:0.002000|69:0.002000|70:0.006000|71:0.002000|72:0.002000|73:0.002000|76:0.002000|77:0.004000|79:0.002000|83:0.002000|84:0.002000|85:0.002000|87:0.002000|88:0.002000|90:0.002000|95:0.002000|97:0.002000|98:0.002000|101:0.002000|104:0.002000|105:0.002000|116:0.002000|130:0.002000|170:0.002000,481.39,29.14,614,458.37,31714.61,477.39,7.5300,80475.0,458601.4,3753763.4,116291.5,1747875.2,2924.3,6.0,0.000000
