K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
1000,dense,50,6,0,20000,0.016500,1.000000,6.0165,8,6:0.983500|7:0.016450|8:0.000050,75.32,4.43,102,69.31,980.68,69.32,7.2322,2625.0,10658.3,26739.5,2846.3,6212.8,487.9,6.0,0.000000
1000,dense,50,6,1,20000,0.000100,1.000000,5.0297,7,5:0.970350|6:0.029550|7:0.000100,74.87,4.47,98,69.84,981.13,69.87,7.2354,2625.0,10647.2,26690.0,2812.3,6187.7,485.2,6.0,0.000000
1000,ldpcdense_s50_d12_s2_h12,50,12,0,20000,0.000350,1.000000,12.0003,13,12:0.999650|13:0.000350,88.09,5.19,115,76.09,985.91,76.09,7.2322,3602.0,8050.3,33285.6,3893.5,9333.4,1201.1,12.0,0.000000
1000,ldpcdense_s50_d12_s2_h12,50,12,1,20000,0.000000,1.000000,11.0004,12,11:0.999600|12:0.000400,87.73,5.17,112,76.73,986.27,76.73,7.2354,3602.0,8045.3,33236.0,3861.4,9332.9,1196.8,12.0,0.000000
1000,codecport,50,12,0,20000,0.000300,1.000000,12.0003,13,12:0.999700|13:0.000300,87.02,5.30,114,75.02,986.98,75.02,7.2322,2602.0,7648.3,33299.3,3800.4,8987.4,1188.3,12.0,0.000000
1000,codecport,50,12,1,20000,0.000000,1.000000,11.0006,12,11:0.999450|12:0.000550,86.66,5.33,111,75.66,987.34,75.66,7.2354,2602.0,7646.0,33257.7,3769.3,8990.2,1184.0,12.0,0.000000
