K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
1000,dense,50,6,0,20000,0.014900,1.000000,6.0149,7,6:0.985100|7:0.014900,75.43,4.48,100,69.41,980.57,69.43,7.2347,2625.0,10654.8,26734.7,2854.3,6240.7,488.6,6.0,0.000000
1000,dense,50,6,1,20000,0.000200,1.000000,5.0321,7,5:0.968100|6:0.031700|7:0.000200,74.86,4.42,108,69.83,981.14,69.86,7.2380,2625.0,10656.9,26690.6,2811.6,6184.8,485.2,6.0,0.000000
1000,dense,50,6,2,20000,0.000000,1.000000,4.0618,6,4:0.938850|5:0.060450|6:0.000700,74.45,4.50,101,70.39,981.55,70.45,7.2374,2625.0,10653.2,26680.0,2781.1,6170.4,482.7,6.0,0.000000
1000,dense,50,6,5,20000,0.000000,1.000000,1.4600,4,1:0.579100|2:0.382850|3:0.037000|4:0.001050,73.17,4.49,100,71.71,982.83,72.17,7.2349,2625.0,10614.8,26605.6,2686.6,6105.9,475.0,6.0,0.000000
1000,ldpc,50,6,0,20000,0.015100,1.000000,6.0152,8,6:0.984900|7:0.015050|8:0.000050,70.35,5.03,100,64.34,985.65,64.35,7.2347,3049.0,8041.1,26793.0,2487.2,5058.1,458.1,6.0,0.000000
1000,ldpc,50,6,1,20000,0.000100,1.000000,5.0302,7,5:0.969850|6:0.030050|7:0.000100,69.92,4.97,94,64.89,986.08,64.92,7.2380,3049.0,8039.8,26750.2,2456.3,5037.6,455.5,6.0,0.000000
1000,ldpc,50,6,2,20000,0.000000,1.000000,4.0606,6,4:0.940150|5:0.059100|6:0.000750,69.54,4.91,96,65.48,986.46,65.54,7.2374,3049.0,8036.9,26717.7,2429.7,5029.2,453.2,6.0,0.000000
1000,ldpc,50,6,5,20000,0.000000,1.000000,1.4639,4,1:0.575650|2:0.385450|3:0.038250|4:0.000650,68.59,4.83,92,67.13,987.41,67.59,7.2349,3049.0,8019.6,26643.4,2363.7,5043.1,447.5,6.0,0.000000
1000,ldpcdense_s30_d10,30,6,0,20000,0.016850,1.000000,6.0169,8,6:0.983150|7:0.016800|8:0.000050,61.97,4.72,92,55.96,984.03,55.97,7.2347,5629.0,8563.4,22998.3,1931.2,3421.9,407.8,6.0,0.000000
1000,ldpcdense_s30_d10,30,6,1,20000,0.000100,1.000000,5.0316,7,5:0.968500|6:0.031400|7:0.000100,61.51,4.65,83,56.47,984.49,56.51,7.2380,5629.0,8559.5,22966.5,1902.1,3400.6,405.0,6.0,0.000000
1000,ldpcdense_s30_d10,30,6,2,20000,0.000000,1.000000,4.0614,6,4:0.939000|5:0.060550|6:0.000450,61.11,4.63,83,57.05,984.89,57.11,7.2374,5629.0,8557.5,22940.6,1877.9,3393.3,402.7,6.0,0.000000
1000,ldpcdense_s30_d10,30,6,5,20000,0.000000,1.000000,1.4633,5,1:0.575600|2:0.386350|3:0.037200|4:0.000800|5:0.000050,60.02,4.57,82,58.56,985.98,59.02,7.2349,5629.0,8534.3,22849.5,1811.3,3380.3,396.1,6.0,0.000000
1000,ldpcdense_s30_d12,30,6,0,20000,0.016050,1.000000,6.0161,8,6:0.983950|7:0.016000|8:0.000050,63.99,4.71,89,57.97,984.01,57.99,7.2347,5634.0,8589.3,23777.5,2058.1,3774.5,419.9,6.0,0.000000
1000,ldpcdense_s30_d12,30,6,1,20000,0.000300,1.000000,5.0331,7,5:0.967200|6:0.032500|7:0.000300,63.57,4.66,86,58.54,984.43,58.57,7.2380,5634.0,8589.8,23749.3,2031.4,3761.9,417.4,6.0,0.000000
1000,ldpcdense_s30_d12,30,6,2,20000,0.000000,1.000000,4.0639,6,4:0.936950|5:0.062200|6:0.000850,63.15,4.65,87,59.09,984.85,59.15,7.2374,5634.0,8585.0,23717.3,2004.8,3749.4,414.9,6.0,0.000000
1000,ldpcdense_s30_d12,30,6,5,20000,0.000000,1.000000,1.4596,4,1:0.579300|2:0.382800|3:0.036850|4:0.001050,62.08,4.60,85,60.62,985.92,61.08,7.2349,5634.0,8557.5,23642.2,1937.1,3738.8,408.5,6.0,0.000000
1000,ldpcdense_s30_d15,30,6,0,20000,0.015300,1.000000,6.0153,7,6:0.984700|7:0.015300,67.02,4.75,95,61.00,983.98,61.02,7.2347,5641.0,8631.6,24930.6,2256.6,4350.4,438.1,6.0,0.000000
1000,ldpcdense_s30_d15,30,6,1,20000,0.000250,1.000000,5.0299,7,5:0.970350|6:0.029400|7:0.000250,66.53,4.70,89,61.50,984.47,61.53,7.2380,5641.0,8623.2,24886.3,2223.9,4322.5,435.2,6.0,0.000000
1000,ldpcdense_s30_d15,30,6,2,20000,0.000000,1.000000,4.0613,6,4:0.939200|5:0.060350|6:0.000450,66.16,4.65,88,62.10,984.84,62.16,7.2374,5641.0,8623.0,24865.0,2199.2,4317.2,433.0,6.0,0.000000
1000,ldpcdense_s30_d15,30,6,5,20000,0.000000,1.000000,1.4513,4,1:0.584600|2:0.380200|3:0.034500|4:0.000700,65.05,4.60,85,63.60,985.95,64.05,7.2349,5641.0,8597.1,24789.4,2126.3,4299.7,426.3,6.0,0.000000
1000,ldpcdense_s35_d10,35,6,0,20000,0.015550,1.000000,6.0156,8,6:0.984450|7:0.015450|8:0.000100,66.55,4.81,96,60.53,984.45,60.55,7.2347,5646.0,8427.2,24921.4,2225.6,4259.8,435.3,6.0,0.000000
1000,ldpcdense_s35_d10,35,6,1,20000,0.000250,1.000000,5.0294,7,5:0.970800|6:0.028950|7:0.000250,66.10,4.76,89,61.07,984.90,61.10,7.2380,5646.0,8421.2,24883.9,2195.5,4239.2,432.6,6.0,0.000000
1000,ldpcdense_s35_d10,35,6,2,20000,0.000000,1.000000,4.0606,6,4:0.940150|5:0.059150|6:0.000700,65.74,4.70,88,61.68,985.26,61.74,7.2374,5646.0,8419.9,24868.7,2171.9,4236.6,430.5,6.0,0.000000
1000,ldpcdense_s35_d10,35,6,5,20000,0.000000,1.000000,1.4647,4,1:0.574200|2:0.387600|3:0.037450|4:0.000750,64.68,4.68,86,63.22,986.32,63.68,7.2349,5646.0,8394.0,24788.7,2102.5,4228.7,424.1,6.0,0.000000
1000,ldpcdense_s35_d12,35,6,0,20000,0.014800,1.000000,6.0149,8,6:0.985200|7:0.014700|8:0.000100,68.56,4.85,94,62.55,984.44,62.56,7.2347,5651.0,8445.2,25684.1,2361.8,4668.4,447.4,6.0,0.000000
1000,ldpcdense_s35_d12,35,6,1,20000,0.000250,1.000000,5.0305,7,5:0.969800|6:0.029950|7:0.000250,68.12,4.77,93,63.09,984.88,63.12,7.2380,5651.0,8443.3,25646.1,2331.3,4647.6,444.7,6.0,0.000000
1000,ldpcdense_s35_d12,35,6,2,20000,0.000000,1.000000,4.0644,6,4:0.936200|5:0.063150|6:0.000650,67.72,4.72,92,63.65,985.28,63.72,7.2374,5651.0,8438.3,25621.1,2303.7,4634.7,442.3,6.0,0.000000
1000,ldpcdense_s35_d12,35,6,5,20000,0.000000,1.000000,1.4550,4,1:0.582500|2:0.380800|3:0.035900|4:0.000800,66.66,4.70,87,65.20,986.34,65.66,7.2349,5651.0,8417.1,25542.4,2232.3,4626.6,435.9,6.0,0.000000
1000,ldpcdense_s35_d15,35,6,0,20000,0.014850,1.000000,6.0149,7,6:0.985150|7:0.014850,71.53,4.86,102,65.52,984.47,65.53,7.2347,5659.0,8473.1,26799.3,2570.0,5316.6,465.2,6.0,0.000000
1000,ldpcdense_s35_d15,35,6,1,20000,0.000150,1.000000,5.0328,7,5:0.967350|6:0.032500|7:0.000150,71.09,4.79,95,66.05,984.91,66.09,7.2380,5659.0,8470.6,26765.8,2537.9,5292.7,462.5,6.0,0.000000
