K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
10000,dense,86,6,0,20000,0.017550,1.000000,6.0302,51,6:0.982450|7:0.016100|8:0.000050|9:0.000150|10:0.000150|11:0.000100|12:0.000300|13:0.000050|14:0.000100|16:0.000100|17:0.000050|18:0.000050|19:0.000050|20:0.000050|22:0.000050|25:0.000050|26:0.000100|51:0.000050,193.27,12.82,266,187.24,9898.73,187.27,7.7288,25215.0,133615.5,582581.3,18759.4,110796.9,1195.6,6.0,0.000000
10000,dense,86,6,1,20000,0.002150,1.000000,5.0451,36,5:0.967850|6:0.030000|7:0.000450|8:0.000100|9:0.000200|10:0.000250|11:0.000300|12:0.000250|13:0.000050|14:0.000150|16:0.000200|18:0.000050|27:0.000100|36:0.000050,192.94,12.76,260,187.90,9899.06,187.94,7.7277,25215.0,133609.1,582459.5,18694.3,110792.6,1193.6,6.0,0.000000
10000,ldpcdense_s86_d12_s2_h12,86,12,0,20000,0.000600,1.000000,12.0040,47,12:0.999400|13:0.000200|14:0.000050|16:0.000050|17:0.000050|18:0.000050|20:0.000100|21:0.000050|47:0.000050,180.55,14.50,265,168.55,9929.45,168.55,7.7288,35156.0,94770.1,671355.6,16404.5,87623.4,2310.6,12.0,0.000000
10000,ldpcdense_s86_d12_s2_h12,86,12,1,20000,0.000450,1.000000,11.0037,30,11:0.998800|12:0.000750|13:0.000200|14:0.000100|23:0.000050|25:0.000050|30:0.000050,180.22,14.40,256,169.21,9929.78,169.22,7.7277,35156.0,94769.3,671296.3,16342.5,87614.2,2306.6,12.0,0.000000
10000,codecport,86,12,0,20000,0.000800,1.000000,12.0045,43,12:0.999200|13:0.000300|14:0.000100|15:0.000100|17:0.000050|18:0.000050|21:0.000050|23:0.000100|43:0.000050,180.75,14.58,267,168.75,9929.25,168.75,7.7288,25156.0,90226.1,671461.5,16441.9,87937.5,2313.0,12.0,0.000000
10000,codecport,86,12,1,20000,0.000300,1.000000,11.0030,30,11:0.999200|12:0.000500|13:0.000100|15:0.000050|22:0.000050|23:0.000050|30:0.000050,180.32,14.37,260,169.31,9929.68,169.32,7.7277,25156.0,90193.2,671252.7,16360.2,87753.4,2307.8,12.0,0.000000
