K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu
3200,none,0,0,0,4000,1.000000,1.000000,16.8885,92,2:0.000250|3:0.001000|4:0.003500|5:0.009000|6:0.014250|7:0.022250|8:0.030500|9:0.042500|10:0.048000|11:0.066250|12:0.064250|13:0.065000|14:0.077250|15:0.062500|16:0.058500|17:0.057500|18:0.051500|19:0.044000|20:0.037250|21:0.034500|22:0.029250|23:0.023250|24:0.021500|25:0.018500|26:0.016000|27:0.011750|28:0.010750|29:0.010750|30:0.011000|31:0.007750|32:0.007500|33:0.005750|34:0.006000|35:0.002000|36:0.003750|37:0.003250|38:0.003250|39:0.002500|40:0.002000|41:0.001750|42:0.000750|43:0.003250|44:0.002250|45:0.000250|46:0.001250|47:0.001750|48:0.000250|49:0.000250|52:0.000500|53:0.000250|54:0.000250|56:0.000500|58:0.000250|92:0.000250,44.49,7.23,97,27.61,3155.51,44.49,4.7294,0.0,14419.8,18051.6,1015.8,1488.8
3200,none,0,0,1,4000,1.000000,1.000000,17.0138,69,1:0.000500|2:0.000750|3:0.001750|4:0.003750|5:0.006500|6:0.013250|7:0.024500|8:0.032750|9:0.044250|10:0.049750|11:0.064500|12:0.068000|13:0.067000|14:0.069000|15:0.055750|16:0.058500|17:0.057250|18:0.045500|19:0.045500|20:0.037750|21:0.037000|22:0.028250|23:0.022750|24:0.021250|25:0.014000|26:0.017750|27:0.015000|28:0.012250|29:0.009750|30:0.009750|31:0.009000|32:0.006000|33:0.009000|34:0.006750|35:0.004750|36:0.005000|37:0.003250|38:0.001750|39:0.002750|40:0.002500|41:0.002000|42:0.001500|43:0.001750|44:0.001500|45:0.001000|46:0.001250|47:0.000750|48:0.001750|49:0.000250|50:0.000500|51:0.000250|52:0.000250|53:0.000500|54:0.000250|55:0.000250|56:0.000250|57:0.000250|58:0.000250|59:0.000250|69:0.000250,44.25,7.29,78,27.23,3155.75,45.25,4.7249,0.0,14406.7,17826.0,1005.2,1498.7
3200,none,0,0,2,4000,1.000000,1.000000,16.7360,64,1:0.000250|3:0.001500|4:0.004500|5:0.006250|6:0.014250|7:0.022250|8:0.033000|9:0.042750|10:0.059750|11:0.065250|12:0.061000|13:0.069250|14:0.071000|15:0.067250|16:0.053500|17:0.061750|18:0.050000|19:0.048250|20:0.037750|21:0.027000|22:0.024500|23:0.025500|24:0.022250|25:0.017500|26:0.016500|27:0.011000|28:0.011500|29:0.008500|30:0.008000|31:0.006750|32:0.008500|33:0.005250|34:0.004750|35:0.007000|36:0.003500|37:0.001500|38:0.002750|39:0.002000|40:0.003000|41:0.001500|42:0.002000|43:0.001750|44:0.001000|45:0.001250|46:0.000750|47:0.000250|48:0.001250|50:0.000750|51:0.000250|52:0.000250|53:0.000250|54:0.000250|55:0.000250|56:0.000250|58:0.000500|61:0.000250|62:0.000250|64:0.000250,43.84,7.42,86,27.10,3156.16,45.84,4.7297,0.0,14410.3,17749.5,988.2,1495.8
3200,none,0,0,5,4000,1.000000,1.000000,16.2380,56,2:0.000500|3:0.000500|4:0.003500|5:0.006000|6:0.018000|7:0.023500|8:0.034500|9:0.048750|10:0.059750|11:0.063750|12:0.073000|13:0.064750|14:0.078000|15:0.058000|16:0.067000|17:0.049250|18:0.050250|19:0.044500|20:0.041250|21:0.032750|22:0.026000|23:0.023250|24:0.020250|25:0.019500|26:0.014750|27:0.009750|28:0.009500|29:0.010250|30:0.006250|31:0.007000|32:0.004750|33:0.003500|34:0.005000|35:0.004000|36:0.002750|37:0.002000|38:0.002500|39:0.001000|40:0.001750|41:0.001500|42:0.000750|43:0.000500|44:0.001000|45:0.000750|46:0.000500|47:0.000500|48:0.000250|49:0.000500|50:0.001000|51:0.000500|52:0.000250|53:0.000250|54:0.000250|56:0.000250,42.34,7.48,86,26.10,3157.66,47.34,4.7278,0.0,14401.1,17258.7,923.9,1445.7
3200,dense,62,6,0,4000,0.017750,1.000000,6.0178,7,6:0.982250|7:0.017750,112.84,7.37,146,106.83,3155.16,106.84,7.7254,8155.0,38594.5,124758.9,6393.8,21543.2
3200,dense,62,6,1,4000,0.000750,1.000000,5.0320,12,5:0.970000|6:0.029250|7:0.000500|12:0.000250,112.64,7.45,154,107.61,3155.36,107.64,7.7260,8155.0,38640.3,124618.6,6371.3,21630.3
3200,dense,62,6,2,4000,0.000250,1.000000,4.0670,18,4:0.936750|5:0.062500|6:0.000500|18:0.000250,112.08,7.54,156,108.01,3155.92,108.08,7.7321,8155.0,38564.7,124668.4,6308.7,21510.5
3200,dense,62,6,5,4000,0.000000,1.000000,1.4615,4,1:0.575000|2:0.389000|3:0.035500|4:0.000500,110.66,7.40,147,109.20,3157.34,109.66,7.7274,8155.0,38603.0,124110.6,6150.3,21270.4
3200,ldpc,62,6,0,4000,0.015250,1.000000,6.0152,7,6:0.984750|7:0.015250,106.33,8.57,144,100.31,3161.67,100.33,7.7249,9661.0,28122.2,124720.3,5689.4,18086.3
3200,ldpc,62,6,1,4000,0.000500,1.000000,5.0325,9,5:0.968500|6:0.031000|7:0.000250|9:0.000250,105.70,8.45,148,100.67,3162.30,100.70,7.7291,9661.0,28125.2,124452.2,5622.0,17932.9
