K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
10000,codecport_n13,86,12,0,20000,0.000850,1.000000,12.0048,31,12:0.999150|13:0.000350|15:0.000050|17:0.000100|19:0.000050|20:0.000100|22:0.000050|23:0.000050|26:0.000050|31:0.000050,180.50,14.40,255,168.50,9929.50,168.50,7.7274,35156.0,94758.8,671251.3,16394.4,87526.1,2310.1,12.0,0.000000
10000,codecport_n13,86,12,1,20000,0.000250,1.000000,11.0033,27,11:0.998700|12:0.001050|15:0.000050|17:0.000050|20:0.000050|22:0.000050|27:0.000050,180.11,14.40,261,169.11,9929.89,169.11,7.7292,35156.0,94746.0,670949.5,16323.8,87463.4,2305.4,12.0,0.000000
10000,codecport_n13_ic,86,12,0,20000,0.001050,1.000000,12.0049,32,12:0.998950|13:0.000500|14:0.000150|18:0.000150|20:0.000050|22:0.000050|23:0.000050|28:0.000050|32:0.000050,180.52,14.41,250,168.52,9929.48,168.52,7.7274,35150.0,94765.3,671349.2,16397.9,87556.1,2310.3,12.0,0.000000
10000,codecport_n13_ic,86,12,1,20000,0.000450,1.000000,11.0032,27,11:0.999050|12:0.000500|13:0.000200|15:0.000050|16:0.000050|21:0.000050|22:0.000050|27:0.000050,180.14,14.43,263,169.14,9929.86,169.14,7.7292,35150.0,94740.7,671042.2,16329.6,87514.6,2305.7,12.0,0.000000
32000,codecport_n13,190,12,0,20000,0.000900,1.000000,12.0030,26,12:0.999100|13:0.000500|14:0.000100|15:0.000050|16:0.000050|17:0.000050|19:0.000050|24:0.000050|26:0.000050,354.97,24.72,498,342.96,31859.03,342.97,7.7288,112312.0,318801.8,4307700.6,63305.9,685421.6,4403.6,12.0,0.000000
32000,codecport_n13,190,12,1,20000,0.000350,1.000000,11.0039,32,11:0.999300|12:0.000350|13:0.000100|16:0.000050|18:0.000050|28:0.000050|29:0.000050|32:0.000050,354.48,24.51,493,343.47,31859.52,343.48,7.7284,112312.0,318799.9,4306818.2,63126.5,684377.5,4397.7,12.0,0.000000
32000,codecport_n13_ic,190,12,0,20000,0.000950,1.000000,12.0029,24,12:0.999050|13:0.000600|14:0.000050|15:0.000050|16:0.000050|18:0.000050|19:0.000050|23:0.000050|24:0.000050,354.91,24.71,510,342.91,31859.09,342.91,7.7288,112306.0,318761.5,4307111.2,63287.3,685117.2,4403.0,12.0,0.000000
32000,codecport_n13_ic,190,12,1,20000,0.000300,1.000000,11.0046,33,11:0.998750|12:0.000950|14:0.000050|17:0.000100|27:0.000050|30:0.000050|33:0.000050,354.42,24.64,498,343.42,31859.58,343.42,7.7284,112306.0,318793.2,4306368.8,63110.7,684181.8,4397.1,12.0,0.000000
