# scan: threads=80 N=[25787,32000] trials/N=150 bb=64 startMode=0 loss=0.10 thresh=0.100
WEAK N=29527  mean=0.3467 max=47 fail=0
WEAK N=29534  mean=14.4667 max=2166 fail=0
WEAK N=29566  mean=2.5333 max=294 fail=0
WEAK N=29591  mean=2.6467 max=394 fail=0
WEAK N=29588  mean=9.3400 max=1395 fail=0
WEAK N=29586  mean=0.1800 max=27 fail=0
WEAK N=29618  mean=0.3200 max=46 fail=0
WEAK N=29622  mean=0.1667 max=18 fail=0
WEAK N=29647  mean=305.2600 max=6368 fail=0
WEAK N=29656  mean=1.5733 max=233 fail=0
WEAK N=29683  mean=0.4200 max=58 fail=0
WEAK N=29681  mean=0.2933 max=42 fail=0
WEAK N=29694  mean=0.2267 max=33 fail=0
WEAK N=29717  mean=0.6400 max=94 fail=0
WEAK N=29728  mean=7.5733 max=358 fail=0
WEAK N=29715  mean=56.7800 max=8515 fail=0
WEAK N=29708  mean=2.7200 max=87 fail=0
WEAK N=29734  mean=0.3000 max=34 fail=0
WEAK N=29761  mean=1.3867 max=60 fail=1
WEAK N=29752  mean=2.7600 max=408 fail=0
WEAK N=29807  mean=0.7533 max=110 fail=0
WEAK N=29799  mean=1.0067 max=142 fail=0
WEAK N=29821  mean=19.3600 max=485 fail=0
WEAK N=29824  mean=6.2000 max=410 fail=0
WEAK N=29842  mean=3.9733 max=179 fail=1
WEAK N=29828  mean=1.4533 max=120 fail=0
WEAK N=29888  mean=1.8733 max=100 fail=0
WEAK N=29861  mean=3.0867 max=283 fail=0
WEAK N=29961  mean=0.8667 max=127 fail=0
WEAK N=30085  mean=5.1133 max=209 fail=0
WEAK N=30062  mean=0.4667 max=16 fail=0
WEAK N=30096  mean=0.3600 max=51 fail=0
WEAK N=30269  mean=0.6933 max=101 fail=0
WEAK N=30256  mean=0.3467 max=41 fail=0
WEAK N=30279  mean=0.9667 max=104 fail=0
WEAK N=30307  mean=32.5000 max=4874 fail=0
WEAK N=30372  mean=0.6333 max=92 fail=0
WEAK N=30415  mean=1.0400 max=152 fail=0
WEAK N=30468  mean=0.2267 max=31 fail=0
WEAK N=30482  mean=0.1867 max=22 fail=0
